"era","sea","species","total_individuals","stations_present"
"historical","bohol","ecsenius_bicolor",0,0
"historical","bohol","ecsenius_bimaculatus",1,1
"historical","bohol","ecsenius_kurti",0,0
"historical","bohol","ecsenius_lineatus",0,0
"historical","bohol","ecsenius_lividanalis",5,1
"historical","bohol","ecsenius_monoculus",47,2
"historical","bohol","ecsenius_namiyei",0,0
"historical","bohol","ecsenius_pictus",10,5
"historical","bohol","ecsenius_yaeyamaensis",1,1
"historical","sulu","ecsenius_bicolor",0,0
"historical","sulu","ecsenius_bimaculatus",1,1
"historical","sulu","ecsenius_kurti",13,3
"historical","sulu","ecsenius_lineatus",2,1
"historical","sulu","ecsenius_lividanalis",0,0
"historical","sulu","ecsenius_monoculus",33,3
"historical","sulu","ecsenius_namiyei",1,1
"historical","sulu","ecsenius_pictus",0,0
"historical","sulu","ecsenius_yaeyamaensis",11,2
"modern","bohol","ecsenius_bicolor",0,0
"modern","bohol","ecsenius_bimaculatus",0,0
"modern","bohol","ecsenius_kurti",0,0
"modern","bohol","ecsenius_lineatus",0,0
"modern","bohol","ecsenius_lividanalis",0,0
"modern","bohol","ecsenius_monoculus",0,0
"modern","bohol","ecsenius_namiyei",0,0
"modern","bohol","ecsenius_pictus",0,0
"modern","bohol","ecsenius_yaeyamaensis",0,0
"modern","sulu","ecsenius_bicolor",2,1
"modern","sulu","ecsenius_bimaculatus",0,0
"modern","sulu","ecsenius_kurti",1,1
"modern","sulu","ecsenius_lineatus",3,2
"modern","sulu","ecsenius_lividanalis",0,0
"modern","sulu","ecsenius_monoculus",29,2
"modern","sulu","ecsenius_namiyei",0,0
"modern","sulu","ecsenius_pictus",0,0
"modern","sulu","ecsenius_yaeyamaensis",0,0
