assemblage,era,sea,n_stations,n_species_observed,n_individuals,n_singletons,n_doubletons
historical_bohol,historical,bohol,13,460,7537,121,64
contemporary_bohol,contemporary,bohol,13,396,3366,153,59
historical_sulu,historical,sulu,8,456,7544,112,68
contemporary_sulu,contemporary,sulu,8,410,7807,126,59
