Assemblage,era,sea_from_assemblage,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,sea,target_coverage
historical_bohol,historical,bohol,2307.488685074034,Rarefaction,0,0.9499999999480264,317.599730880802,303.794281638673,331.405180122931,bohol,0.95
historical_bohol,historical,bohol,2307.488685074034,Rarefaction,1,0.9499999999480264,118.54267712557896,114.50794041504722,122.57741383611071,bohol,0.95
historical_bohol,historical,bohol,2307.488685074034,Rarefaction,2,0.9499999999480264,57.427731075833876,54.74448795591931,60.11097419574844,bohol,0.95
contemporary_bohol,contemporary,bohol,2979.0597717072346,Rarefaction,0,0.9499999991783936,377.5673851813868,346.6431896597278,408.49158070304577,bohol,0.95
contemporary_bohol,contemporary,bohol,2979.0597717072346,Rarefaction,1,0.9499999991783936,119.54396235056807,112.88837052637322,126.19955417476291,bohol,0.95
contemporary_bohol,contemporary,bohol,2979.0597717072346,Rarefaction,2,0.9499999991783936,52.14570551733096,48.304850625243375,55.986560409418544,bohol,0.95
historical_sulu,historical,sulu,2189.817117202835,Rarefaction,0,0.9499999988624888,315.46168424829574,303.82259842121414,327.10077007537734,sulu,0.95
historical_sulu,historical,sulu,2189.817117202835,Rarefaction,1,0.9499999988624888,135.20560555332003,130.87169009901007,139.53952100763,sulu,0.95
historical_sulu,historical,sulu,2189.817117202835,Rarefaction,2,0.9499999988624888,74.6549948073261,71.52487256401184,77.78511705064037,sulu,0.95
contemporary_sulu,contemporary,sulu,2099.8619478783066,Rarefaction,0,0.949999999817544,256.8580810875297,244.05438298233398,269.6617791927254,sulu,0.95
contemporary_sulu,contemporary,sulu,2099.8619478783066,Rarefaction,1,0.949999999817544,45.77925450286947,43.523213076329014,48.035295929409926,sulu,0.95
contemporary_sulu,contemporary,sulu,2099.8619478783066,Rarefaction,2,0.949999999817544,10.970408970049531,10.3448552610484,11.595962679050663,sulu,0.95
