q0,q1,q2
-12.402910687415215,-80.10627145251811,-70.91884439169971
-26.551398237543367,-78.43183387630634,-68.99570270726488
-32.15058227419314,-82.38413395055613,-69.82215970761274
-21.865650584295793,-81.70655995370976,-72.46522283229102
-21.153603107245146,-82.47190211463564,-71.31240405086484
-28.21411594623379,-83.4844521068008,-70.4581481699625
-32.29065251097012,-82.99645779841426,-72.31045338608756
-24.867805815677627,-82.99291647010601,-71.92312056134024
-25.200443249337752,-84.44097637271835,-74.1857410933396
-30.784815459980223,-84.50234288067584,-70.22683284933927
-30.01436238644135,-84.23560550229536,-72.2971527154542
-26.879961819918094,-80.90705785761944,-69.13905918750274
-30.131248569952618,-84.06979572745709,-71.78496975719372
-31.852523158604868,-86.1910934242805,-73.51615609623843
-20.601447081242725,-82.8228679685175,-72.12486912711387
-24.208738940536705,-79.87654851163363,-69.99408843523915
-25.147068324026122,-83.54830065670886,-72.78719876147233
-46.06302922979205,-83.33424656288726,-72.04741700029157
-26.843785308610222,-84.94003495213205,-71.83588367735788
-32.16798646372985,-83.84792012804164,-72.67046123117606
-28.16779944272338,-81.3346327126255,-69.8750819082872
-38.26812284935005,-85.51379393713749,-72.89338371788658
-19.56788510757383,-81.68114586257877,-72.98387046984348
-24.763158348334514,-83.01146281351495,-71.01368957532982
-34.84740608373227,-82.37256951138689,-70.74501770064542
-28.492264507815207,-85.21239544578053,-75.3841073035274
-25.226730101854002,-81.22707540724251,-70.15492947280062
-24.184864157061043,-84.69557498690624,-72.56099940113438
-32.46977665425453,-82.83303960673915,-72.32367403694992
-21.622582219140952,-78.87881462872825,-67.76614694549657
-18.097505951647065,-81.12106816927363,-71.79006928260168
-37.75864879908471,-83.66284948485229,-70.92078637051162
-37.923812137977336,-86.97322122205395,-73.15633969309673
-46.310514436785525,-84.02605350163861,-71.82790401756905
-24.00407034552967,-83.68260682348279,-72.96536931956365
-23.743651844697922,-78.16283902556694,-67.49644035568866
-36.8277365022156,-85.67969190509845,-71.4070080288132
-22.865169644382036,-84.17281634519999,-70.97813825419279
-16.318973298115793,-80.01044240601568,-71.34236613835782
-33.52825993310665,-84.42444380074097,-70.70878599233316
-34.22690767895722,-85.16847888964341,-71.59423649843046
-29.66623656317239,-85.09237927177146,-72.6520123157215
-23.74260323528216,-82.0340239325895,-70.63572985853565
-33.06739064419406,-82.35658400239197,-70.50976631672853
-41.752699952784155,-83.5374713932352,-70.39900281766424
-20.002129396268742,-81.70143142395372,-70.41785445489553
-25.750374530497538,-83.97624139888187,-71.06360084438106
-25.382105613167425,-83.36139461993781,-72.88189153536437
-32.88151581889804,-85.23613674283749,-71.54812889690996
-33.980375157498884,-84.7559837445394,-72.68100227022124
-46.718406952667806,-86.64433049104235,-70.77928139776449
-29.384993472055783,-80.77186387582962,-71.89089112850209
-30.412652037428472,-81.37489360927941,-70.30906387074131
-22.136264565045735,-81.05657515456338,-70.4467243077946
-39.28807102612734,-82.25624739003133,-68.37561425630415
-32.67870159013461,-85.11121958823357,-72.99223401564944
-37.013226284335644,-85.64062768857258,-71.90918265573553
-44.93216379369562,-85.5747147426279,-72.18068292447391
-29.854276594032967,-82.71387369422295,-70.67594888751647
-38.034414232188794,-84.99620295138507,-71.95050351141714
-35.34409902619166,-82.42492635639468,-70.59374246976587
-19.322085209219495,-84.1832595692656,-72.450634724418
-23.966462116268303,-82.0295894239691,-71.44634406284005
-29.738244716515396,-81.31491736688587,-71.53729500731632
-39.989068456705866,-84.48316516520906,-73.82815974073011
-30.70896940955214,-83.56688031273706,-69.80460055140044
-31.476288566074345,-83.72439670929589,-71.30286074084376
-27.96327019207581,-80.3035118713338,-68.70474705388341
-43.6668357492303,-85.16936756040144,-70.71587725263696
-26.942787668208666,-85.27582981594844,-74.74941933699043
-36.71321047398425,-83.23421092096439,-71.73198541588559
-34.233511023806386,-84.05118398897079,-71.61451170762477
-31.948532188703325,-82.48611400426799,-70.94661814229092
-26.687886912583394,-85.18427117526996,-73.7725262229355
-24.717469756793832,-81.89847727072403,-71.73862519740744
-31.808599185537958,-81.78848651885815,-70.6617189566758
-21.787109031449404,-76.77797227761539,-67.5723673390803
-37.456462386180306,-87.09962693596883,-76.44893122904321
-18.704116634635625,-84.34467266832398,-72.45965289382832
-29.52838791195734,-80.39340722034001,-70.81080380637175
-25.23211516217168,-84.13131464277959,-72.37628497678884
-40.856462333348134,-87.24581167869363,-74.29907215770005
-26.30990498520515,-85.3083171935647,-73.53096447801053
-31.189073616533392,-85.85080075857856,-74.21674611807478
-10.827825652458841,-80.96493734931775,-71.95752419767847
-23.58449303292292,-85.29934924187403,-70.7638883558856
-34.97367191142905,-85.26893629216765,-72.13746550751134
-37.4359485227389,-84.57539564350944,-69.88425253905137
-15.951235786091729,-81.3751315539876,-72.2411786298282
-12.974284468117673,-76.72918220238762,-68.47378242673742
-37.758290130366106,-86.63937333859596,-73.85880404342986
-31.807727225243696,-85.38604719772165,-73.1282150849029
-30.829617484090477,-82.85285661815087,-71.90215882229295
-23.411572454812188,-81.02482618191448,-70.61824833257731
-26.227426033809706,-86.62518539090556,-73.18426045715756
