Order.q,target_coverage,delta_mean,delta_median,CI_low,CI_high,p_boot_two_sided
q0,0.95,-52.44388999648336,-52.535438139936815,-67.92711069970285,-36.20599527842264,0
q1,0.95,-101.70048743896514,-101.76302901012596,-106.81345676014536,-96.56129540430118,0
q2,0.95,-85.16612560646774,-85.19870410263692,-88.69225267886775,-81.43504255469587,0
