Assemblage,n,S.obs,SC,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
historical,13430,588,0.9908,123,82,40,29,27,22,18,18,10,13
contemporary,10626,559,0.9844,166,74,48,32,23,17,17,19,10,5
