Assemblage,era,sea_from_assemblage,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,sea,target_coverage
historical_bohol,historical,bohol,1921.848748224296,Rarefaction,0,0.9499999994880973,264.25452179836583,252.578207233955,275.9308363627767,bohol,0.95
historical_bohol,historical,bohol,1921.848748224296,Rarefaction,1,0.9499999994880973,99.61051883274035,96.0974998984645,103.1235377670162,bohol,0.95
historical_bohol,historical,bohol,1921.848748224296,Rarefaction,2,0.9499999994880973,49.37540930437778,46.98883780077384,51.76198080798173,bohol,0.95
contemporary_bohol,contemporary,bohol,2520.8288334045565,Rarefaction,0,0.9499999997437634,325.13478751035564,301.44751326792783,348.82206175278344,bohol,0.95
contemporary_bohol,contemporary,bohol,2520.8288334045565,Rarefaction,1,0.9499999997437634,106.466182344099,100.71122463320646,112.22114005499154,bohol,0.95
contemporary_bohol,contemporary,bohol,2520.8288334045565,Rarefaction,2,0.9499999997437634,47.77841779635457,44.36445076753387,51.19238482517527,bohol,0.95
historical_sulu,historical,sulu,1944.4126705652,Rarefaction,0,0.9500000008847158,278.1593539576621,266.2748964409212,290.043811474403,sulu,0.95
historical_sulu,historical,sulu,1944.4126705652,Rarefaction,1,0.9500000008847158,117.9431644893107,113.97925920540933,121.90706977321207,sulu,0.95
historical_sulu,historical,sulu,1944.4126705652,Rarefaction,2,0.9500000008847158,64.33113517833452,61.45141723365716,67.21085312301187,sulu,0.95
contemporary_sulu,contemporary,sulu,1938.4938356570945,Rarefaction,0,0.949999999727108,239.32204095932818,227.20579114063386,251.4382907780225,sulu,0.95
contemporary_sulu,contemporary,sulu,1938.4938356570945,Rarefaction,1,0.949999999727108,41.82631323628529,39.70397892577202,43.948647546798554,sulu,0.95
contemporary_sulu,contemporary,sulu,1938.4938356570945,Rarefaction,2,0.949999999727108,10.012419847106045,9.447156731580563,10.577682962631528,sulu,0.95
