Order.q,target_coverage,delta_mean,delta_median,CI_low,CI_high,p_boot_two_sided
q0,0.95,-30.355099921382266,-30.391855117891424,-44.561537687566684,-15.924350447109209,0
q1,0.95,-83.26330373575087,-83.37740736384306,-87.70835950669262,-78.16114701502278,0
q2,0.95,-71.47207506343022,-71.49708270902391,-74.75065734228585,-68.06209783723725,0
