Assemblage,n,S.obs,SC,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
historical,15081,677,0.9906,142,92,47,34,33,24,20,24,11,13
contemporary,11173,617,0.9832,188,85,55,37,23,17,20,19,10,6
