assemblage,era,sea,n_stations,n_species_observed,n_individuals,n_singletons,n_doubletons
historical_bohol,historical,bohol,13,393,6876,103,52
contemporary_bohol,contemporary,bohol,13,356,3205,131,55
historical_sulu,historical,sulu,8,402,6554,102,60
contemporary_sulu,contemporary,sulu,8,382,7421,114,53
