sea,Order.q,target_coverage,delta_mean,delta_median,CI_low,CI_high,p_boot_two_sided,n_boot_successful,sea_label
bohol,q0,0.95,8.380483891409476,8.697215653501274,-8.819125478910346,24.513481071435635,0.34165834165834164,1000,Bohol Sea
bohol,q1,0.95,0.9596458998498697,0.8764641687452794,-4.918840171818211,6.999263775601277,0.7732267732267732,1000,Bohol Sea
bohol,q2,0.95,-2.101403041518449,-2.1361509351735855,-6.025095463347195,2.337074400465504,0.2917082917082917,1000,Bohol Sea
sulu,q0,0.95,-36.56597282035777,-36.55885933861083,-50.341389987607684,-22.972173609721956,0.001998001998001998,1000,Sulu Sea
sulu,q1,0.95,-72.77347452443722,-72.77115082184416,-76.99526956633065,-68.316838606929025,0.001998001998001998,1000,Sulu Sea
sulu,q2,0.95,-53.429362750957694,-53.413673351293994,-56.47097287233317,-50.39902535479132,0.001998001998001998,1000,Sulu Sea
