q0,q1,q2
-53.78699724212623,-99.34863327272114,-85.01701050962872
-52.23829526885777,-101.26453320437943,-85.81341338847997
-59.21618447388835,-106.81311460255162,-86.35267449801533
-68.51444343334299,-101.66121429359447,-85.49563987701177
-48.982099384385094,-101.10408535228939,-85.44851586005501
-42.049739573830834,-94.41478603790333,-82.05611986339571
-44.34488566464523,-98.54526860315761,-84.82680237160649
-67.53261955876894,-105.08653238598738,-87.54187677370311
-42.288004546779405,-102.8454373697713,-86.58410404656408
-55.31682673067468,-102.3653737458382,-87.14630355735855
-50.55246761169303,-101.73982829791935,-85.00876690386286
-57.562278665038036,-100.92316648347614,-84.3420637915027
-59.99785939328365,-101.50068037726817,-83.05394456947714
-46.44142636053198,-98.54432565406802,-87.17117634362695
-60.720477303530515,-97.17157033531764,-81.5790850283194
-64.35639017971363,-105.36096301626993,-86.88073331883344
-50.77515120195591,-99.28767434715266,-81.77976165749888
-48.47113508195309,-99.05667441018737,-82.96645569661243
-38.682620852007915,-100.22707702723629,-83.8612611082539
-54.92197653234837,-105.56001480486226,-88.08322877476576
-51.284639146074426,-102.04923588679468,-83.8295128969891
-63.3447567333929,-103.82704869995446,-87.93777930654383
-47.01992910876385,-100.22256976785194,-83.11747385559255
-50.189380416085896,-102.20412802059303,-83.89348520762731
-46.94360657246676,-98.11309999240206,-82.4424844421225
-67.29118674472579,-104.53445581477686,-85.61942988168886
-38.35377086973892,-94.73022370490935,-83.23377479550221
-54.11854443107558,-101.84785610712862,-84.60731326688098
-60.90343146354593,-106.00493148935392,-88.1542785291854
-54.40855095812003,-106.67602529372056,-87.46491845473318
-57.16162018937274,-105.64660696275752,-87.7520920721931
-39.234422882044555,-97.71138213136491,-82.83029304525297
-54.65174950387484,-99.79357824535823,-83.4353054319586
-53.29008638621292,-98.14836408151058,-81.43591802676757
-46.67845131521989,-99.76426329184541,-81.32514921833847
-37.4444858960739,-104.16115363926659,-88.88503239051309
-55.57417673532194,-101.74981308678707,-85.06336027153073
-39.46413919615986,-97.30691683122072,-83.7478259527131
-54.01906956238338,-103.15062662873564,-83.50851840755575
-58.54107576163,-99.31553818148201,-83.04078123684394
-59.97677574364991,-105.93311251813377,-89.40213007796848
-72.00827545116795,-105.38715840095327,-87.06382451366422
-62.77543003073174,-102.67512680540855,-84.26756012871806
-64.89169853951432,-109.79322953847542,-90.63885411174851
-38.23112385732145,-99.58408736145962,-84.6008709390513
-49.775489624808415,-100.6599882604068,-85.27100391349938
-53.59447601647696,-100.88887116622631,-85.33918374096237
-49.85035164021002,-101.18459517283398,-84.75994402007984
-44.44085675786573,-102.40719314997239,-87.01087818642189
-61.051658436684136,-102.41208023602448,-85.51811340413204
-61.097488218503145,-102.81300744574854,-83.00590440712486
-67.26783273404675,-102.00445649748247,-84.80042235287517
-57.49661847045223,-104.41241660943066,-85.3940070684678
-51.451277000834295,-103.51606864303149,-86.40021718491883
-56.09405379209363,-102.11050431863386,-84.4060161531704
-56.76925237779051,-101.06896764375647,-86.22079504089399
-51.47560098726615,-100.3469841662037,-85.00744394889594
-48.54500005163493,-103.61522054106202,-88.0399530963624
