Arothron
Aurigequula fasciata
Callogobius producta
Eleotris
Glossogobius biocellatus
Lophogobius bleekeri
Lutjanus
Lutjanus argentimaculatus
Lutjanus russelli
Microphis retzii
Nemipteridae
Neostethus
Oligolepis acutipennis
Oligolepis stomias
Plectorhinchus albovittatus
Siganus
Terapon jarbua
Yarica hyalosoma
Pseudogobius
Toxotes jaculatrix
Exyrias puntang
Mugilogobius chulae
Soleidae
Butis butis
Meiacanthus anema
Ophiocara
Periophthalmus argentilineatus
Monodactylus
Ambassidae
Zenarchopterus dunckeri
Ophiocara porocephala
Bathygobius fuscus fuscus
Istiblennius dussumieri
Parioglossus raoi
Parioglossus taeniatus
Platax orbicularis
Pandaka pusilla
Amoya
Atherinomorus duodecimalis
Acentrogobius janthinopterus
Omox biporos Springer
Periophthalmus kalolo
Cryptocentrus
Mangarinus
Bostrychus sinensis
Omobranchus rotundiceps obliquus
Mugilogobius mertoni
Cryptocentroides
Calamiana mindora
Amphiprion
Bathygobius cocosensis
Blenniella caudolineata
Cheilinus chlorourus
Corythoichthys haematopterus
Halichoeres
Ostorhinchus novemfasciatus
Oxycheilinus bimaculatus
Pomacanthus imperator
Scaridae
Stethojulis bandanensis
Stethojulis trilineata
Istiblennius lineatus
Abudefduf vaigiensis
Canthigaster bennetti
Trimma halonevum Winterbottom
Trimma stobbsi Winterbottom
Amblyglyphidodon curacao
Amblyglyphidodon leucogaster
Archamia dispilus Lachner
Choeroichthys cinctus Dawson
Chromis
Cirrhitichthys falco
Doryrhamphus janssi
Dunckerocampus dactyliophorus
Eviota
Grammistops ocellatus
Liopropoma collettei Randall & Taylor
Myripristis
Paraluteres prionurus
Parapercis
Parapercis cephalopunctata
Parioglossus rainfordi
Plagiotremus rhinorhynchos
Saurida gracilis
Scorpaenodes
Scorpaenopsis venosa
Trimma cheni
Abudefduf
Acreichthys radiatus
Amphiprion ocellaris
Anthiinae
Bodianus dictynna Gomon
Cephalopholis leopardus
Chrysiptera rollandi
Cirrhilabrus cyanopleura
Ecsenius pictus McKinney & Springer
Halichoeres biocellatus Schultz
Labroides dimidiatus
Scorpaenopsis brevifrons Eschmeyer & Randall
Serranidae
Synchiropus bartelsi Fricke
Synodus variegatus
Trimma benjamini Winterbottom
Dascyllus reticulatus
Dascyllus trimaculatus
Samariscus
Gnatholepis cauerensis
Cirrhilabrus
Trimma okinawae
Pristiapogon kallopterus
Meiacanthus ditrema
Pseudocheilinus evanidus
Trimma macrophthalmus
Chromis ternatensis
Ostorhinchus aroubiensis
Chromis agilis
Ostorhinchus cyanosoma
Pristiapogon fraenatus
Ostorhinchus fleurieu
Acanthurus pyroferus
