station_code,nice_station_code,station_pair,nice_station_pair,study,sea,study_sea,province,municipality,date_collected,latitude,longitude,depth_m
LK_79_02,si_03_bohol,LK_79_02_SU_22_04,03_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-24,9.051667,122.985,3
LK_79_03,si_01_bohol,LK_79_03_SU_22_06,01_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-26,9.108333,122.923333,2
LK_79_04,si_04_bohol,LK_79_04_SU_22_08,04_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-28,9.066667,123.18,3
LK_79_13,si_13_bohol,LK_79_13_SU_19_01,13_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Siquijor,1979-05-14,9.225,123.48,30.5
LK_79_15,si_12_bohol,LK_79_15_SU_22_22,12_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Siquijor,1979-05-15,9.225,123.47,1
LK_79_16,si_08_bohol,LK_79_16_SU_22_23,08_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Larena,1979-05-15,9.2533,123.57,30.5
SP_78_03,si_09_bohol,SP_78_03_SU_22_24,09_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-09,9.175,123.4633,2
SP_78_04,si_10_bohol,SP_78_04_SU_19_03,10_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-09,9.1417,123.4894,6.1
SP_78_07,si_11_bohol,SP_78_07_SU_19_02,11_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-10,9.1411,123.4944,10.7
SP_78_09,si_05_bohol,SP_78_09_SU_22_07,05_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-12,9.0408,123.1269,9.1
SP_78_10,si_07_bohol,SP_78_10_SU_22_19,07_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-13,9.0458,123.1269,18.3
SP_78_11,si_06_bohol,SP_78_11_SU_22_20,06_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-13,9.0458,123.1269,12.2
SP_78_17,si_14_sulu,SP_78_17_SU_22_18,14_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Cuyo,1978-05-21,10.85333,121.00389,1
SP_78_18,si_19_sulu,SP_78_18_SU_22_09,19_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-22,10.91806,121.03417,4.6
