Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
263131,Specimen/Lot,,30,Eleotris melanosoma,,Eleotris melanosoma : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Eleotrinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,Removed from usnm 263130.,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3ae5b4785-d742-47ce-a78a-d88f4cb498a2
223068,Specimen/Lot,,1,Eviota nigramembrana Greenfield & Suzuki,Eviota,Eviota nigramembrana Greenfield & Suzuki : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,"Previously designated as MS name Eviota epistigmata, Lachner & Jewett.",333189,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/30691103a-0f69-4789-b150-490d5e7fccd7
268120,Specimen/Lot,,46,Exyrias puntang,,Exyrias puntang : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3e93c9dea-0014-48fa-bc7c-2da44ae3c426
273824,Specimen/Lot,,2,Gerres abbreviatus,,Gerres abbreviatus : Gerreidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gerreidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3ec76810c-15b8-4b30-a310-849333b67502
243305,Specimen/Lot,,1,Hippichthys spicifer,,Hippichthys spicifer : Syngnathidae : Syngnathiformes : Actinopterygii : Chordata,,,Syngnathiformes,Syngnathidae,Syngnathinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3be4c7259-64df-49dc-b150-f78a0a6eb8c0
273819,Specimen/Lot,,9,Lutjanus fulviflamma,,Lutjanus fulviflamma : Lutjanidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Lutjanidae,Lutjaninae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3701e3ad5-1a75-4ede-b468-1c5708520142
354445,Specimen/Lot,,7,Mugilogobius chulae,,Mugilogobius chulae : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,Removed from usnm 268197.,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3683aa29b-0ec9-4c14-b674-2a76a86d8bd2
268197,Specimen/Lot,,30,Mugilogobius mertoni,,Mugilogobius mertoni : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,"4 spec. (of original 41) exch. to univ paris vii, 28 apr 1987; 7 (of 37 remaining) mugilogobius chulae removed to usnm 354445. id'd by helen k. larson (ntm), 1998.",346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/34065cac5-02c3-4174-a5f5-64eaa0daf734
268192,Specimen/Lot,,4,Oligolepis moloanus,,Oligolepis moloanus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/306966709-530d-4d33-85eb-5640239b2915
241898,Specimen/Lot,,2,Ophiocara porocephala,,Ophiocara porocephala : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3be70212e-8901-4094-904f-737a05158e10
263130,Specimen/Lot,,1,Ophiocara porocephala,,Ophiocara porocephala : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,30+ specs. removed to usnm 263131; 3 specs. removed to usnm 263132.,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/33885c778-6dc3-4d82-b313-22cb8c9242d1
268196,Specimen/Lot,,8,Oxyurichthys cornutus,Oxyurichthys ophthalmonema,Oxyurichthys cornutus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,Glycerin with Cartilage Stain::2,,2 of original 8 c + s by rsb 3/24/86,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/376d7ae2a-48ad-4314-953e-05c43f7f3f73
273773,Specimen/Lot,,2,Paraplagusia bilineata,,Paraplagusia bilineata : Cynoglossidae : Pleuronectiformes : Actinopterygii : Chordata,,,Pleuronectiformes,Cynoglossidae,Cynoglossinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/38d8f6ee0-4e17-4914-a5d2-96aa933f864d
384748,Specimen/Lot,,1,Parascorpaena mossambica,,Parascorpaena mossambica : Scorpaenidae : Scorpaeniformes : Actinopterygii : Chordata,,,Scorpaeniformes,Scorpaenidae,Scorpaeninae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,Inv. No. 80-2020,,,,,,,,,,2/14/2018 14:04,http://n2t.net/ark:/65665/39a15e03d-55bb-42e1-b900-bc07bd276a64
261690,Specimen/Lot,,60,Periophthalmus argentilineatus,,Periophthalmus argentilineatus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Oxudercinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,2/11/2019 17:39,http://n2t.net/ark:/65665/3d46c81c9-d95f-41e7-99fc-c2254d1c6eb9
RAD 124969,Image,Radiograph Collection,1,Periophthalmus argentilineatus,,Periophthalmus argentilineatus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Oxudercinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,Catalog Number : USNM 261690,,SP-79,,,Rotenone,0 to 1,,Polyester:MSC:1,,,2078776,,,,,,,,,2/11/2019 15:34,http://n2t.net/ark:/65665/374b2ba18-07ad-47b3-8e03-2b581599bf6d
285833,Specimen/Lot,,1,Platax orbicularis,,Platax orbicularis : Ephippidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Ephippidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,:Larval Tank 01,,,372131,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3da3611ff-1fab-4606-8219-0ab7b5251595
268193,Specimen/Lot,,1,Plectorhinchus albovittatus,,Plectorhinchus albovittatus : Haemulidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Haemulidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/31cc53d6b-83a4-4c8d-b237-08ba4c04500a
268186,Specimen/Lot,,11,Pseudogobius,,Pseudogobius : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/37288bac6-29bc-4164-a214-d0517d61e87e
297672,Specimen/Lot,,1,Salarias fasciatus,,Salarias fasciatus : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Salariinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,333189,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/369adbb3d-16d1-49be-b615-39fb552943be
273803,Specimen/Lot,,3,Siganus guttatus,,Siganus guttatus : Siganidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Siganidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/31534e46f-55f6-4812-a34e-a0de6d09fa8b
226913,Specimen/Lot,,4,Sillago sihama,,Sillago sihama : Sillaginidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Sillaginidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,341645,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3c5787f60-c987-4cf6-bd7b-bc86a243c582
273800,Specimen/Lot,,2,Soleichthys heterorhinos,,Soleichthys heterorhinos : Soleidae : Pleuronectiformes : Actinopterygii : Chordata,,,Pleuronectiformes,Soleidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3466843aa-acbc-425e-a3d3-edaf7390c647
RAD 107236,Image,Radiograph Collection,1,Soleichthys heterorhinos,,Soleichthys heterorhinos : Soleidae : Pleuronectiformes : Actinopterygii : Chordata,,,Pleuronectiformes,Soleidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,Catalog Number : USNM 273800,,SP-79,,,Rotenone,0 to 1,,Polyester:NHB:1,,,2074458,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/34c1c5738-e1f7-4bd4-93ea-599b9bf4b7ce
224818,Specimen/Lot,,38,Terapon jarbua,,Terapon jarbua : Terapontidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Terapontidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,341645,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3666e9be0-6198-4458-bb2f-b17469a60de6
242155,Specimen/Lot,,1,Torquigener hypselogeneion,Amblyrhynchotes honckenii,Torquigener hypselogeneion : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata,,,Tetraodontiformes,Tetraodontidae,Tetraodontinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,350179,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/39b6574bb-5cec-45f5-828b-51862cdbe697
