Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
268119,Specimen/Lot,,28,Acentrogobius janthinopterus,,Acentrogobius janthinopterus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3721899c4-80f8-4b94-94b3-92cdd2b70c12
332769,Specimen/Lot,,4,Ambassidae,,Ambassidae : Ambassidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Ambassidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,0,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3f5de4f14-e3ea-413c-ab8c-dea0477c5be3
329189,Specimen/Lot,,3,Apogon,,Apogon : Apogonidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Apogonidae,Apogoninae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,333189,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/368b47698-d9f4-485d-accf-112df4ae5ed3
329190,Specimen/Lot,,1,Apogon,,Apogon : Apogonidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Apogonidae,Apogoninae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,0,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3f8aa8dbb-0637-45f8-993b-c711c834ce2f
242151,Specimen/Lot,,1,Arothron manilensis,,Arothron manilensis : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata,,,Tetraodontiformes,Tetraodontidae,Tetraodontinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,350179,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/34009f4ea-1412-478e-97f7-7a5065e50297
241853,Specimen/Lot,,2,Bostrychus sinensis,Bostrichthys sinensis,Bostrychus sinensis : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,5/31/2019 15:18,http://n2t.net/ark:/65665/3b86009d8-9ea6-42a8-ba59-34c4391a467b
263132,Specimen/Lot,,3,Bostrychus sinensis,Bostrichthys sinensis,Bostrychus sinensis : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,Removed from usnm 263130.,346491,,,,,,,,,5/31/2019 15:27,http://n2t.net/ark:/65665/3b37680bc-dfd3-4e97-97e1-8ba5c4f725b5
375619,Specimen/Lot,,8,Bothus pantherinus,,Bothus pantherinus : Bothidae : Pleuronectiformes : Actinopterygii : Chordata,,,Pleuronectiformes,Bothidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/39d316648-4734-4fa8-ba24-edcd38dc01a4
268602,Specimen/Lot,,5,Calamiana mindora,,Calamiana mindora : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,Det. by h. k. larson,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/3ae102977-aa44-4fe2-bb1c-14032b1512cf
273779,Specimen/Lot,,23,Chelon tade,Liza tade,Chelon tade : Mugilidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Mugilidae,,14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00),Pacific,,,,Siquijor Island,,Philippines,Siquijor,,"Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.",LK 79-14,,,SP-79,,,Rotenone,0 to 1,,,,,346491,,,,,,,,,12/1/2017 18:00,http://n2t.net/ark:/65665/327473d4e-1692-4f02-867d-33eb6e707e94
