Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
409745,Specimen/Lot,,1,Aulostomus chinensis,,Aulostomus chinensis : Aulostomidae : Syngnathiformes : Actinopterygii : Chordata,,,Syngnathiformes,Aulostomidae,,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,346491,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/3a73f5116-6880-46e4-aa5e-47b1dcc16dad
268180,Specimen/Lot,,4,Cheilodipterus macrodon,,Cheilodipterus macrodon : Apogonidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Apogonidae,Apogoninae,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,346491,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/3f3f41323-d4cd-4767-9f9f-8df5bec064a9
268149,Specimen/Lot,,10,Cheilodipterus quinquelineatus,,Cheilodipterus quinquelineatus : Apogonidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Apogonidae,Apogoninae,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,346491,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/3643c6df6-ad0f-45e1-8934-a9617582ab4a
279214,Specimen/Lot,,60,Chromis elerae Fowler & Bean,,Chromis elerae Fowler & Bean : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,346491,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/39dd0c8d7-232c-4a55-af66-06136c51690c
279234,Specimen/Lot,,62,Chromis ternatensis,,Chromis ternatensis : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,346491,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/33f0e5200-7d66-4a32-8121-04bc64b9381a
274017,Specimen/Lot,,2,Chrysiptera rollandi,Glyphidodontops rollandi,Chrysiptera rollandi : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,346491,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/36227716d-0620-45a8-b079-e6dfb8e02501
225139,Specimen/Lot,,1,Ecsenius bicolor,,Ecsenius bicolor : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Salariinae,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,341645,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/387c33e02-6ab8-48c2-97f7-3f8935a92a51
RAD 121464,Image,Radiograph Collection,1,Ecsenius bicolor,,Ecsenius bicolor : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Salariinae,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,Catalog Number : USNM 225139,,,,Sp-79,,13.1,,Polyester:NHB:1,,,2078776,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/3cf1765da-ed57-46a0-b3d7-c3ab11a8daa8
241837,Specimen/Lot,,1,Gnatholepis,,Gnatholepis : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,,346491,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/35572b28f-a710-4dbb-a2d4-2b38311219c0
225116,Specimen/Lot,,9,Meiacanthus anema,,Meiacanthus anema : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Blenniinae,28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,,,,,Sp-79,,13.1,,,,Entire lot exch. to ansp (inv. 11307).,341645,,,,,,,,,11/21/2017 16:17,http://n2t.net/ark:/65665/3330bd3ba-9d8f-43e2-9079-ce7ca6fc6431
