date_collected,ocean,sea_gulf,archipelago,island_grouping,island_name,country,province_state,district_county,precise_locality,centroid_latitude,centroid_longitude,collectors,field_number,vessel,cruise,station,expedition,collection_method,depth_m,odu_station_code,depth_m_min,depth_m_max
22 May 1978 (1978 May 22 - 0000 00 00),Pacific,NA,Philippine Archipelago,NA,Putic Island,Philippines,Palawan,NA,"Philippine Islands: Palawan Province, Putic Island, Northwest Side (Cuyo Island).",10.9181,121.034,"Springer, V. G.; Smithsonian Team; Alcala, A. C.; Silliman University Group",SP 78-18,NA,NA,NA,Sp-78,NA,0 to 4.6,SP_78-18,0,4.6
22 May 1978 (1978 May 22 - 0000 00 00),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippine Is.: Palawan Prov., Cuyo I., N. End",10.9083,121.051,"Smithsonian Team; Alcala, A. C.; Silliman University Group",SP 78-19,NA,NA,NA,Sp-78,NA,0 to 0.8,SP_78-19,0,0.8
8 May 1978 (1978 May 08 - 0000 00 00; 11:30 - 12:00),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Islands, Cebu I., southern tip.",9.4128,123.325,"Fehlmann, H. A.; Smithsonian Team",SP 78-2,NA,NA,NA,Sp-78,NA,1 to 2,SP_78-2,1,2
23 May 1978 (1978 May 23 - 0000 00 00; 08:15 - 09:45),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippines: Palawan Prov., Bararin I., W. Side (Cuyo Is.).",10.875,120.933,"Springer, V. G.; Smithsonian Team; Alcala, A. C.; Silliman University Group",SP 78-20,NA,NA,NA,SP-78,rotenone; dip net,0 to 14,SP_78-20,0,14
24 May 1978 (1978 May 24 - 0000 00 00),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippine Is: Palawan Province, NNE Side of Bararin Id. (Cuyo Is.)",10.8783,120.946,"Springer, V. G.; Smithsonian Team; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-21,NA,NA,NA,Sp-78,NA,0 to 17,SP_78-21,0,17
24 May 1978 (1978 May 24 - 0000 00 00; 18:00 - 19:00),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippines: Palawan Prov., Cuyo I. Sand Flat NW of Cuyo Town",10.86,121.006,"Fehlmann, H. A.",SP 78-23,NA,NA,NA,Sp-78,NA,0 to 2,SP_78-23,0,2
25 May 1978 (1978 May 25 - 0000 00 00; 10:30 - 11:40),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippine Is.: Palawan Province, Tagauayan Island, Western Side (Cuyo Is.)",10.9717,121.208,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-24,NA,NA,NA,Sp-78,NA,0 to 14,SP_78-24,0,14
25 May 1978 (1978 May 25 - 0000 00 00; 16:00 - 18:30),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippine Is., Palawan Prov., Tagauayan Is. (Cuyo Is.)",10.9633,121.226,"Springer, V. G.; Smithsonian Team; BFAR Team; Silliman University Group",SP 78-25,NA,NA,NA,SP-78,rotenone; dip net,0 to 2,SP_78-25,0,2
26-May-78,Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Islands, Cocoro Island (Cuyo Is.).",10.8817,121.204,"Springer, V. G.; Smithsonian Team; BFAR Team; Silliman University Group",SP 78-26,NA,NA,NA,SP-78,rotenone; dip net,0 to 3,SP_78-26,0,3
26 May 1978 (1978 May 26 - 0000 00 00; 12:00 - 13:30),Pacific,NA,Philippine Archipelago,Cuyo Islands,Cuyo Island,Philippines,Palawan,NA,"Philippine Islands: Palawan Province, Cocoro Island, West Side, (Cuyo Island)",10.8858,121.193,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-27,NA,NA,NA,Sp-78,NA,0 to 21,SP_78-27,0,21
26 May 1978 (1978 May 26 - 0000 00 00; 16:45 - 17:45),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippines, Cocoro Island, North Side (Cuyo Is.)",10.8944,121.198,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-28,NA,NA,NA,Sp-78,NA,0 to 1,SP_78-28,0,1
2 Jun 1978 (1978 Jun 02 - 0000 00 00; 08:00 - 09:15),Pacific,NA,Philippine Archipelago,NA,Mactan Island,Philippines,NA,NA,"Philippine Islands, Mactan Island, Off East Side, (Also Off Buyong Beach).",10.2858,124.002,"Springer, V. G.; Libbey, J. D.; Carpenter, K. E.",SP 78-29,NA,NA,NA,Sp-78,NA,0 to 40,SP_78-29,0,40
9 May 1978 (1978 May 09 - 0000 00 00),Pacific,NA,NA,NA,Siquijor,Philippines,NA,NA,"Philippine Islands: Siquijor I., W. Side, Paliton Village In San Juan Municipality.",9.175,123.463,"Springer, V. G.; Smithsonian Team; Local Children",SP 78-3,NA,NA,NA,Sp-78,NA,0 to 2,SP_78-3,0,2
3 Jun 1978 (1978 Jun 03 - 0000 00 00),Pacific,NA,Philippine Archipelago,NA,Mactan Island,Philippines,NA,NA,"Philippine Islands, Mactan Island, Off East Side (Off Buyong Beach - Just slightly Northeast of SP 78-29)",10.2858,124.002,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-30,NA,NA,NA,SP-78,rotenone,0 to 30,SP_78-30,0,30
3 Jun 1978 (1978 Jun 03 - 0000 00 00; 16:30 - 17:00),Pacific,NA,NA,NA,NA,Philippines,Negros Oriental,NA,Philippines: Negros Oriental,9.325,123.313,"Fehlmann, H. A.; et al.",SP 78-31,NA,NA,NA,Sp-78,NA,0 to 2,SP_78-31,0,2
4 Jun 1978 (1978 Jun 04 - 0000 00 00; 16:00 - 17:15),Pacific,NA,NA,NA,Negros,Philippines,NA,NA,"Philippines: Mouth of Ocoy River between Sibulan and Looc villages, on Negros Oriental.",9.3672,123.274,"Fehlmann, H. A.",SP 78-32,NA,NA,NA,SP-78,NA,0 to 0.5,SP_78-32,0,0.5
6 Jun 1978 (1978 Jun 06 - 0000 00 00; 11:00 - 12:15),Pacific,NA,Philippine Archipelago,NA,Apo Island,Philippines,NA,NA,"Philippine Islands, Apo Island, Southeast Side of Island",9.0772,123.279,"Springer, V. G.; Libbey, J. D.",SP 78-33,NA,NA,NA,Sp-78,NA,0 to 30,SP_78-33,0,30
6 Jun 1978 (1978 Jun 06 - 0000 00 00; 14:45 - 16:05),Pacific,NA,Philippine Archipelago,Visayas,Apo Island,Philippines,Negros Oriental,NA,"Philippine Islands, Apo Island, west side about 1/3 km North of south end",9.0736,123.268,"Springer, V. G.; Libbey, J. D.; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-34,NA,NA,NA,Sp-78,NA,0 to 6,SP_78-34,0,6
7 Jun 1978 (1978 Jun 07 - 0000 00 00),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Is., Apo Island, Southern Tip",9.0708,123.272,"Springer, V. G.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-35,NA,NA,NA,Sp-78,NA,0 to 6,SP_78-35,0,6
7 Jun 1978 (1978 Jun 07 - 0000 00 00; 11:43 - 13:00),Pacific,NA,Philippine Archipelago,Visayas,Apo Island,Philippines,Negros Oriental,Dauin,"Philippine Islands, Apo Island, Southeast Side of Island - a Little North (200 Ft) of SP 78-33",9.0772,123.279,"Springer, V. G.; Libbey, J. D.; BFAR Team",SP 78-36,NA,NA,NA,Sp-78,NA,0 to 39.5,SP_78-36,0,39.5
8 Jun 1978 (1978 Jun 08 - 0000 00 00; 12:10 - 13:20),Pacific,NA,NA,NA,NA,Philippines,Negros Oriental,NA,"Philippine Islands, Negros Id, Southeast Coast At Ajong",9.3833,123.258,"Springer, V. G.; Libbey, J. D.",SP 78-37,NA,NA,NA,Sp-78,NA,0 to 2,SP_78-37,0,2
13 Jun 1978 (1978 Jun 13 - 0000 00 00; 09:00 - 11:00),Pacific,NA,NA,NA,NA,Philippines,Negros Oriental,NA,"Philippines: Negros Oriental, Vic Dumaguete Airport & Silliman Univ. Marine Lab, Mojon Creek, Estuarine Slough Near Mouth.",9.3306,123.31,"Fehlmann, H. A.; Alcala, A. C.; et al.",SP 78-37B,NA,NA,NA,Sp-78,NA,0 to 1,SP_78-37B,0,1
10 Jun 1978 (1978 Jun 10 - 0000 00 00),Pacific,NA,Philippine Archipelago,Central Visayas,Balicasag Island,Philippines,Bohol,NA,"Philippine Islands, Balicasag Island, West Side At Drop Off.",9.5206,123.667,"Springer, V. G.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-38,NA,NA,NA,SP-78,rotenone; dip net,0 to 24,SP_78-38,0,24
11 Jun 1978 (1978 Jun 11 - 0000 00 00; 12:08 - 13:00),Pacific,NA,Philippine Archipelago,NA,Balicasag Island,Philippines,NA,NA,"Philippine Islands, Balicasag Island West Side At Drop Off",9.5206,123.667,"Springer, V. G.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-39,NA,NA,NA,Sp-78,NA,0 to 41,SP_78-39,0,41
9 May 1978 (1978 May 09 - 0000 00 00; 16:10 - 17:20),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Is.: Siquijor I., W. Side, ca. 3/4 mi. South of San Juan Town.",9.1417,123.489,"Springer, V. G.; Smithsonian Team; Silliman University Group; Carpenter, K. E.",SP 78-4,NA,NA,NA,Sp-78,NA,0 to 6,SP_78-4,0,6
11 Jun 1978 (1978 Jun 11 - 0000 00 00; 20:00),Pacific,NA,NA,NA,NA,Philippines,NA,NA,Off West Side of Pamilican Id Philippine Ids,9.4958,123.916,Silliman University Group,SP 78-40,NA,NA,NA,Sp-78,NA,1,SP_78-40,1,1
12 Jun 1978 (1978 Jun 12 - 0000 00 00; 07:08 - 08:15),Pacific,Bohol Sea,Philippine Archipelago,Central Visayas,Pamilacan Island,Philippines,Bohol,Baclayon,"Philippine Islands, Pamilacan Island, Off Southwest Tip of Island",9.4889,123.917,"Springer, V. G.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-41,NA,NA,NA,Sp-78,NA,0 to 33.5,SP_78-41,0,33.5
12 Jun 1978 (1978 Jun 12 - 0000 00 00; 09:30 - 10:10),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Islands, Pamilican Is., Just South of Northwest End of Island",9.5,123.921,"Springer, V. G.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-42,NA,NA,NA,Sp-78,NA,0 to 1,SP_78-42,0,1
12 Jun 1978 (1978 Jun 12 - 0000 00 00; 13:10 - 14:20),Pacific,Bohol Sea,Philippine Archipelago,Central Visayas,Pamilacan Island,Philippines,Bohol,Baclayon,"Philippine Islands, Pamilikan Island Off SW Tip of Island",9.4889,123.917,"Springer, V. G.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-43,NA,NA,NA,Sp-78,NA,0 to 24,SP_78-43,0,24
14 Jun 1978 (1978 Jun 14 - 0000 00 00; 09:30 - 12:15),Pacific,NA,Philippine Archipelago,NA,Negros,Philippines,Negros Oriental,NA,"Philippines: Negros Oriental, Vicinity Port Siyt, NW Side of Entrance To Small Bay",9.0667,123.147,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.",SP 78-44,NA,NA,NA,Sp-78,NA,0 to 2,SP_78-44,0,2
17 Jun 1978 (1978 Jun 17 - 0000 00 00),Pacific,NA,NA,NA,Negros,Philippines,NA,NA,"Philippine Is., Negros I., East of Bais",9.6161,123.168,"Springer, V. G.; Knapp, L. W.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group",SP 78-45,NA,NA,NA,Sp-78,rotenone; dip net,0 to 37,SP_78-45,0,37
18 Jun 1978 (1978 Jun 18 - 0000 00 00; 15:00 - 17:10),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Ajong, Negros Island, Philippine Islands",9.3833,123.258,"Springer, V. G.; Knapp, L. W.; Alcala, L.",SP 78-46,NA,NA,NA,SP-78,rotenone; dip net,0 to 2,SP_78-46,0,2
22 Jun 1978 (1978 Jun 22 - 0000 00 00; 15:30 - 17:00),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Islands, Apo Island, east side at sandy beach next to Chanos Pond.",9.0667,123.275,"Libbey, J. D.; Knapp, L. W.; Silliman University Group",SP 78-47,NA,NA,NA,Sp-78,NA,1 to 5,SP_78-47,1,5
22 Jun 1978 (1978 Jun 22 - 0000 00 00; 20:30 - 22:30),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Islands, Apo Island, East Side At Fishing Village",9.0833,123.275,"Libbey, J. D.; Knapp, L. W.; Silliman University Group",SP 78-48,NA,NA,NA,SP-78,skin & scuba diving,1 to 9,SP_78-48,1,9
23 Jun 1978 (1978 Jun 28 - 0000 00 00),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Islands, Apo Island, east side at fishing village.",9.0856,123.275,"Libbey, J. D.; Knapp, L. W.; Silliman University Group",SP 78-49,NA,NA,NA,Sp-78,NA,0.6 to 12,SP_78-49,0.6,12
10 May 1978 (1978 May 10 - 0000 00 00),Pacific,NA,Philippine Archipelago,Central Visayas,Siquijor Island,Philippines,NA,NA,"Philippine Islands, Siquijor Island, West side, approximately 1 1/4 miles Northwest of Paliton Village",9.1778,123.448,"Springer, V. G.; Smithsonian Team; Silliman University Group",SP 78-5,NA,NA,NA,Sp-78,NA,0 to 1.8,SP_78-5,0,1.8
23 Jun 1978 (1978 Jun 23 - 0000 00 00; 12:30 - 14:00),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Islands, Apo Island, Northwest Corner",9.09,123.274,"Libbey, J. D.; Knapp, L. W.; Silliman University Group",SP 78-50,NA,NA,NA,Sp-78,NA,2 to 15,SP_78-50,2,15
10 May 1978 (1978 May 10 - 0000 00 00),Pacific,NA,NA,NA,Siquijor,Philippines,NA,NA,"Philippine Is., Siquijor I. West Side, ca 1/2 Miles WSW of San Juan",9.1461,123.473,"Springer, V. G.; Local Fishermen",SP 78-6,NA,NA,NA,Sp-78,NA,NA,SP_78-6,NA,NA
10 May 1978 (1978 May 10 - 0000 00 00),Pacific,NA,Philippine Archipelago,Central Visayas,Siquijor Island,Philippines,Siquijor,NA,"Philippine Islands: Siquijor Island, West Side, approximately 1 Mile South of San Juan Town.",9.1411,123.494,"Springer, V. G.; Smithsonian Team; Silliman University Group",SP 78-7,NA,NA,NA,SP-78,rotenone,0 to 10.7,SP_78-7,0,10.7
12 May 1978 (1978 May 12 - 0000 00 00),Pacific,NA,Philippine Archipelago,NA,Negros,Philippines,NA,NA,"Southern tip of Negros Island, just off shore from Bonbonon Point",9.0408,123.127,"Springer, V. G.; Smithsonian Team",SP 78-9,NA,NA,NA,SP-78,rotenone,6 to 9.1,SP_78-9,6,9.1
12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,NA,NA,NA,Negros,Philippines,NA,NA,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,NA,NA,NA,NA,rotenone; dip net,0 to 1,SP_78-8,0,1
28 Apr 1979 (1979 Apr 28 - 0000 00 00; 11:35 - 12:15),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"300 Yards S.W. Harbor Entrance, Bonbonon Bay, Negros Oriental, P.I.",9.05,123.12,"Libbey, J. D.; Catada, D.; Bernard, B.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",JL-1,NA,NA,NA,Sp-79,NA,13.1,JL-1,13.1,13.1
29 Apr 1979 (1979 Apr 29 - 0000 00 00; 13:00 - 13:40),Pacific,NA,NA,NA,Cebu Island,Philippines,Cebu,NA,"Liloan Point (Whirlpool Point), Southern Tip Cebu, P.I.",9.4133,123.3,"Libbey, J. D.; Miclat, R.; Bernard, B.; Catada, D.",JL-2,NA,NA,NA,Sp-79,NA,13 to 19,JL-2,13,19
7 May 1979 (1979 May 07 - 0000 00 00; 14:38),Pacific,NA,Philippine Archipelago,Central Visayas,Pescador Island,Philippines,Cebu,Moalboal,"Northwest side of Pescador Island, 2 km From Cebu Mainland Nearest Town Resort of Moalboal, Cebu, Philippine Islands",9.925,123.342,"Libbey, J. D.; Podkulski, K.; Miclat, R.; Catada, D.",JL-3,NA,NA,NA,Sp-79,NA,18 to 24,JL-3,18,24
8 May 1979 (1979 May 08 - 0000 00 00; 09:18),Pacific,NA,NA,NA,Cebu Island,Philippines,Cebu,NA,"Northwest side of Pescador Island, 2 km From Cebu Mainland Nearest Town Resort of Moalboal, Cebu, P.I.",9.925,123.342,"Libbey, J. D.; Podkulski, K.; Miclat, R.; Catada, D.",JL-4,NA,NA,NA,Sp-79,NA,30,JL-4,30,30
8 May 1979 (1979 May 08 - 0000 00 00; 14:30),Pacific,NA,NA,NA,Cebu Island,Philippines,Cebu,NA,"SW Coast Cebu-Vicinity Santa Filomena, Just S of Guiuanon Point, Southern Cebu, P.I.",9.7717,123.342,"Miclat, R.; Libbey, J. D.; McIntyre, P.; Podkulski, K.",JL-5,NA,NA,NA,Sp-79,rotenone,0 to 1,JL-5,0,1
11 May 1979 (1979 May 11 - 0000 00 00; 10:45),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"(Apo-Southwest) Apo Island, Southwest Side, Negros Oriental, Philippine Islands",9.075,123.273,"Libbey, J. D.; Podkulski, K.; Miclat, R.; McIntyre, P.; Bernard",JL-6,NA,NA,NA,Sp-79,NA,29 to 37,JL-6,29,37
18 May 1979 (1979 May 18 - 0000 00 00; 14:15 - 15:15),Pacific,NA,Philippine Archipelago,NA,Cebu Island,Philippines,Cebu,NA,"Caceres Reef near Huisan Point, east coast of Cebu, Philippine Islands",NA,NA,"Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.; McIntyre, P.; Keisner",JL-7,NA,NA,NA,SP-79,NA,24 to 30,JL-7,24,30
23 Apr 1979 (1979 Apr 23 - 0000 00 00; 14:30 - 15:30),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Near Senora Ascion, North of Dumaguete, Negros Oriental, Philippine Islands",9.395,123.257,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.",LK 79-1,NA,NA,NA,Sp-79,rotenone,0 to 2,LK_79-1,0,2
4 May 1979 (1979 May 04 - 0000 00 00),Pacific,NA,Philippine Archipelago,NA,Mindanao,Philippines,Zamboanga del Norte,NA,"West Side Solino (Selinog) Island, Zamboanga Del Norte, Mindanao, Philippine Islands",8.8617,123.41,"Alcala, A. C.; Fehlmann, H. A.; Ferrari, F. D.",LK 79-10,NA,NA,NA,Sp-79,NA,0 to 5,LK_79-10,0,5
7 May 1979 (1979 May 07 - 0000 00 00; 13:05 - 15:00),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"East Side of Daco Island, North Bais Bay, Negros Oriental, Philippine Islands",9.58,123.153,"Knapp, L. W.",LK 79-11,NA,NA,NA,Sp-79,pronofish,0 to 1,LK_79-11,0,1
9 May 1979 (1979 May 09 - 0000 00 00; 14:00 - 16:30),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Canauay River About 250 Ft Upstream From Mouth, Along Western Shore and In Tidal Mangrove Pool, Negros Oriental, Philippine Islands",9.05,123.063,"Knapp, L. W.; Fehlmann, H. A.; Alcala, A. C.; Alcala, L.; Cabanban, A. A.",LK 79-12,NA,NA,NA,Sp-79,NA,0 to 0.9,LK_79-12,0,0.9
14 May 1979 (1979 May 14 - 0000 00 00; 11:30 - 13:00),Pacific,NA,Philippine Archipelago,Central Visayas,Siquijor Island,Philippines,NA,NA,"Approximately 2 km West Town of Siquijor, Siquijor Island, Philippine Islands",9.225,123.48,"Libbey, J. D.; Knapp, L. W.; Fehlmann, H. A.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.; Catada, D.",LK 79-13,NA,NA,NA,Sp-79,rotenone,24 to 30,LK_79-13,24,30
15 May 1979 (1979 May 15 - 0000 00 00; 05:30 - 07:30),Pacific,NA,Philippine Archipelago,Central Visayas,Siquijor Island,Philippines,NA,NA,"Near Tonga Point, Siquijor Island, Philippine Islands",9.225,123.47,"Knapp, L. W.; Fehlmann, H. A.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Alcala, A. C.; Alcala, L.",LK 79-15,NA,NA,NA,Sp-79,rotenone,0 to 1,LK_79-15,0,1
15 May 1979 (1979 May 15 - 0000 00 00; 12:00 - 13:00),Pacific,NA,Philippine Archipelago,Central Visayas,Siquijor Island,Philippines,Siquijor,NA,"1 km. West Town of Larena, Siquijor Island, Philippine Islands",9.2533,123.57,"Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Alcala, L.; Catada, D.; Bernard, B.",LK 79-16,NA,NA,NA,Sp-79,NA,0 to 30,LK_79-16,0,30
16 May 1979 (1979 May 16 - 0000 00 00; 06:30 - 07:45),Pacific,NA,Philippine Archipelago,NA,Siquijor,Philippines,Siquijor,NA,"Tidal Inlet At Sabanj, Siquijor Island, P.I.",9.23,123.558,"Knapp, L. W.; Fehlmann, H. A.; Ferrari, F. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Alcala, L.; Alcala, A. C.",LK 79-17,NA,NA,NA,Sp-79,NA,0 to 1,LK_79-17,0,1
17 May 1979 (1979 May 17 - 0000 00 00; 06:45 - 08:30),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Ocoy River Near Dumaguete, Negros Oriental, P.I.",9.37,123.275,"Fehlmann, H. A.; Alcala, L.; Alcala, A. C.",LK 79-18,NA,NA,NA,Sp-79,NA,0 to 1,LK_79-18,0,1
18 May 1979 (1979 May 18 - 0000 00 00),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Maloh, Negros Oriental, Philippine Islands",9.0517,122.995,"Fehlmann, H. A.; Alcala, A. C.; Cabanban, A. A.",LK 79-19,NA,NA,NA,Sp-79,rotenone,0 to 3.1,LK_79-19,0,3.1
24 Apr 1979 (1979 Apr 24 - 0000 00 00; 15:00 - 17:00),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Near Maloh, Negros Oriental, Philippine Islands",9.0517,122.985,"Knapp, L. W.; Libbey, J. D.; Alcala, L.; Ferrari, F. D.; Catada, D.",LK 79-2,NA,NA,NA,Sp-79,rotenone,0 to 3,LK_79-2,0,3
18 May 1979 (1979 May 18 - 0000 00 00; 07:30 - 10:45),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Apo Island, Opposite West End of Chanos Pond",9.075,123.273,"Knapp, L. W.; Alcala, L.; Catada, D.; Inocencio, C.",LK 79-20,NA,NA,NA,Sp-79,NA,0 to 2,LK_79-20,0,2
