date_collected,ocean,sea_gulf,archipelago,island_grouping,island_name,country,province_state,district_county,precise_locality,centroid_latitude,centroid_longitude,collectors,field_number,vessel,cruise,station,expedition,collection_method,depth_m,odu_station_code,depth_m_min,depth_m_max
10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,NA,NA,NA,Negros,Philippines,Negros Oriental,NA,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,NA,NA,NA,Smithsonian-Philippine Marine Biology Project,rotenone; dip net,0,SP_78-37A,0,0
24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,NA,Cuyo Islands,Cuyo Island,Philippines,Palawan,NA,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,NA,NA,NA,"Smithsonian-Philippine Marine Biology Project, 1978",rotenone,0 to 0.8,SP_78-22,0,0.8
8 May 1978 (1978 May 08 - 0000 00 00),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Is., Cebu, SW Tip Off Liloan Pt. Tanon Strait.",9.4208,123.296,"Springer, V. G.; Smithsonian Team",SP 78-1,NA,NA,NA,Sp-78,NA,0 to 1.8,SP_78-1,0,1.8
13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,NA,NA,NA,SP-78,rotenone; dip net,0 to 18.3,SP_78-10,0,18.3
13 May 1978 (1978 May 13 - 0000 00 00; 07:35 - 08:50),Pacific,NA,NA,NA,Negros,Philippines,NA,NA,"Philippine Is.: Oriental Negros, Just off Bonbonon Point at southern tip of island",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-11,NA,NA,NA,SP-78,rotenone; dip net,0 to 12,SP_78-11,0,12
13 May 1978 (1978 May 13 - 0000 00 00; 06:30 - 10:30),Pacific,NA,NA,NA,Negros,Philippines,NA,NA,"Philippine Is., Negros I., South End, ca 1/2 Mile S.E. of Maloh Village, Rocky Shore Along Hwy. 1.",9.0522,122.992,"Knapp, L. W.; Alcala, A. C.; Estano, M.; Fehlmann, H. A.",SP 78-12,NA,NA,NA,Sp-78,rotenone,0 to 1,SP_78-12,0,1
13 May 1978 (1978 May 13 - 0000 00 00; 14:00 - 15:30 Pm),Pacific,NA,NA,NA,NA,Philippines,NA,NA,"Philippine Is.: Negros Is., S. End, ca. 1 mi. SSE of Siaton Town, Canauay R. Estuary.",9.0508,123.042,"Knapp, L. W.; Alcala, A. C.; Estano, M.; Fehlmann, H. A.",SP 78-13,NA,NA,NA,Sp-78,NA,0 to 2,SP_78-13,0,2
15 May 1978 (1978 May 15 - 0000 00 00; 08:30 - 11:30),Pacific,NA,NA,NA,Negros,Philippines,NA,NA,"Philippine Is.: Negros Oriental, South Bais Bay.",9.5717,123.15,"Springer, V. G.; Smithsonian Team; Carpenter, K. E.",SP 78-15,NA,NA,NA,Sp-78,NA,0 to 1,SP_78-15,0,1
15 May 1978 (1978 May 15 - 0000 00 00; 12:30 - 13:30 Pm),Pacific,NA,Philippine Archipelago,Visayas,Negros,Philippines,Negros Oriental,NA,"Philippine Islands, Oriental Negros, approximately 3 km East of Diutay Island",9.6161,123.168,"Springer, V. G.; Smithsonian Team",SP 78-16,NA,NA,NA,Sp-78,NA,0 to 21,SP_78-16,0,21
21 May 1978 (1978 May 21 - 0000 00 00; 15:30 - 17:30),Pacific,NA,NA,NA,NA,Philippines,Palawan,NA,"Philippines, Palawan Prov., Cuyo I.",10.8533,121.004,"Springer, V. G.; Smithsonian Team",SP 78-17,NA,NA,NA,Sp-78,NA,1,SP_78-17,1,1
