Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"385558","Specimen/Lot","",2,"Abalistes stellatus","Abalistes stellaris","Abalistes stellatus : Balistidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Balistidae","","5 Jun 1978 (1978 Jun 05 - 0000 00 00)","North Pacific Ocean","Visayan Sea","Philippine Archipelago","","Tanguingui Island","","Philippines","","","Philippine Islands: Visayan Sea between northern Negros and Masbate Island, North of Tanguingui I.",11.6125,123.765,"Alcala, L.; Hendler, G.; Knapp, L. W.","","","Sting Ray V","","T-5","Sp-78","80-ft Otter Trawl","0 to 82.3","",,,"","333189","","","","","","","","","08 Apr 2020 16:39:00","http://n2t.net/ark:/65665/3034e25a8-d195-4be9-8112-54d29a6f6da6"
"396136","Specimen/Lot","",1,"Abalistes stellatus","","Abalistes stellatus : Balistidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Balistidae","","4 Jun 1978 (1978 Jun 04 - 0000 00 00)","North Pacific Ocean","Visayan Sea","Philippine Archipelago","","","","Philippines","","","Philippine Islands, Vasayan Sea between Northern Negros and Masbate Island, S.E. Sicogon Island.",11.325,123.372,"Alcala, L.; Hendler, G.; Knapp, L. W.","","","Sting Ray V","","T-2","Sp-78","80-ft Otter Trawl","0 to 32.9","",,,"","333189","","","","","","","","","08 Apr 2020 15:29:00","http://n2t.net/ark:/65665/30ea4e861-6050-4a0c-a2e9-bf5ec1354850"
"397868","Specimen/Lot","",1,"Ablabys taenianotus","","Ablabys taenianotus : Tetrarogidae : Scorpaeniformes : Actinopterygii : Chordata","","","Scorpaeniformes","Tetrarogidae","","26 May 1978 (1978 May 26 - 0000 00 00)","North Pacific Ocean","","Philippine Archipelago","Cuyo Islands","Cocoro","","Philippines","Palawan","","Philippine Islands, Cocoro Island (Cuyo Island).",10.8817,121.204,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines","SP 78-26","","","","","Sp-78","Rotenone; Dipnet","0 to 3","",,,"Invoice Number: 79-1767","","","","","","","","","","11 Aug 2020 18:55:00","http://n2t.net/ark:/65665/399158bdb-01c8-4a66-910a-25e33554f6fb"
"420698","Specimen/Lot","",6,"Ablabys taenianotus","","Ablabys taenianotus : Tetrarogidae : Scorpaeniformes : Actinopterygii : Chordata","","","Scorpaeniformes","Tetrarogidae","","10 May 1978 (1978 May 10 - 0000 00 00)","North Pacific Ocean","","Philippine Archipelago","Central Visayas","Siquijor Island","","Philippines","Siquijor","","Philippine Islands, Siquijor Island, West side, approximately 1 1/4 miles Northwest of Paliton Village.",9.1778,123.448,"Springer, V. G.; Smithsonian Team; Silliman University Group","SP 78-5","","","","","Sp-78","Rotenone; Derris Root","0 to 1.8","",,,"","","","","","","","","","","07 Aug 2020 20:50:00","http://n2t.net/ark:/65665/32e65e1b9-91b4-4b69-97bc-faa4a8441da5"
"260852","Specimen/Lot","",2,"Abudefduf","","Abudefduf : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.; et al.","SP 78-10","","","","","SP-78","Rotenone; Dip Net","0 to 18.3","",,,"","333189","","","","","","","","","10 Aug 2020 19:34:00","http://n2t.net/ark:/65665/36ba580a7-7f9a-4bcc-8ea5-dd232dab6f6c"
"282106","Specimen/Lot","",2,"Abudefduf","","Abudefduf : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","25 May 1978 (1978 May 25 - 0000 00 00; 10:30 - 11:40)","North Pacific Ocean","","Philippine Archipelago","","Tagauayan Island","","Philippines","Palawan","","Philippine Island: Palawan Province, Tagauayan Island, Western Side (Cuyo Island)",10.9717,121.208,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines","SP 78-24","","","","","Sp-78","Rotenone; Dip Net","0 to 14","",,,"","333189","","","","","","","","","11 Aug 2020 17:40:00","http://n2t.net/ark:/65665/3996126c0-5888-4c8c-adf0-11ac8067c0f0"
"371882","Specimen/Lot","",9,"Abudefduf lorenzi Hensley & Allen","","Abudefduf lorenzi Hensley & Allen : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","13 May 1978 (1978 May 13 - 0000 00 00; 06:30 - 10:30)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","","","Philippine Islands, Negros Island, South End, approximately 1/2 Mile S.E. of Maloh Village, Rocky Shore Along Highway 1.",9.0522,122.992,"Knapp, L. W.; Alcala, A. C.; Estano, M.; Fehlmann, H. A.","SP 78-12","","","","","Sp-78","Rotenone; Derris Root","0 to 1","",,,"","333189","","","","","","","","","10 Aug 2020 20:32:00","http://n2t.net/ark:/65665/322488c68-d0e4-4fb8-9f35-4fed1565a802"
"221943","Specimen/Lot","",1,"Abudefduf saxatilis","","Abudefduf saxatilis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00)","North Pacific Ocean","","Philippine Archipelago","","Negros","","Philippines","","","Philippine Islands, Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team","SP 78-8","","","","","Sp-78","Rotenone; Dip Net","0 to 1","",,,"","333189","","","","","","","","","07 Aug 2020 21:55:00","http://n2t.net/ark:/65665/37f522b16-c032-4dfd-a66e-3ed7d9794c00"
"221944","Specimen/Lot","",2,"Abudefduf saxatilis","","Abudefduf saxatilis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","12 Jun 1978 (1978 Jun 12 - 0000 00 00; 09:30 - 10:10)","North Pacific Ocean","","Philippine Archipelago","Cuyo Islands","Pamilican Island","","Philippines","Palawan","","Philippine Islands, Pamilican Island, Just South of Northwest End of Island.",9.5,123.921,"Springer, V. G.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Silliman University Group","SP 78-42","","","","","Sp-78","Rotenone; Dip Net","0 to 1","",,,"","333189","","","","","","","","","13 Aug 2020 18:31:00","http://n2t.net/ark:/65665/3b07301a3-a1d3-4fe2-9a97-1847f4ea5404"
"221969","Specimen/Lot","",10,"Abudefduf septemfasciatus","","Abudefduf septemfasciatus : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","13 May 1978 (1978 May 13 - 0000 00 00; 06:30 - 10:30)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","","","Philippine Islands, Negros Island, South End, approximately 1/2 Mile S.E. of Maloh Village, Rocky Shore Along Highway 1.",9.0522,122.992,"Knapp, L. W.; Alcala, A. C.; Estano, M.; Fehlmann, H. A.","SP 78-12","","","","","Sp-78","Rotenone; Derris Root","0 to 1","",,,"","333189","","","","","","","","","10 Aug 2020 20:32:00","http://n2t.net/ark:/65665/3d39b6182-ab5d-4f2f-8876-ef1ada8ad5e1"
"221962","Specimen/Lot","",1,"Abudefduf sexfasciatus","","Abudefduf sexfasciatus : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","26 May 1978 (1978 May 26 - 0000 00 00)","North Pacific Ocean","","Philippine Archipelago","Cuyo Islands","Cocoro","","Philippines","Palawan","","Philippine Islands, Cocoro Island (Cuyo Island).",10.8817,121.204,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines","SP 78-26","","","","","Sp-78","Rotenone; Dipnet","0 to 3","",,,"","333189","","","","","","","","","11 Aug 2020 18:22:00","http://n2t.net/ark:/65665/37be650e0-6c36-4848-b0bd-85c4841a86d1"
"221964","Specimen/Lot","",2,"Abudefduf sexfasciatus","","Abudefduf sexfasciatus : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","13 May 1978 (1978 May 13 - 0000 00 00; 06:30 - 10:30)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","","","Philippine Islands, Negros Island, South End, approximately 1/2 Mile S.E. of Maloh Village, Rocky Shore Along Highway 1.",9.0522,122.992,"Knapp, L. W.; Alcala, A. C.; Estano, M.; Fehlmann, H. A.","SP 78-12","","","","","Sp-78","Rotenone; Derris Root","0 to 1","",,,"","333189","","","","","","","","","10 Aug 2020 20:32:00","http://n2t.net/ark:/65665/35f757923-70b2-41ba-94bf-5de68561ad00"
"221967","Specimen/Lot","",7,"Abudefduf sexfasciatus","","Abudefduf sexfasciatus : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","25 May 1978 (1978 May 25 - 0000 00 00; 16:00 - 18:30)","North Pacific Ocean","","Philippine Archipelago","","Tagauayan Island","","Philippines","Palawan","","Philippine Islands, Palawan Province, Tagauayan Island (Cuyo Island).",10.9633,121.226,"Springer, V. G.; Smithsonian Team; BFAR Team; Silliman University Group","SP 78-25","","","","","SP-78","Rotenone; Dip Net","0 to 2","",,,"","333189","","","","","","","","","11 Aug 2020 17:55:00","http://n2t.net/ark:/65665/3a398ba12-87ca-4dbd-a7dd-c641b7002729"
"221947","Specimen/Lot","",3,"Abudefduf vaigiensis","Abudefduf saxatilis vaigiensis","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","4 Jun 1978 (1978 Jun 04 - 0000 00 00; 16:00 - 17:15)","North Pacific Ocean","","","","Negros","","Philippines","","","Philippines: Mouth of Ocoy River between Sibulan and Looc villages, on Negros Oriental.",9.3672,123.274,"Fehlmann, H. A.; Duran, E.; Raymundo, M.; Local Fishermen","SP 78-32","","","","","SP-78","Rotenone; Dipnet; By Hand","0 to 0.5","",,,"","333189","","","","","","","","","12 Aug 2020 18:43:00","http://n2t.net/ark:/65665/30053f505-8bc5-45a8-8bf6-448db84445d6"
