Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"384760","Specimen/Lot","",1,"Ablabys taenianotus","","Ablabys taenianotus : Tetrarogidae : Scorpaeniformes : Actinopterygii : Chordata","","","Scorpaeniformes","Tetrarogidae","","15 May 1979 (1979 May 15 - 0000 00 00; 05:30 - 07:30)","North Pacific Ocean","","Philippine Archipelago","Central Visayas","Siquijor Island","","Philippines","Siquijor","","Near Tonga Point, Siquijor Island, Philippine Islands",9.225,123.47,"Knapp, L. W.; Fehlmann, H. A.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Alcala, A. C.","LK 79-15; LWK 79-15","","","","","Sp-79","Pro-Noxfish","0 to 1","",,,"","","","","","","","","","","27 Jul 2020 19:34:00","http://n2t.net/ark:/65665/3bd2aa8c8-e2ca-41b4-ad32-4c8789b5740e"
"371881","Specimen/Lot","",2,"Abudefduf vaigiensis","","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","15 May 1979 (1979 May 15 - 0000 00 00; 05:30 - 07:30)","North Pacific Ocean","","Philippine Archipelago","Central Visayas","Siquijor Island","","Philippines","Siquijor","","Near Tonga Point, Siquijor Island, Philippine Islands",9.225,123.47,"Knapp, L. W.; Fehlmann, H. A.; Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Alcala, A. C.","LK 79-15; LWK 79-15","","","","","Sp-79","Pro-Noxfish","0 to 1","",,,"","000000","","","","","","","","","27 Jul 2020 19:25:00","http://n2t.net/ark:/65665/375332074-2675-4370-86ea-7ce809d0391a"
"371894","Specimen/Lot","",2,"Abudefduf vaigiensis","","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","24 Apr 1979 (1979 Apr 24 - 0000 00 00; 15:00 - 17:00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Near Maloh, Negros Oriental, Philippine Islands",9.0517,122.985,"Knapp, L. W.; Libbey, J. D.; Alcala, L.; Ferrari, F. D.; Catada, D.","LK 79-2; LWK 79-2","","","","","Sp-79","Pro-Noxfish","0 to 3","",,,"","000000","","","","","","","","","24 Jul 2020 15:18:00","http://n2t.net/ark:/65665/3deb84bb6-6401-48ec-852d-d5278cb6dcb3"
"371900","Specimen/Lot","",4,"Abudefduf vaigiensis","","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","23 Apr 1979 (1979 Apr 23 - 0000 00 00; 14:30 - 15:30)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Near Senora Ascion, North of Dumaguete, Negros Oriental, Philippine Islands",9.395,123.257,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.","LK 79-1; LWK 79-1","","","","","Sp-79","Pro-Noxfish","0 to 2","",,,"","000000","","","","","","","","","24 Jul 2020 15:05:00","http://n2t.net/ark:/65665/387b77a42-0100-48d0-aff2-11988c8d7b57"
"371901","Specimen/Lot","",2,"Abudefduf vaigiensis","","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","18 May 1979 (1979 May 18 - 0000 00 00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Maloh, Negros Oriental, Philippine Islands",9.0517,122.995,"Fehlmann, H. A.; Alcala, A. C.; Cabanban, A. A.","LK 79-19; LWK 79-19","","","","","Sp-79","Resin 2 gal.","0","",,,"","000000","","","","","","","","","27 Jul 2020 20:42:00","http://n2t.net/ark:/65665/351c7a7f3-6b38-4fc8-a01c-ec760b57ea36"
"371902","Specimen/Lot","",1,"Abudefduf vaigiensis","","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","3 May 1979 (1979 May 03 - 0000 00 00; 07:15 - 09:00)","North Pacific Ocean","","Philippine Archipelago","Mindanao Group","Selinog Island","","Philippines","Zamboanga del Norte","","West Side of Solino (Selinog) I., Zamboanga Del Norte, Mindanao, P.I.",8.8567,123.41,"Knapp, L. W.; Libbey, J. D.; Fehlmann, H. A.; Alcala, L.; Alcala, A. C.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines","LK 79-7; LWK 79-7","","","","","Sp-79","Pro-Noxfish","0 to 5","",,,"","000000","","","","","","","","","24 Jul 2020 20:29:00","http://n2t.net/ark:/65665/3cc9c1c6f-17a5-4f61-854b-b2b3efd715bb"
"371910","Specimen/Lot","",8,"Abudefduf vaigiensis","","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","18 May 1979 (1979 May 18 - 0000 00 00; 07:30 - 10:45)","North Pacific Ocean","Bohol Sea","Philippine Archipelago","Visayas","Apo Island","","Philippines","Negros Oriental","","Apo Island, Opposite West End of Chanos Pond",9.075,123.273,"Knapp, L. W.; Alcala, L.; Catada, D.; Inocencio, C.","LK 79-20; LWK 79-20","","","","","Sp-79","Pro-Noxfish","0 to 2","",,,"","000000","","","","","","","","","27 Jul 2020 20:59:00","http://n2t.net/ark:/65665/36c6c9753-090d-4642-9224-06f722c87844"
"372134","Specimen/Lot","",19,"Abudefduf vaigiensis","","Abudefduf vaigiensis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","","2 May 1979 (1979 May 02 - 0000 00 00; 06:30 - 09:00)","North Pacific Ocean","","","","Mindanao","","Philippines","Zamboanga del Norte","","West Side of Alibay (Aliguay I.), Zamboanga Del Norte, Mindanao, P.I.",8.7467,123.212,"Knapp, L. W.; Libbey, J. D.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines","LK 79-5; LWK 79-5","","","","","Sp-79","Pro-Noxfish","0 to 3","",,,"","000000","","","","","","","","","24 Jul 2020 16:34:00","http://n2t.net/ark:/65665/35aabba09-b8ad-4e74-b3bd-918a842f8f0e"
"273756","Specimen/Lot","",1,"Acanthurus","","Acanthurus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","","3 May 1979 (1979 May 03 - 0000 00 00; 14:00 - 15:00)","North Pacific Ocean","","Philippine Archipelago","Mindanao Group","Selinog Island","","Philippines","Zamboanga del Norte","","West Side Solino (Selinog) I., Zamboanga Del Norte, Mindanao, P.I.",8.855,123.41,"Libbey, J. D.; Miclat, R.; Podkulski, K.; Bernard, B.","LK 79-8; LWK 79-8","","","","","Sp-79","Pro-Noxfish","0 to 21","",,,"","346491","","","","","","","","","24 Jul 2020 20:11:00","http://n2t.net/ark:/65665/352b52216-4180-4a65-a8a5-3d5b3350e2a3"
"273759","Specimen/Lot","",2,"Acanthurus lineatus","","Acanthurus lineatus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","","3 May 1979 (1979 May 03 - 0000 00 00; 07:15 - 09:00)","North Pacific Ocean","","Philippine Archipelago","Mindanao Group","Selinog Island","","Philippines","Zamboanga del Norte","","West Side of Solino (Selinog) I., Zamboanga Del Norte, Mindanao, P.I.",8.8567,123.41,"Knapp, L. W.; Libbey, J. D.; Fehlmann, H. A.; Alcala, L.; Alcala, A. C.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines","LK 79-7; LWK 79-7","","","","","Sp-79","Pro-Noxfish","0 to 5","",,,"","346491","","","","","","","","","24 Jul 2020 20:24:00","http://n2t.net/ark:/65665/3cff5a7c9-22b4-444b-bd59-d0f9de9addad"
"273757","Specimen/Lot","",1,"Acanthurus mata","Acanthurus bleekeri","Acanthurus mata : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","","4 May 1979 (1979 May 04 - 0000 00 00; 07:30 - 09:00)","North Pacific Ocean","","Philippine Archipelago","Mindanao Group","Selinog Island","","Philippines","Zamboanga del Norte","","West Side of Solino (Selinog) I., Zamboanga Del Norte, Mindanao, P.I.",8.8617,123.408,"Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.; Knapp, L. W.; Alcala, L.","LK 79-9; LWK 79-9","","","","","Sp-79","Pro-Noxfish","12 to 18","",,,"","346491","","","","","","","","","24 Jul 2020 20:50:00","http://n2t.net/ark:/65665/3d1a7049f-91dd-47e3-b905-7d901a093e84"
"273758","Specimen/Lot","",1,"Acanthurus nigricans","Acanthurus glaucopareius","Acanthurus nigricans : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","","28 Apr 1979 (1979 Apr 28 - 0000 00 00; 16:00 - 18:00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Port Siyt, Southern Negros Oriental, Philippine Islands",9.07,123.18,"Knapp, L. W.; Alcala, L.; Catada, D.; Miclat, R.; Podkulski, K.","LK 79-4; LWK 79-4","","","","","Sp-79","Pro-Noxfish","0 to 3","",,,"""japonicus"" form.","346491","","","","","","","","","24 Jul 2020 15:45:00","http://n2t.net/ark:/65665/39f0c3411-a5a4-40de-8b0c-8447fa80e786"
"273760","Specimen/Lot","",8,"Acanthurus nigrofuscus","","Acanthurus nigrofuscus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","","2 May 1979 (1979 May 02 - 0000 00 00; 06:30 - 09:00)","North Pacific Ocean","","","","Mindanao","","Philippines","Zamboanga del Norte","","West Side of Alibay (Aliguay I.), Zamboanga Del Norte, Mindanao, P.I.",8.7467,123.212,"Knapp, L. W.; Libbey, J. D.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines","LK 79-5; LWK 79-5","","","","","Sp-79","Pro-Noxfish","0 to 3","",,,"","346491","","","","","","","","","24 Jul 2020 16:39:00","http://n2t.net/ark:/65665/3e4554e8f-75ed-4f2c-8282-6b8cc7eb1483"
"273761","Specimen/Lot","",1,"Acanthurus pyroferus","","Acanthurus pyroferus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","","4 May 1979 (1979 May 04 - 0000 00 00; 07:30 - 09:00)","North Pacific Ocean","","Philippine Archipelago","Mindanao Group","Selinog Island","","Philippines","Zamboanga del Norte","","West Side of Solino (Selinog) I., Zamboanga Del Norte, Mindanao, P.I.",8.8617,123.408,"Libbey, J. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.; Knapp, L. W.; Alcala, L.","LK 79-9; LWK 79-9","","","","","Sp-79","Pro-Noxfish","12 to 18","",,,"","346491","","","","","","","","","24 Jul 2020 20:46:00","http://n2t.net/ark:/65665/3b88387a9-4bdb-45b9-85a4-a33ec57b5083"
"243157","Specimen/Lot","",20,"Acentrogobius janthinopterus","","Acentrogobius janthinopterus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae","9 May 1979 (1979 May 09 - 0000 00 00; 14:00 - 16:30)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Canauay River About 250 Feet Upstream From Mouth, Along Western Shore and In Tidal Mangrove Pool, Negros Oriental, Philippine Islands",9.05,123.063,"Knapp, L. W.; Fehlmann, H. A.; Alcala, A. C.; Alcala, L.; Cabanban, A. A.","LK 79-12; LWK 79-12","","","","","Sp-79","pronofish","0 to 0.9","",,,"","346491","","","","","","","","","27 Jul 2020 18:28:00","http://n2t.net/ark:/65665/37e6919e3-7db9-4b6a-98ee-b06b5166977e"
"243158","Specimen/Lot","",4,"Acentrogobius janthinopterus","","Acentrogobius janthinopterus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae","16 May 1979 (1979 May 16 - 0000 00 00; 06:30 - 07:45)","North Pacific Ocean","","Philippine Archipelago","","Siquijor","","Philippines","Siquijor","","Tidal Inlet At Sabanj, Siquijor Island, P.I.",9.23,123.558,"Knapp, L. W.; Fehlmann, H. A.; Ferrari, F. D.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Alcala, L.; Alcala, A. C.","LK 79-17; LWK 79-17","","","","","Sp-79","Pro-Noxfish","0 to 1","",,,"","346491","","","","","","","","","27 Jul 2020 20:22:00","http://n2t.net/ark:/65665/3fd8c343a-4889-49cb-a6ca-6e79833c4a42"
"243159","Specimen/Lot","",1,"Acentrogobius janthinopterus","","Acentrogobius janthinopterus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae","7 May 1979 (1979 May 07 - 0000 00 00; 13:05 - 15:00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Daco Island","","Philippines","Negros Oriental","","East Side of Daco Island, North Bais Bay, Negros Oriental, Philippine Islands",9.58,123.153,"Knapp, L. W.","LK 79-11; LWK 79-11","","","","","Sp-79","pronofish","0 to 1","",,,"","346491","","","","","","","","","27 Jul 2020 18:16:00","http://n2t.net/ark:/65665/37c8e597d-dc39-475e-ae41-ca019bbbbae9"
"268119","Specimen/Lot","",28,"Acentrogobius janthinopterus","","Acentrogobius janthinopterus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae","14 May 1979 (1979 May 14 - 0000 00 00; 15:00 - 17:00)","North Pacific Ocean","","Philippine Archipelago","Central Visayas","Siquijor Island","","Philippines","Siquijor","","Tidal Lagoon, Northeast Side of Siquijor Island, P.I.",9.215,123.48,"Knapp, L. W.; Fehlmann, H. A.; Alcala, L.; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines; Bernard, B.","LK 79-14; LWK 79-14","","","SP-79","","Sp-79","Rotenone","0 to 1","",,,"","346491","","","","","","","","","27 Jul 2020 19:02:00","http://n2t.net/ark:/65665/3721899c4-80f8-4b94-94b3-92cdd2b70c12"
"241808","Specimen/Lot","",2,"Acentrogobius signatus","Amoya","Acentrogobius signatus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae","7 May 1979 (1979 May 07 - 0000 00 00; 13:05 - 15:00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Daco Island","","Philippines","Negros Oriental","","East Side of Daco Island, North Bais Bay, Negros Oriental, Philippine Islands",9.58,123.153,"Knapp, L. W.","LK 79-11; LWK 79-11","","","","","Sp-79","pronofish","0 to 1","",,,"2 of 4 specimens cleared and stained and recataloged as USNM 440589.","346491","","","","","","","","","27 Jul 2020 18:21:00","http://n2t.net/ark:/65665/36c1a846e-aa40-41d7-aafd-bb7fe3103739"
"440589","Specimen/Lot","",2,"Acentrogobius signatus","","Acentrogobius signatus : Gobiidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Gobiidae","Gobiinae","7 May 1979 (1979 May 07 - 0000 00 00; 13:05 - 15:00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Daco Island","","Philippines","Negros Oriental","","East Side of Daco Island, North Bais Bay, Negros Oriental, Philippine Islands",9.58,123.153,"Knapp, L. W.","LK 79-11; LWK 79-11","","","","","Sp-79","pronofish","0 to 1","","Glycerin with Bone and Cartilage Stain::2",,"Out of USNM 241808.","346491","","","","","","","","","27 Jul 2020 18:23:00","http://n2t.net/ark:/65665/32ee31319-fdd6-4e64-9cc4-dadbf3603b9f"
"242152","Specimen/Lot","",1,"Acreichthys radiatus","","Acreichthys radiatus : Monacanthidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Monacanthidae","","18 May 1979 (1979 May 18 - 0000 00 00; 07:30 - 10:45)","North Pacific Ocean","Bohol Sea","Philippine Archipelago","Visayas","Apo Island","","Philippines","Negros Oriental","","Apo Island, Opposite West End of Chanos Pond",9.075,123.273,"Knapp, L. W.; Alcala, L.; Catada, D.; Inocencio, C.","LK 79-20; LWK 79-20","","","","","Sp-79","Pro-Noxfish","0 to 2","",,,"","350179","","","","","","","","","27 Jul 2020 21:00:00","http://n2t.net/ark:/65665/3f0a570a0-9dd3-4bf2-95ed-cf0179071ccf"
"242153","Specimen/Lot","",1,"Acreichthys radiatus","","Acreichthys radiatus : Monacanthidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Monacanthidae","","28 Apr 1979 (1979 Apr 28 - 0000 00 00; 16:00 - 18:00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Port Siyt, Southern Negros Oriental, Philippine Islands",9.07,123.18,"Knapp, L. W.; Alcala, L.; Catada, D.; Miclat, R.; Podkulski, K.","LK 79-4; LWK 79-4","","","","","Sp-79","Pro-Noxfish","0 to 3","",,,"","350179","","","","","","","","","24 Jul 2020 16:25:00","http://n2t.net/ark:/65665/3b2203617-cfdb-4496-ac9d-69536c93770f"
"366699","Specimen/Lot","",62,"Alionematichthys","","Alionematichthys : Bythitidae : Ophidiiformes : Actinopterygii : Chordata","","","Ophidiiformes","Bythitidae","","18 May 1979 (1979 May 18 - 0000 00 00)","North Pacific Ocean","","Philippine Archipelago","Visayas","Negros","","Philippines","Negros Oriental","","Maloh, Negros Oriental, Philippine Islands",9.0517,122.995,"Fehlmann, H. A.; Alcala, A. C.; Cabanban, A. A.","LK 79-19; LWK 79-19","","","","","Sp-79","Resin 2 gal.","0","",,,"17 of 79 specimens removed to USNM 374190.","000000","","","","","","","","","27 Jul 2020 20:43:00","http://n2t.net/ark:/65665/3563c6766-103b-48eb-b07e-5ec752ff1ca7"
