Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
221943,Specimen/Lot,,1,Abudefduf saxatilis,,Abudefduf saxatilis : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,,333189,,,,,,,,,8/25/2014 17:58,http://n2t.net/ark:/65665/37f522b16-c032-4dfd-a66e-3ed7d9794c00
320310,Specimen/Lot,,1,Arothron reticularis,,Arothron reticularis : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata,,,Tetraodontiformes,Tetraodontidae,Tetraodontinae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,,333189,,,,,,,,,8/20/2014 18:51,http://n2t.net/ark:/65665/30484748f-c045-4ee5-934b-f74649686668
339511,Specimen/Lot,,21,Asterropteryx semipunctata,,Asterropteryx semipunctata : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,,333189,,,,,,,,,8/26/2014 19:16,http://n2t.net/ark:/65665/3d821dac0-a5dd-43d8-9f33-c2706d793e81
335928,Specimen/Lot,,2,Atherinomorus duodecimalis,,Atherinomorus duodecimalis : Atherinidae : Atheriniformes : Actinopterygii : Chordata,,,Atheriniformes,Atherinidae,Atherininae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,,333189,,,,,,,,,8/25/2014 15:43,http://n2t.net/ark:/65665/37d4dbe41-dbc7-4c8d-83a0-d851758ac9cb
335999,Specimen/Lot,,2,Atherion,,Atherion : Atherinidae : Atheriniformes : Actinopterygii : Chordata,,,Atheriniformes,Atherinidae,Atherininae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,,333189,,,,,,,,,8/25/2014 15:43,http://n2t.net/ark:/65665/316a468f1-b835-4a2f-bc43-01cfce18c6b6
219158,Specimen/Lot,,8,Bhanotia fasciolata,,Bhanotia fasciolata : Syngnathidae : Syngnathiformes : Actinopterygii : Chordata,,,Syngnathiformes,Syngnathidae,Syngnathinae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,Glycerin with Bone Stain::2,,,332315,,,,,,,,,8/20/2014 19:32,http://n2t.net/ark:/65665/3f4cc345f-bd8e-4617-a171-934e360921dc
220651,Specimen/Lot,,1,Bhanotia fasciolata,,Bhanotia fasciolata : Syngnathidae : Syngnathiformes : Actinopterygii : Chordata,,,Syngnathiformes,Syngnathidae,Syngnathinae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,,337100,,,,,,,,,8/20/2014 18:25,http://n2t.net/ark:/65665/3c12b648e-452d-4912-bba5-b1ec9b7e283c
220914,Specimen/Lot,,11,Blenniella interrupta,Istiblennius,Blenniella interrupta : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Salariinae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,1 spec. illustrated,333189,,,,,,,,,3/30/2020 12:12,http://n2t.net/ark:/65665/307037802-3082-4824-9776-44d9623fd572
341102,Specimen/Lot,,1,Callogobius,,Callogobius : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,,332315,,,,,,,,,8/26/2014 19:18,http://n2t.net/ark:/65665/3f3fb4595-1da7-4319-b695-9cea7bc45827
313468,Specimen/Lot,,3,Callogobius flavobrunneus,Callogobius,Callogobius flavobrunneus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,12 May 1978 (1978 May 12 - 0000 00 00; 07:00 - 09:00),Pacific,,,,Negros,,Philippines,,,"P.I., Southern Tip of Negros Island, Slightly W. of Inlet W. of Bonbonon Pt.",9.05,123.117,"Springer, V. G.; Knapp, L. W.; Smithsonian Team",SP 78-8,,,,,,Rotenone; Dip Net,0 to 1,,,,"Rotenone, dip net",0,,,,,,,,,8/26/2014 19:06,http://n2t.net/ark:/65665/3b9f36e20-349f-44dc-ba4b-30acec3cde8b
