Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
355666,Specimen/Lot,,1,Oxycheilinus bimaculatus,,Oxycheilinus bimaculatus : Labridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Labridae,,8 May 1978 (1978 May 08 - 0000 00 00),Pacific,,,,,,Philippines,,,"Philippine Is., Cebu, SW Tip Off Liloan Pt. Tanon Strait.",9.4208,123.296,"Springer, V. G.; Smithsonian Team",SP 78-1,,,,,Sp-78,,0 to 1.8,,,,Rotenone. identified by m. westneat -- 17 april 2002,333189,,,,,,,,,8/26/2014 19:26,http://n2t.net/ark:/65665/3bd6c087d-b695-4768-b4aa-5f294e287024
345111,Specimen/Lot,,1,Pomacanthus imperator,,Pomacanthus imperator : Pomacanthidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacanthidae,,8 May 1978 (1978 May 08 - 0000 00 00),Pacific,,,,,,Philippines,,,"Philippine Is., Cebu, SW Tip Off Liloan Pt. Tanon Strait.",9.4208,123.296,"Springer, V. G.; Smithsonian Team",SP 78-1,,,,,Sp-78,,0 to 1.8,,,,Ref. no. 742,333189,,,,,,,,,8/25/2014 18:36,http://n2t.net/ark:/65665/3642e9735-5d0d-48ff-b7ab-46df90801ca6
362608,Specimen/Lot,,1,Scaridae,,Scaridae : Scaridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Scaridae,,8 May 1978 (1978 May 08 - 0000 00 00),Pacific,,,,,,Philippines,,,"Philippine Is., Cebu, SW Tip Off Liloan Pt. Tanon Strait.",9.4208,123.296,"Springer, V. G.; Smithsonian Team",SP 78-1,,,,,Sp-78,,0 to 1.8,,,,,333189,,,,,,,,,8/26/2014 19:31,http://n2t.net/ark:/65665/34da66aec-2abb-4c44-a6e6-5e6ea36bbc66
262060,Specimen/Lot,,1,Stethojulis bandanensis,,Stethojulis bandanensis : Labridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Labridae,,8 May 1978 (1978 May 08 - 0000 00 00),Pacific,,,,,,Philippines,,,"Philippine Is., Cebu, SW Tip Off Liloan Pt. Tanon Strait.",9.4208,123.296,"Springer, V. G.; Smithsonian Team",SP 78-1,,,,,Sp-78,,0 to 1.8,,,,,333189,,,,,,,,,8/26/2014 18:48,http://n2t.net/ark:/65665/3a2b6cc61-522d-427a-9218-e05dfe7fc3c4
262042,Specimen/Lot,,1,Stethojulis trilineata,,Stethojulis trilineata : Labridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Labridae,,8 May 1978 (1978 May 08 - 0000 00 00),Pacific,,,,,,Philippines,,,"Philippine Is., Cebu, SW Tip Off Liloan Pt. Tanon Strait.",9.4208,123.296,"Springer, V. G.; Smithsonian Team",SP 78-1,,,,,Sp-78,,0 to 1.8,,,,,333189,,,,,,,,,8/26/2014 18:48,http://n2t.net/ark:/65665/3ae9661c4-e7c5-4384-a2a1-fda4420ea30d
260852,Specimen/Lot,,2,Abudefduf,,Abudefduf : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/36ba580a7-7f9a-4bcc-8ea5-dd232dab6f6c
263235,Specimen/Lot,,2,Acreichthys radiatus,,Acreichthys radiatus : Monacanthidae : Tetraodontiformes : Actinopterygii : Chordata,,,Tetraodontiformes,Monacanthidae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/3330b804b-c32b-4c52-9b8a-749a1510aab4
282073,Specimen/Lot,,1,Amblyglyphidodon curacao,,Amblyglyphidodon curacao : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/37d77b3ed-43f4-4e3f-a03c-f44c1f916aa6
282340,Specimen/Lot,,1,Amblyglyphidodon leucogaster,,Amblyglyphidodon leucogaster : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/3d80de111-0149-4905-88a0-c0a069b7dc0c
265232,Specimen/Lot,,2,Amphiprion ocellaris,,Amphiprion ocellaris : Pomacentridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Pomacentridae,,13 May 1978 (1978 May 13 - 0000 00 00; 09:15 - 10:30),Pacific,,Philippine Archipelago,Visayas,Negros,,Philippines,Negros Oriental,,"Philippine Islands, Oriental Negros, Just Off Bonbonon Point At Southern Tip of Island.",9.0458,123.127,"Springer, V. G.; Carpenter, K. E.; Libbey, J. D.",SP 78-10,,,,,SP-78,Rotenone; Dip Net,0 to 18.3,,,,,333189,,,,,,,,,5/23/2017 17:24,http://n2t.net/ark:/65665/3ada380e2-8e7b-40ea-98e8-7703d1e44bac
