Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
260669,Specimen/Lot,,4,Acentrogobius janthinopterus,,Acentrogobius janthinopterus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/26/2014 18:47,http://n2t.net/ark:/65665/3aaa512e4-a832-464c-b8ac-ad2da9b95ecf
244146,Specimen/Lot,,3,Amoya,,Amoya : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/26/2014 18:45,http://n2t.net/ark:/65665/3def2dacf-7268-454f-97e8-728edc878bdc
335965,Specimen/Lot,,3,Atherinomorus duodecimalis,,Atherinomorus duodecimalis : Atherinidae : Atheriniformes : Actinopterygii : Chordata,,,Atheriniformes,Atherinidae,Atherininae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/25/2014 15:43,http://n2t.net/ark:/65665/3cade03b7-6779-482a-8267-cdee49453872
279741,Specimen/Lot,,1,Bathygobius fuscus fuscus,,Bathygobius fuscus fuscus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/26/2014 18:56,http://n2t.net/ark:/65665/3994f1e40-df59-4965-b8cf-59eb397162bc
263194,Specimen/Lot,,11,Bostrychus sinensis,Bostrichthys sinensis,Bostrychus sinensis : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,"2 of the orig. 13 spec. exch. to r. bauchot at laboratoire d'anatomie comparee, paris.",333189,,,,,,,,,5/7/2019 17:43,http://n2t.net/ark:/65665/3d9805455-1294-498c-9faa-600a84edfe9b
244094,Specimen/Lot,,42,Calamiana mindora,Pseudogobius,Calamiana mindora : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,2 of 44 specimens donated to Anthony Gill of Arizona State University (23 Jan 2006).,333189,,,,,,,,,5/21/2019 11:37,http://n2t.net/ark:/65665/3033f88a9-99d0-42db-b36a-8faa9fb49852
244043,Specimen/Lot,,35,Cryptocentroides,,Cryptocentroides : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,4 of orig. 39 specs exch. to ams ( inv. 11316).,333189,,,,,,,,,8/26/2014 18:45,http://n2t.net/ark:/65665/331ab5af5-824f-4c13-bc98-378094255934
220074,Specimen/Lot,,8,Cryptocentrus,,Cryptocentrus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/26/2014 18:38,http://n2t.net/ark:/65665/3766d9122-98fc-4d5c-8c75-3ed50a1eb385
263211,Specimen/Lot,,11,Eleotris,,Eleotris : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Eleotrinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/26/2014 18:48,http://n2t.net/ark:/65665/37ffe21b0-47ff-4414-98b7-2499efc2be55
302640,Specimen/Lot,,1,Istiblennius dussumieri,,Istiblennius dussumieri : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Salariinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/20/2014 18:49,http://n2t.net/ark:/65665/3ed40ce99-724f-4a6c-ab7a-4317da673068
