Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
346613,Specimen/Lot,,8,Mangarinus,,Mangarinus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/26/2014 19:21,http://n2t.net/ark:/65665/3f58880b7-6815-4f38-a9eb-dde006470905
264948,Specimen/Lot,,29,Mugilogobius mertoni,,Mugilogobius mertoni : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,"Id'd by helen k. larson (ntm), 1998.",333189,,,,,,,,,8/26/2014 18:49,http://n2t.net/ark:/65665/3ab7afaf1-c9e7-4ca7-bdf4-10287fe85233
293021,Specimen/Lot,,17,Omobranchus rotundiceps obliquus,,Omobranchus rotundiceps obliquus : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Blenniinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/20/2014 18:45,http://n2t.net/ark:/65665/392abf627-9191-4bb2-bd77-0ec2911cccd0
219306,Specimen/Lot,,6,Omox biporos Springer,,Omox biporos Springer : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Blenniinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,332315,,,,,,,,,8/20/2014 18:25,http://n2t.net/ark:/65665/3e7e17d78-a2b0-4456-ae85-821dce9ed9b3
224469,Specimen/Lot,,4,Omox biporos Springer,,Omox biporos Springer : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Blenniinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/20/2014 18:26,http://n2t.net/ark:/65665/359320561-52bb-4f46-a2a8-89e0e07297b6
244053,Specimen/Lot,,2,Pandaka pusilla,,Pandaka pusilla : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,8/26/2014 18:45,http://n2t.net/ark:/65665/36c64b472-e75b-4825-b25e-58b510dd8df1
280383,Specimen/Lot,,1,Parioglossus raoi,,Parioglossus raoi : Ptereleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Ptereleotridae,,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,Out of usnm 257050,333189,,,,,,,,,8/26/2014 18:56,http://n2t.net/ark:/65665/33c7a520f-b0aa-4227-8a6c-a9fdb68f8781
257050,Specimen/Lot,,1,Parioglossus taeniatus,,Parioglossus taeniatus : Ptereleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Ptereleotridae,,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,01 of orig. 2 specs. recat. as usnm 280383.,333189,,,,,,,,,8/26/2014 18:46,http://n2t.net/ark:/65665/3ac2a610a-9935-4540-9dd6-1aae513fbed1
278285,Specimen/Lot,,23,Periophthalmus argentilineatus,,Periophthalmus argentilineatus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Oxudercinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,3 of 26 specimens cleared and stained and recataloged as USNM 441721.,333189,,,,,,,,,3/30/2017 20:59,http://n2t.net/ark:/65665/3204f1526-3dac-461b-a4d8-e59df9d9d0ca
441721,Specimen/Lot,,3,Periophthalmus argentilineatus,,Periophthalmus argentilineatus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Oxudercinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,Glycerin with Bone and Cartilage Stain::3,,Out of USNM 278285.,333189,,,,,,,,,11/20/2017 16:13,http://n2t.net/ark:/65665/3e89870ac-2e3a-423d-b7ad-c80cb0be2ee0
279890,Specimen/Lot,,4,Periophthalmus kalolo,,Periophthalmus kalolo : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Oxudercinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,333189,,,,,,,,,2/11/2019 17:45,http://n2t.net/ark:/65665/36eb0b3de-4f45-4a0c-baae-efc2bbb3f386
RAD 124977,Image,Radiograph Collection,1,Periophthalmus kalolo,,Periophthalmus kalolo : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Oxudercinae,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,Catalog Number : USNM 279890,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,Polyester:MSC:1,,,2078776,,,,,,,,,2/11/2019 15:34,http://n2t.net/ark:/65665/3db5b20c4-0e49-4823-87bd-2a1f162fd83e
228902,Specimen/Lot,,1,Platax orbicularis,,Platax orbicularis : Ephippidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Ephippidae,,24 May 1978 (1978 May 24 - 0000 00 00),Pacific,Sulu Sea,,Cuyo Islands,Cuyo Island,,Philippines,Palawan,,"Philippine Is., Palawan Prov., Cuyo I., Bisucay Channel, S. W. Side Cuyo I.",10.815,121.008,"Springer, V. G.; Smithsonian Team; Silliman University Group; Bureau of Fisheries and Aquatic Resources (BFAR), Philippines",SP 78-22,,,,,"Smithsonian-Philippine Marine Biology Project, 1978",Rotenone,0 to 0.8,,,,,,,,,,,,,,8/25/2014 18:00,http://n2t.net/ark:/65665/3ecda9cb1-ab2d-4fcc-8dff-0e69ca06860a
