Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
332804,Specimen/Lot,,17,Ambassidae,,Ambassidae : Ambassidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Ambassidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/315c2f46b-c8aa-4a67-aa6b-309beef907ac
392900,Specimen/Lot,,1,Arothron,,Arothron : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata,,,Tetraodontiformes,Tetraodontidae,Tetraodontinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/346a40fef-00fa-4c13-8140-05d8ac425b62
395656,Specimen/Lot,,1,Aurigequula fasciata,Leiognathus fasciatus,Aurigequula fasciata : Leiognathidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Leiognathidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:04,http://n2t.net/ark:/65665/39667dd11-5980-415c-8548-f31db786a840
258625,Specimen/Lot,,8,Butis butis,,Butis butis : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3886a3f3f-21f4-4e56-83e2-2b90d3c0b3ef
341101,Specimen/Lot,,1,Callogobius producta,Callogobius,Callogobius producta : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,0,,,,,,,,,12/1/2017 18:04,http://n2t.net/ark:/65665/3d43c752e-a28b-4c61-bcf4-da019d4f982d
263139,Specimen/Lot,,1,Eleotris,,Eleotris : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Eleotrinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3ad35772e-1f35-4a6c-bcd7-a3ce39cf6d64
263215,Specimen/Lot,,28,Eleotris,,Eleotris : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Eleotrinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3b41b213d-0bdc-428d-b2ab-3242a8294dd6
371407,Specimen/Lot,,4,Exyrias puntang,,Exyrias puntang : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3080cfe3e-b163-4f81-9551-3a82992f1402
263157,Specimen/Lot,,1,Glossogobius biocellatus,,Glossogobius biocellatus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:04,http://n2t.net/ark:/65665/3778d487e-86f9-4766-adf9-2d1fd4f66abb
263176,Specimen/Lot,,1,Glossogobius biocellatus,,Glossogobius biocellatus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:04,http://n2t.net/ark:/65665/348bc8142-885f-4171-8269-349e90b8b10f
