Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
348506,Specimen/Lot,,1,Lophogobius bleekeri,,Lophogobius bleekeri : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobiinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/36f24fbbc-9774-4a98-9733-8bc11083449d
298359,Specimen/Lot,,1,Lutjanus,,Lutjanus : Lutjanidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Lutjanidae,Lutjaninae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3f64ce9f4-5080-49c5-ab5a-1212a0097fc9
295982,Specimen/Lot,,1,Lutjanus argentimaculatus,,Lutjanus argentimaculatus : Lutjanidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Lutjanidae,Lutjnaninae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3dcdd11d8-9191-4925-9ccd-89845ec8e486
295701,Specimen/Lot,,1,Lutjanus russelli,,Lutjanus russelli : Lutjanidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Lutjanidae,Lutjaninae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3f9c7f8b4-e30e-48a9-a8ee-102d3bb5900b
222111,Specimen/Lot,,8,Meiacanthus anema,,Meiacanthus anema : Blenniidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Blenniidae,Blenniinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/32a3351ae-d237-43d5-94b5-3a93ae9346ce
220650,Specimen/Lot,,1,Microphis retzii,,Microphis retzii : Syngnathidae : Syngnathiformes : Actinopterygii : Chordata,,,Syngnathiformes,Syngnathidae,Syngnathinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,337100,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3893da4b9-2f2b-41f6-883b-e9bed5641f95
391951,Specimen/Lot,,15,Monodactylus,,Monodactylus : Monodactylidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Monodactylidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/302d0bb75-a230-4996-b1cf-cd0433928665
264946,Specimen/Lot,,4,Mugilogobius chulae,,Mugilogobius chulae : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,Det. by h. k. larson,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/34435dfbd-b91e-46f9-a934-e3e3228dd120
438921,Specimen/Lot,,1,Nemipteridae,,Nemipteridae : Nemipteridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Nemipteridae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:04,http://n2t.net/ark:/65665/3721ee50c-1e04-4d9a-9610-d621488e135e
264125,Specimen/Lot,,1,Neostethus,,Neostethus : Phallostethidae : Atheriniformes : Actinopterygii : Chordata,,,Atheriniformes,Phallostethidae,Phallostethinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/31c095df9-861e-4644-b274-ad33ea42f2b7
264967,Specimen/Lot,,1,Oligolepis acutipennis,Oligolepis,Oligolepis acutipennis : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/37f1f4245-092c-4a3b-bdfb-cf56cea4802c
244060,Specimen/Lot,,1,Oligolepis stomias,Oligolepis,Oligolepis stomias : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3aeb4217b-233e-40b0-8c6d-587a0878ff8c
263164,Specimen/Lot,,8,Ophiocara,,Ophiocara : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3edab8ddb-d07e-4b87-9e2f-7e5d24624424
263147,Specimen/Lot,,26,Ophiocara porocephala,,Ophiocara porocephala : Eleotridae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Eleotridae,Butinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,Glycerin with Cartilage Stain::2,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/316bf2f1d-ab3f-4e48-91b5-2550e271fced
278288,Specimen/Lot,,13,Periophthalmus argentilineatus,,Periophthalmus argentilineatus : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Oxudercinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:04,http://n2t.net/ark:/65665/33cd7a815-c70b-4eee-bc7d-c5934011f4fe
400938,Specimen/Lot,,1,Plectorhinchus albovittatus,,Plectorhinchus albovittatus : Haemulidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Haemulidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/34a7dd61d-8a28-4ca8-9e56-f487e3257325
264970,Specimen/Lot,,3,Pseudogobius,,Pseudogobius : Gobiidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Gobiidae,Gobionellinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:02,http://n2t.net/ark:/65665/3379c2088-ff67-4d01-83b3-d4553f39d0d9
236431,Specimen/Lot,,1,Siganus,,Siganus : Siganidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Siganidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3c85277b9-bd3f-4dab-a792-55c1107b5e98
291093,Specimen/Lot,,6,Soleidae,,Soleidae : Soleidae : Pleuronectiformes : Actinopterygii : Chordata,,,Pleuronectiformes,Soleidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3b9eed845-ba22-4980-b5bd-dd10c59bfb40
335507,Specimen/Lot,,1,Terapon jarbua,,Terapon jarbua : Terapontidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Terapontidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3849a685d-7427-436b-a8f1-b2e490f3d511
331444,Specimen/Lot,,3,Toxotes jaculatrix,,Toxotes jaculatrix : Toxotidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Toxotidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,Alcohol:NHB - ETOH Rm WG-36,,2 specs. x-rayed for v.g. springer nov/2002. id.'d by v.g. springer jan/2003.,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3e18ee795-8e2a-44d4-906c-31af6f86978c
RAD 107293,Image,Radiograph Collection,1,Toxotes jaculatrix,,Toxotes jaculatrix : Toxotidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Toxotidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,Catalog Number : USNM 331444,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,Polyester:NHB:1,,,2078776,,,,,,,,,10/26/2018 15:53,http://n2t.net/ark:/65665/341fd4768-b019-4d8c-a4a1-c359cbce0920
386397,Specimen/Lot,,1,Yarica hyalosoma,Apogon hyalosoma,Yarica hyalosoma : Apogonidae : Perciformes : Actinopterygii : Chordata,,,Perciformes,Apogonidae,,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,333189,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3c9b2ad02-b729-46f8-8939-8b71ef0c9ff5
218973,Specimen/Lot,,17,Zenarchopterus dunckeri,,Zenarchopterus dunckeri : Hemiramphidae : Beloniformes : Actinopterygii : Chordata,,,Beloniformes,Hemiramphidae,Zenarchopterinae,10 Jun 1978 (1978 Jun 10 - 0000 00 00; 14:00 - 16:15),Pacific,,,,Negros,,Philippines,Negros Oriental,,"Philippines: Negros Oriental, Vic Ayuquitan Viejo Village, Estaurine Mouth of Ayuquitan Daku River",9.4125,123.241,"Fehlmann, H. A.; Raymundo, M.; Duran, H.",SP 78-37A,,,,,Smithsonian-Philippine Marine Biology Project,Rotenone; Dip Net,0,,,,,0,,,,,,,,,12/1/2017 18:03,http://n2t.net/ark:/65665/3340d03b1-45d7-42c9-ac0f-40753fd17bce
