all_spec_ids
Pycnochromis amboinensis
Chromis retrofasciata
Pictichromis porphyreus
Dunckerocampus dactyliophorus
Centropyge tibicen
Pomacentrus brachialis
Cirrhilabrus ryukyuensis
Cirrhilabrus lubbocki
Opistognathus randalli
Ostarhinchus nigrofasciatus
Gymnothorax zonipectis
Pomacentrus stigma
Pseudocheilinus evanides
Pterois antennata
Scorpaenodes guamensis
Labroides dimidiatus
Halichoeres prosopeion
Sargocentron cornutum
Cheilodipterus isostigma
Sargocentron melanospilus
Plotosus lineatus
Synodus variegatus
Chromis delta
Chrysiptera rollandi
Liopropoma mitratum
Oxycheilinus digrammus
Chromis analis
Myripristis hexagona
Priacanthus sagittarius
Sargocentrum tiereoides
Cirrhilaorus rubrimarginatus
Apogon semioratus
Pristiapogon fraenatus
Ostorhinchus wassinki
Parapercis multiplicata
Thysanophrys chiltonae
Fusigobius aureus
Gnatholepis aujerensis
Chlorurus spilurus
Eviota atriventris
Eviota sparsa
Scorpaenopsis vittapinna cf (?)
Trimma benjamini
Trimma trioculatum
Trimma cana
Trimma haimussuu
Priolepis fallacincta
Fowleria vaiulae
Fowleria isostigma
Balistapus undulatus
Amblyglyphidodon leucogaster
Fowleria marmorates
Chaetodon kleinii
Pomacentrus moluccansis
Chrysiptera talboti
Pseudogramma polyacantha
Pygloplites diacanthus
Pteragobus guttatus
Pseudocheilinus hexataenia
Chromis ternatensis
Synchiropus splendidus
Sargocentron cornatum
Scarus niger
Ostorhinchus nigrofasciatus
Centropyge vrolickii
Scorpaenopsis possi
Pomacentrus blankanensis
Pomacentrus alexanderae
Amsichthys knighti cf
Cheilodipterus artus
Ophichthus sp (?)
Wetmorella nigropinnata
Pristapogon kalleapterus
Pseudamia hayashi
Ungusurculus williamsi (?)
Trimma stobbsi
Trimma macrophthalma
Trimma naudei
Trimma nasa
Fusigobius signipinnis
Xenisthmus polyzonatus
Ostorhinchus angustatus
Trimma sp.
Cheilinus trilobatus
Eviota distigma
Eviota winterbottomi
Scarus rubroviolaceus
Trimma preclarum (?)
Eviota sparsa (?)
Grammistops ocellatus
Eviota sp. (?)
Trimma habrum
Eviota sp.
Pleurosicya mossambica
Eviota albolineata (?)
Pseudanthia tuba
Pseudanthia sp.
Apogon duryssa
Pristicon trimaculatus
Eviota nigramembrana
Eviota occasa cf
Pomacentrus amboinensis
Chrysoptera talboti
Balistaous undulatus
Amphiprion brenatus
Chaetodon lunalatus
Heniochus varius
Discotrema lineatus
Ctenochaetus tominiensis
Pomacentrus lepidogenys
Spratelloides gracilis
Ptectroglyphidodon lacrymatus
Neoglyphidodon nigroris
Chaetodon baronessa
Pomacentrus coelestis
Epinephelus merra
Dascyllus trimaculabrus
Sargocentron punctatissimum
Sargocentron diadema
Myripristis pralinia
Pseudanthias huchti
Chromis marganitifer
Oxycheilinus digramma
Oxycheilinus arenatus
Cheilinus oxycephalus
Carangoides ferdan
Thalossoma lunare
Pseudochromis flavopunctatus
Liopropoma susumi
Macropharygodon meleagris
Plagiotremas rhinorhynchos
Pseudoplesiops rosae
Enchelycore bayeri
Gymnothorax sp. (brown)
Gymnothorax buroensis
Gymnothorax margaritophorus
Gymnothorax chilopilus
Ostorhinchus multilineatus
Cheilodipterus alleni
Pritiapogon kallopterus
Pristocon trimaculatus
Apogon crassiceps
Nectamia fusca
Dendrochirus biocellatus
Pseudocheilinnus hexataenia
Dinemitichthys sp. (yellow)
Bodianus mesothorax
Saurida gracilis
Discotrema crinophila
Halicampus nitidus
Trimma agrena
Asterropteryx senoui
Fusigobius humeralis
Trimma preclarum
Sueviota lechneri
Bathygobius laddi
Eviota rubrisparsa cf
Scorpaenodes parvipinnis
Parascorpaena aurita
Kaupichthys brachychirus
Kaupichthys diodontus
Uropterygius concolor (?)
Centropyge vrolikii
Coris gaimard
Stegastes lacrymatus
Plectorhinchus chaetodonoides
Dascyllus trimaculatus
Pomacentrus moluccensis
Dascyllus reticulatus
Grammistes sexlineatus
Cheilio inermis
Pomacentrus bankanensis
Scolopsis bilineata
Gobiodon prolixus
Paragobiodon lacunicolus
Halichoeres hortulanus
Priolepis cincta
Sargocentron tiereoides
Parupeneus multifasciatus
Calotomus spinidens
Trimma striatum
Ctenochaetus binotatus
Chlorourus bleekeri
Apogon doryssa
Halichoeres nebulosus
Cirrhitichthys falco
Thalassoma lunare
Acanthurus pyroferus
Antennarius pictus
Cephalopholis urodeta
Stethojulis bandanensis
Cephalopholis leopardus
Dinematichthys trilobatus
Brotula multibarbata
Ungusurculus williamsi
Kaupichthys sp.
Gymnothorax sp.
Uropterygius sp.
Brachysomophis umbonis
Uroconger lepturus
Moringua raitaborua
Scarus psittacus
Cheilinus chlorourus
Bothus pantherinus
Oxycheilinus celebicus
Pteragogus guttatus
Pristiapogon exostigma
Ostorhinchus novemfasciatus
Ostorhinchus cyanosoma
Ostorhinchus aureus
Cheilodipterus quinquelineatus
Cheilodipterus macrodon
Trimma okinawae
Enneapterygius fasciatus
Enneapterygius flavoccipitis
Phyllogobius platycephalops
Gnatholepis cauerensis
Istigobius decoratus
Asterropteryx spinosa
Valenciennea sexguttata
Sunagocia otaitensis
Synodus jaculum
Cirrhilabrus sp.
Cheilinus sp.
Chlorurus sp.
Scarus hypselopterus
Scorpaenopsis ramaraoi
Priolepis compita
Trachinocephalus sp. 1
Trachinocephalus sp. 2
Scorpaenodes sp.
Labridae (Thalassoma?)
Trimma annosum
Chromis scotochiloptera
PycnoPycnochromis amboinensis
Scorpaenidae
Parenchelyurus hepburni
Amblyeleotris sp.
Oplopomops diacanthus
Soleichthys sp.
Diodon liturosus
Amphiprion biaculeatus
Dascyllus aruanus
Amphiprion perideraion
Cephalopholis microprion
Gymnothorax richardsonii
Gymnothorax javanicus
Parupeneus barberinus
Moringua sp.
Soleichthys heterorhinos
Platax boersii
Corythoichthys haematopterus
Amblygobius phalaena
Salarias sinuosus
Scorpaenodes varipinnis
Salarias alboguttatus
Pristiapogon taeniopterus
Alionematichthys sp.
Pomacentrus burroughi
Synodus sp.
Pomacentrus chrysurus
Aulostomus chinensis
Ctenochaetus sp.
Hemigymnus melapterus
Lutjanus rivulatus
Arothron nigropunctatus
Taeniamia biguttata
Acanthurus lineatus
Chaetodon vagabundus
Pteragogus flagellifer
Gymnomuraena zebra
Cephalopholis argus
Ostorhinchus ocellicaudus
Thalassoma hardwicke
