study_sea,S,H,H_eq,J,J_eq,simpson,simpson_eq,invsimpson,invsimpson_eq
si_1978_bohol_sea,460,4.853102659033925,5.017269547215033,0.7915386370668944,0.8183141751199581,0.9828823947540107,0.9871652611317476,58.419386685781106,77.91354465914134
si_1978_sulu_sea,456,4.988975514157515,5.102740288279137,0.8148601671535849,0.8334416139042992,0.9869249571829712,0.9893366744421187,76.4815851078984,93.77937441485102
su_2022_bohol_sea,396,4.794505566054121,4.831538813006873,0.8015672208476882,0.807758607306608,0.9808608259378941,0.982747062217977,52.248858637005064,57.961143350436586
su_2022_sulu_sea,410,3.901936222717524,4.666614746698399,0.6485761789695608,0.7756803259661488,0.9091622441484062,0.9767358585532144,11.008638320322992,42.98460797650334
