species,average,sd,cumsum,ava,avb,ratio,p
verulux_cypselurus,0.03523811852223718,0.13697710572793556,0.037275114106674355,0,133.6875,0.2572555343097062,0.001
spratelloides_gracilis,0.02774362698014946,0.104198026760926,0.06662250564704496,0.038461538461538464,39.125,0.26625866000135473,0.001
chromis_ternatensis,0.018761967241557237,0.05398274139193911,0.0864690382975723,20.884615384615383,9.25,0.3475549176974336,0.652
spratelloides_delicatulus,0.01611771098107858,0.04619018976819352,0.10351845924151319,8.923076923076923,15.75,0.34894229839638385,0.659
cirrhilabrus_ryukyuensis,0.016084607766638608,0.03046883694617853,0.12053286338696159,3.5,13.625,0.5279035689826675,0.116
plotosus_lineatus,0.015327307584376205,0.03842690263389319,0.13674619040654068,14.884615384615385,0.625,0.39886919147257155,1
ostorhinchus_cyanosoma,0.015017284775195525,0.038059339904258464,0.15263157325450943,12.576923076923077,8.4375,0.39457554474073364,0.98
pycnochromis_retrofasciatus,0.014000086787107499,0.023074300309646585,0.1674409573640344,14.884615384615385,3.5625,0.606739385343552,0.999
chrysiptera_rollandi,0.013016082532028583,0.01594861955476762,0.18120945528474725,1.7307692307692308,12.625,0.8161259654687545,0.001
enneapterygius,0.012535105539304656,0.03434405458809835,0.1944691725713535,0.46153846153846156,20.5,0.3649861872642316,0.002
cirrhilabrus,0.011689505994186496,0.03037384855977737,0.20683440908388143,0.9615384615384616,11.5,0.3848542923752622,0.009
ostorhinchus_multilineatus,0.011232742210613145,0.019174746031823398,0.21871647785458606,6.230769230769231,10,0.5858091779662014,0.649
pseudochromis_fuscus,0.010290166032768734,0.013146258184037977,0.2296014833297231,0.07692307692307693,13.125,0.7827448608352242,0.001
helcogramma_desa,0.01014076091859003,0.030093101167228024,0.24032844709001605,0,22.125,0.3369795908450113,0.001
praealticus_striatus,0.009627818460314496,0.02526310632803608,0.2505128169359855,0,15,0.3811019252858027,0.001
ostorhinchus_nigrofasciatus,0.009147270060529643,0.011976026214805702,0.260188859516285,10.846153846153847,2,0.7637984333418602,1
pomacentrus_armillatus,0.008655014323406035,0.020646853612388463,0.26934419073228827,0,8.75,0.4191928942729017,0.001
pycnochromis_amboinensis,0.008342312218235256,0.019760682504929922,0.27816874359971766,4.3076923076923075,3.75,0.4221672108822154,0.895
enneapterygius_pallidoserialis,0.008268259024437027,0.03092156586788463,0.2869149625104957,0.46153846153846156,19.3125,0.2673945769681898,0.047
dascyllus_reticulatus,0.008142911393693159,0.022668851197102702,0.2955285878710242,6.961538461538462,3.8125,0.3592114714103334,0.998
archamia_bleekeri,0.008088787374669686,0.03144261753736155,0.30408496048737627,0,30.6875,0.25725553430970627,0.001
trimma_naudei,0.008079838123803298,0.020745124543440796,0.3126318665271572,0.5769230769230769,8.125,0.3894813023119683,0.002
alionematichthys,0.008006020487590425,0.025430140823938727,0.3211006877846538,1.5769230769230769,11.4375,0.31482407207332247,0.355
pomacentrus_amboinensis,0.007873332008393517,0.010374474392454088,0.32942915029400704,3.5384615384615383,9.9375,0.758913821612034,0.808
pseudochromis_tapeinosoma,0.0074012831059024195,0.012676268849942746,0.33725827636196715,1.4615384615384615,11.125,0.5838692121093542,0.02
praealticus_bilineatus,0.0071123163997972114,0.018379867358575885,0.34478173154297836,0,11.375,0.3869623355295144,0.001
cirrhilabrus_temminckii,0.0069738841602392755,0.012516085908396852,0.35215875218826626,0,8.375,0.557193695479559,0.001
pomacentrus_moluccensis,0.006939591889213999,0.012708539450424463,0.35949949824316607,2.6923076923076925,5.625,0.5460573904881113,0.455
ostorhinchus_sealei,0.006857935892744047,0.014759825799951793,0.3667538680466213,0.038461538461538464,9.625,0.46463528673667986,0.001
pycnochromis_atripes,0.0065254849338718035,0.028306783950221914,0.3736565690338479,13.307692307692308,0,0.23052724553050635,1
ctenochaetus_striatus,0.006425059424866819,0.01693589948147777,0.3804530392555182,1.3076923076923077,9,0.379375151103943,0.183
zoramia_fragilis,0.006294877801225954,0.02480138287990526,0.38711180249738075,0,8.0625,0.2538115649319793,0.001
nectamia_viria,0.00620971666391294,0.02741040670846925,0.39368048172670467,9.923076923076923,0.75,0.22654595132272393,1
trimma_stobbsi,0.006189789121251273,0.010684381999618265,0.40022808147001365,6.461538461538462,1.0625,0.5793305706846146,1
ostorhinchus_fleurieu,0.006135006058576234,0.026127575020778813,0.40671773132842637,7.076923076923077,0.3125,0.23480962369057093,1
ostorhinchus_aroubiensis,0.005902281584828639,0.0171019900589951,0.41296120370409745,6.076923076923077,1.0625,0.3451225012099821,1
pomacentrus_alexanderae,0.005761006257423572,0.012729872642779824,0.41905523410697537,0.46153846153846156,4,0.45255804351594364,0.001
altrichthys_curatus,0.005731127659349312,0.01834669197637711,0.4251176587318131,0,7.125,0.3123793470086387,0.001
amblyglyphidodon_curacao,0.005633902059790919,0.011500596436931179,0.43107723747640503,0.2692307692307692,5.5625,0.4898791198080046,0.001
andamia_pacifica,0.005552804865844465,0.020035307670980936,0.43695103107454597,0,12.9375,0.2771509655370617,0.001
apogonichthyoides_uninotatus,0.005267726513600508,0.009002034788299548,0.44252326691208943,0,5.9375,0.5851706461351681,0.001
trimma_annosum,0.005172060082889748,0.011276875765271492,0.44799430616847397,4.6923076923076925,2.3125,0.4586429956795068,0.983
trimma_okinawae,0.005139579593088113,0.014883208167464412,0.45343098734859416,1.2692307692307692,4.375,0.3453274008707036,0.128
pseudogramma_polyacanthus,0.005027879462378686,0.010153578934792726,0.45874951139398273,5.538461538461538,1.6875,0.4951829787967591,1
cirripectes_filamentosus,0.005005353408907908,0.013666260876266803,0.4640442072314899,6.269230769230769,1.0625,0.3662562462568192,1
neoglyphidodon_nigroris,0.004940792566290233,0.01127320444740579,0.4692706101840101,3.3846153846153846,4.9375,0.4382775624571607,0.57
pomacentrus_adelus,0.0047694597600587895,0.014493234749962657,0.474315776164458,0.3076923076923077,5.375,0.3290817986696226,0.01
entomacrodus_decussatus,0.004679889830595143,0.013461747183126906,0.47926619448296204,0.038461538461538464,9.9375,0.34764356861945567,0.001
istigobius_decoratus,0.004673053669141611,0.007080861801157403,0.484209381464808,2.1153846153846154,6,0.65995549699582845,0.395
trimma_benjamini,0.004576563614127914,0.008265253129122697,0.489050500630277,2.6923076923076925,1.8125,0.5537112466649508,0.954
trimma_hayashii,0.004416666918262657,0.010744341574874902,0.4937224800166204,0,2.9375,0.411069109026728,0.001
pomacentrus_brachialis,0.0043025617942527026,0.008592340905475494,0.49827375825046194,3.923076923076923,0.875,0.500743841705685,1
apogon_crassiceps,0.004198157128101951,0.006954504519759925,0.5027145965400828,2.076923076923077,3.3125,0.6036601336836682,0.713
gnatholepis_cauerensis,0.004144888829565471,0.006458732309152517,0.5070990872723002,2.769230769230769,2.9375,0.6417495928251814,0.98
helcogramma_fuscipectoris,0.004007909262919502,0.012422229021343083,0.5113386801157788,0,5.625,0.3226401039647045,0.001
pristiapogon_fraenatus,0.00399050299848675,0.014682819338971564,0.5155598604979763,4.115384615384615,0.1875,0.27178043305995336,1
cirrhilabrus_cyanopleura,0.003982860930305249,0.01553337791096669,0.5197729570500653,0.07692307692307693,4.125,0.2564066201913054,0.001
apogon_coccineus,0.003851361989194126,0.011170130545393986,0.5238469531552412,5.230769230769231,0.0625,0.3447911350312946,1
halichoeres_melanurus,0.003843648175145201,0.007654822998706163,0.527912789537057,0.19230769230769232,4.8125,0.5021211040144056,0.001
eviota_melasma,0.0037714479285691138,0.006657902517649874,0.53190225202201,0.19230769230769232,3.3125,0.5664618727251012,0.001
entomacrodus_caudofasciatus,0.0037441608422455076,0.011335923584133852,0.5358628500471393,0.11538461538461539,5.0625,0.33029164447491194,0.001
nectamia_savayensis,0.003712107492931642,0.007315782144212398,0.5397895418280284,2.6538461538461537,2.25,0.5074108850915325,0.889
pseudoplesiops_rosae,0.003556972072689077,0.0077917653258921075,0.5435521303385379,0.9615384615384616,3.6875,0.45650400440953043,0.123
eviota,0.0034803335736645164,0.00594263225784919,0.5472336501394821,1.3076923076923077,3.375,0.5856552151729728,0.049
enneapterygius_nigricauda,0.003474158079011874,0.012550529671279434,0.5509086374614661,0,5.5625,0.27681366205301433,0.001
ostorhinchus_neotes,0.0034582718246617163,0.01844205526571935,0.5545668201988565,4.346153846153846,0,0.1875209554918782,1
labridae,0.003390591967060498,0.006374014418711421,0.5581534107366457,3.769230769230769,1.625,0.5319398018785694,0.999
helcogramma_novaecaledoniae,0.0033721881476105483,0.011538160378956996,0.5617205335928798,0,5.25,0.29226393435825865,0.001
ostorhinchus_novemfasciatus,0.0033493653738746513,0.00844611067627084,0.5652635143685797,4.153846153846154,0.6875,0.396557125788633,1
abudefduf_vaigiensis,0.0033217029612880875,0.007119927827789675,0.5687772336618603,0.4230769230769231,4.1875,0.46653604385190567,0.026
ecsenius_monoculus,0.0033027446072407115,0.00634495477612692,0.5722708986832323,1.8076923076923077,3.875,0.5205308349347714,0.509
pseudocheilinus_evanidus,0.0032694302230463225,0.005916398591063874,0.5757293235293532,2.4615384615384617,1.5625,0.5526047937311845,1
amblyglyphidodon_leucogaster,0.0031209221719454396,0.007523632611640272,0.5790306555798685,0.5769230769230769,2.5625,0.4148158652931657,0.048
fowleria_isostigma,0.0030772831848517967,0.007004407889490263,0.5822858260221132,1.6538461538461537,3.0625,0.4393352348125092,0.197
stegastes_lacrymatus,0.002962270445413711,0.006427209038452475,0.5854193352302721,2.423076923076923,1.5,0.46089530116278243,1
alionematichthys_plicatosurculus,0.0029613834639330267,0.012541179065643686,0.5885519061835727,4.115384615384615,0,0.2361327789382801,1
paracheilinus_angulatus,0.002920998972132492,0.011184605468216839,0.5916417581551814,0,2.3125,0.2611624505158506,0.001
entomacrodus_thalassinus,0.002907653136895999,0.007958671143191634,0.5947174928142844,0.07692307692307693,4.0625,0.3653440485957753,0.001
cheilodipterus_quinquelineatus,0.0028672033025489378,0.005840563372003,0.5977504393719193,1.5,2,0.49091211239878063,0.629
chrysiptera_rex,0.0028641156262548704,0.005996607025468903,0.6007801197652124,1.3846153846153846,2.8125,0.47762269798410073,0.377
cephalopholis_microprion,0.0028596655897034323,0.0033616025837524288,0.6038050928805011,2.1153846153846154,1.5625,0.8506852069679506,1
fusigobius,0.0028526488135095494,0.005337831806343954,0.6068226436036686,0.5,2.875,0.534420887919175,0.01
pristiapogon_kallopterus,0.0027670429006817834,0.005103790207267806,0.6097496398278253,2.8461538461538463,0.6875,0.5421545142552117,1
cirrhilabrus_solorensis,0.0026924328885168107,0.008129652609764813,0.6125977130891912,0,2.75,0.33118670843116155,0.001
andamia_reyi,0.00268993186829391,0.010018477141188033,0.6154431407548755,0,6.375,0.2684970809820031,0.001
pristicon_rhodopterus,0.002677785753680356,0.00943303155676894,0.6182757201804392,0,2.6875,0.28387329540510603,0.001
ostorhinchus_chrysopomus,0.0026723069652457602,0.009739705761213082,0.6211025041074737,0.19230769230769232,2.5,0.27437245341515576,0.112
pseudocheilinus_hexataenia,0.0026094330595941243,0.0035041366243380077,0.6238627796025662,2.0384615384615383,2,0.7446721801513922,0.999
paracheilinus,0.0025874542240621507,0.007242060205971596,0.626599805740521,0.11538461538461539,2.125,0.35728151250780954,0.002
cheilodipterus_isostigma,0.0025563152444940435,0.007391468136378486,0.6293038928605815,0.11538461538461539,1.625,0.34584675159629824,0.001
chromis_viridis,0.0025271696645541818,0.007362659581880156,0.6319771495940175,3.269230769230769,0.6875,0.34324141112997575,1
thalassoma_hardwicke,0.0024937913842605214,0.005223661156491796,0.6346150985624873,1.6538461538461537,2,0.47740297648543273,0.909
blenniidae,0.0024661270935726364,0.009277546396597024,0.6372237840618697,0,4.125,0.26581673517442117,0.001
dischistodus_prosopotaenia,0.002439875116754246,0.009612939100738472,0.6398047000470879,0,3.125,0.2538115649319793,0.001
eviota_atriventris,0.0024281931850053486,0.004276570022855584,0.6423732588078799,0.8461538461538461,1.3125,0.5677898811496548,0.453
pseudochromis_marshallensis,0.0023818219040936074,0.0069787419780644455,0.6448927657219861,2.8846153846153846,0.375,0.3412967425332733,1
chromis,0.0023580650147206565,0.00930316077912146,0.6473871424418781,4.5,0,0.2534692316629337,1
halichoeres_richmondi,0.002324847666809507,0.0057940035092038,0.6498463816321395,0,3.1875,0.4012506487295833,0.001
sargocentron_cornutum,0.0023121784136533067,0.006779800555989647,0.6522922192028805,2.3846153846153846,0.125,0.34103929674016764,1
atherion_elymus,0.0023058817234219327,0.009130305949232895,0.6547313960931792,0,2.5,0.2525525142578236,0.001
enneapterygius_bahasa,0.0023019858920765605,0.007228762776858512,0.6571664519473946,0,3.1875,0.318448116660561,0.001
pycnochromis_delta,0.0022933504616473475,0.00946845972849101,0.6595923731863664,2.6538461538461537,0,0.24220945406215916,1
plesiops_coeruleolineatus,0.002278324250073712,0.003569736030828894,0.662002399599664,0.3076923076923077,2,0.6382332560160434,0.006
amblyglyphidodon,0.002268784241673994,0.00488428075005269,0.6644023345291766,0.038461538461538464,2.9375,0.46450733644856906,0.001
trimma_milta,0.002251843827569011,0.006937636923825336,0.6667843497769566,3.3461538461538463,0.6875,0.32458369503824785,0.999
canthigaster_valentini,0.002248002452339454,0.005681496537183484,0.6691623015926914,2.230769230769231,1,0.3956708303220875,1
helcogramma_ellioti,0.0022356578037319016,0.005642024720405939,0.6715271951577378,1.8461538461538463,2.125,0.39625097629332046,0.941
gobiodon,0.0022105838796517233,0.0034883515221310886,0.6738655653605736,0.8846153846153846,2.3125,0.6337044491150488,0.373
apogon_doryssa,0.0021602862281610803,0.006769042961400554,0.6761507303760373,0.46153846153846156,3.375,0.3191420471815272,0.259
myripristis_kuntee,0.0021269836160549473,0.006122586696698174,0.6784006676688427,0.5769230769230769,1.4375,0.34739950962262406,0.173
cirripectes_polyzona,0.002126183557318469,0.005234001186666831,0.6806497586542415,1.9615384615384615,0.8125,0.40622527230882927,0.995
eviota_irrasa,0.0020935938770182834,0.006791853388015836,0.6828643760609469,0,3.25,0.30825074650645595,0.001
pristicon_trimaculatus,0.0020176437226227624,0.0029735381800365603,0.684998652893574,1.0384615384615385,1.875,0.6785329800601232,0.59
coris_variegata,0.002003594497725674,0.004893919792352054,0.6871180683634748,0.07692307692307693,2.0625,0.40940484984179354,0.001
oxycheilinus_digramma,0.0019942372617850006,0.002906221762690129,0.6892275856875031,0.8461538461538461,1.6875,0.6861958324677347,0.253
trimma_macrophthalmus,0.0019844492778793845,0.004028424660666015,0.6913267492176212,2.1538461538461537,0.25,0.4926117390889216,1
helcogramma_springeri,0.0019792845977896737,0.006859746989740632,0.6934204495150884,0,3.25,0.2885360933500713,0.001
macrodontogobius_wilburi,0.001962577150153391,0.007486658184928221,0.6954964765642895,0,2.5,0.26214328231310957,0.001
hypoatherina_barnesi,0.0019009194536300338,0.007297247039588881,0.6975072816955834,0,2,0.2604981636659966,0.001
serranidae,0.0018955774799772037,0.009143929300411595,0.6995124360519264,2.269230769230769,0,0.2073044768502178,1
cheilinus_oxycephalus,0.0018819264075419647,0.004611813567756222,0.7015031502138422,0.15384615384615385,1.875,0.40806645366143357,0.005
gobiidae,0.0018768757037630481,0.0033720582769738144,0.7034885217080004,1.0769230769230769,1.9375,0.5565964611523299,0.939
scorpaenodes_guamensis,0.0018751332265528327,0.0034992163383316655,0.7054720499982768,1.4230769230769231,1.0625,0.5358723340457557,0.999
eviota_queenslandica,0.0018316377674897665,0.0033671036380786526,0.7074095685051798,0.15384615384615385,2.125,0.5439802169365187,0.006
pomacentrus_coelestis,0.001812069658519472,0.0033003424339791395,0.7093263877373964,0.5769230769230769,3.125,0.5490550434594466,0.217
synodus_variegatus,0.0017970489591652905,0.002242549533241636,0.7112273179748011,1.2307692307692308,1.375,0.8013419246832116,0.985
amblygobius_phalaena,0.001761102683035783,0.0053410596820697665,0.7130902240043129,0.038461538461538464,2.3125,0.3297290777236402,0.001
labracinus_cyclophthalmus,0.0017530136604082312,0.005055896979972991,0.7149445734123564,0.7307692307692307,1.625,0.3467265388025363,0.882
thalassoma_lunare,0.0017522469095024363,0.00288920726435594,0.7167981117462363,1.6538461538461537,1.0625,0.6064801688407239,1
sargocentron_diadema,0.0017520091186128271,0.002678059468013075,0.7186513985433455,0.34615384615384615,1.5625,0.6542084444124351,0.014
gymnothorax_chilospilus,0.0017491075834247562,0.004787639913015846,0.720501616077402,0.38461538461538464,1.5,0.36533816561048604,0.277
dischistodus_pseudochrysopoecilus,0.0017434941245898898,0.006318185735005657,0.722345895657692,0.038461538461538464,1.8125,0.27594853929825613,0.003
balistapus_undulatus,0.001725622902753613,0.0025215780772931697,0.7241712709416943,1.8076923076923077,0.5625,0.684342443445579,1
ostorhinchus_taeniophorus,0.00170188017818115,0.003780361722639222,0.7259715310151018,0.4230769230769231,1.6875,0.45018977099180846,0.115
chrysiptera_leucopoma,0.001690439037206836,0.0053087665450778755,0.7277596885741526,0.5384615384615384,1.4375,0.3184240675970502,0.241
oxycheilinus_bimaculatus,0.0016832419899868807,0.0035663345687980542,0.7295402330492019,0.46153846153846156,1.4375,0.47198095341744006,0.285
hypoatherina_panatela,0.0016750357227084472,0.003917731490656476,0.7313120968806183,0.15384615384615385,2.3125,0.427552456492563,0.04
alionematichthys_suluensis,0.0016683190274030246,0.004201170767065681,0.7330768557474556,0.7692307692307693,1.3125,0.3971081205461845,0.503
salarias_sinuosus,0.0016613987245156154,0.005926119788007491,0.7348342942722714,0.19230769230769232,1.9375,0.28035186326772155,0.115
eviota_pellucida,0.0016422270406108574,0.0030126692145063176,0.7365714528634488,1.4615384615384615,0.6875,0.5451069877513808,0.994
cheilinus_chlorourus,0.001635436751043132,0.0033121740179168787,0.7383014286415516,0.46153846153846156,1.6875,0.49376534632431696,0.296
neoglyphidodon_melas,0.001589407693432797,0.0022804564154888796,0.7399827145790329,0.038461538461538464,2.125,0.6969691166371461,0.001
acanthochromis_polyacanthus,0.0015750432451172506,0.003514990145024259,0.7416488057083774,0,1.1875,0.44809321794169077,0.001
