species,average,sd,cumsum,ava,avb,ratio,p
verulux_cypselurus,0.06236039440133564,0.167252863957718,0.06602636723713387,0,267.375,0.3728509809978532,0.358
spratelloides_gracilis,0.0415207348380556,0.10802414595969503,0.10998797640736709,0,78.25,0.38436531452465666,0.38
enneapterygius,0.018329401196541063,0.03522277328800826,0.12939490585766672,13.125,27.875,0.5203849522769232,0.167
cirrhilabrus_ryukyuensis,0.017944833345354575,0.022959973638285874,0.1483946599138112,0,27.25,0.7815702939410816,0.334
cirrhilabrus,0.017392824264611386,0.0338811892338213,0.16680995399927595,23,0,0.5133475140019378,0.138
helcogramma_desa,0.01653950667290673,0.03572298199628487,0.1843217666167243,40.5,3.75,0.4629934498364893,0.147
spratelloides_delicatulus,0.015239610644723565,0.035258059591047115,0.20045726637805844,0,31.5,0.43223055441750047,0.631
praealticus_striatus,0.01523487397983805,0.02792138864971752,0.21658775102077096,28.25,1.75,0.5456345374137465,0.093
archamia_bleekeri,0.014314611337566993,0.03839231239048131,0.23174387365444685,0,61.375,0.37285098099785324,0.358
chromis_ternatensis,0.014172329878224912,0.03822156937906479,0.24674935054612993,17.25,1.25,0.37079403353823465,0.599
enneapterygius_pallidoserialis,0.013791212852467875,0.03782946777807772,0.26135130573233734,38.625,0,0.36456269840676747,0.379
pseudochromis_fuscus,0.012146886292832209,0.012852791440685513,0.27421226953568795,21.875,4.375,0.9450776781751269,0.037
praealticus_bilineatus,0.011297007430679268,0.020357316583008555,0.2861733927527452,21.375,1.375,0.5549359801236491,0.099
chrysiptera_rollandi,0.011004784566961578,0.010845946791155556,0.2978251142365366,14.625,10.625,1.0146448972011874,0.336
ostorhinchus_sealei,0.010976787230407157,0.01583607901317777,0.309447192507793,18.875,0.375,0.6931505722643199,0.023
pseudochromis_tapeinosoma,0.010950614791617115,0.013479482141903587,0.3210415597443193,22,0.25,0.8123913572002149,0.039
pomacentrus_armillatus,0.010761282341035775,0.018061458353954656,0.3324354642667784,3.625,13.875,0.5958146972489369,0.212
