level,study,sea,H_mean,H_sd,simpson_mean,simpson_sd,invsimpson_mean,invsimpson_sd,unbias_simp_mean,unbias_simp_sd,alpha_mean,alpha_sd
by_study,si_1978,All,3.351504608291797,0.4491218058877837,0.9212568572462243,0.048527643274708016,16.58081204630007,7.306242389355242,0.9229921283596394,0.048618587260047356,25.68136805351281,8.406813130347661
by_study,su_2022,All,3.224894889265966,0.5080943598242734,0.8937212049686187,0.10191718874403814,14.956150408341792,7.379969833168279,0.897220351220761,0.10300397796432106,26.805566902791238,6.580297306014741
by_sea,All,Bohol Sea,3.2370578619836503,0.42077298109577194,0.9098830846905859,0.05378149163096043,14.918519890667545,7.20771383299768,0.9131294713746595,0.05442215309551424,24.547159012950527,7.687920910632215
by_sea,All,Sulu Sea,3.371305314821133,0.5633806179808071,0.9035986940347795,0.11257582410209285,17.149668399382687,7.467855838013474,0.9051934884654539,0.11307154031336565,28.999968734104453,6.422753964412845
by_study_and_sea,si_1978,Bohol Sea,3.202526663922875,0.4875640809880218,0.9059975925079699,0.05594445365033941,14.58764860271077,7.755322042735727,0.9080422239790384,0.05630107618328947,22.810603027671036,8.254142594219768
by_study_and_sea,si_1978,Sulu Sea,3.5935937678912957,0.24617017379619824,0.946053162445888,0.015096922146629999,19.819702642132686,5.481330810778697,0.9472857229781161,0.015168958631478241,30.346361220505692,6.70485556211409
by_study_and_sea,su_2022,Bohol Sea,3.271589060044425,0.35854105402332886,0.9137685768732019,0.05351114761853097,15.249391178624318,6.9173203902841625,0.9182167187702807,0.0542629802431028,26.283714998230018,6.9619589237667405
by_study_and_sea,su_2022,Sulu Sea,3.1490168617509706,0.7117556791469323,0.8611442256236711,0.15102800732066388,14.479634156632684,8.553636021687876,0.8631012539527916,0.1520426716374191,27.653576247703214,6.2688179212674155
