study_sea,alpha,gamma,beta,alpha_ave,gamma_pool,beta_add
si_1978_bohol_sea,70.1,460,5.564,3.203,4.853,1.651
su_2022_bohol_sea,61.2,396,5.467,3.272,4.795,1.523
si_1978_sulu_sea,100.8,456,3.526,3.594,4.989,1.395
su_2022_sulu_sea,87.0,410,3.713,3.149,3.902,0.753
