station_code,S_obs,S_chao1,se.chao1,S_ACE,se.ACE,station_pair,study,municipality,date_collected,latitude,longitude,depth_m,sea
SP_78-18,101,128.78947368421052,12.759614975362322,145.4471747538159,6.914617986524231,SP_78-18_SU-22-09,si_1978,Cuyo,1978-05-22,10.91806,121.03417,4.6,Sulu Sea
SP_78-20,109,166.4,24.16050050424007,153.6429227977808,6.269895919197307,SP_78-20_SU-22-14,si_1978,Cuyo,1978-05-23,10.875,120.93333,13.7,Sulu Sea
SP_78-21,110,153.9375,19.123092892481882,144.74530685920578,5.987153604882415,SP_78-21_SU-22-13,si_1978,Cuyo,1978-05-24,10.87833,120.94556,17.4,Sulu Sea
SP_78-24,90,125,15.46716234837894,131.2422852626663,6.845646515877002,SP_78-24_SU-22-11,si_1978,Cuyo,1978-05-25,10.97167,121.20778,13.7,Sulu Sea
SP_78-25,135,172.625,15.131382591633093,181.40937973828497,6.840967096231226,SP_78-25_SU-22-16,si_1978,Cuyo,1978-05-25,10.96333,121.22556,2,Sulu Sea
SP_78-26,69,106.5,20.625577954628117,97.58434332449815,4.959877300033006,SP_78-26_SU-22-15,si_1978,Cuyo,1978-05-26,10.88167,121.35389,3,Sulu Sea
SP_78-27,89,128.04761904761904,16.143973052892417,158.25869452348246,7.410825547383948,SP_78-27_SU-22-12,si_1978,Cuyo,1978-05-26,10.88583,121.19278,21.3,Sulu Sea
SP_78-44,62,95.33333333333334,18.11250970485256,89.9680351102428,4.765722366411024,SP_78-44_SU-22-05,si_1978,Zamboanguita,1978-06-14,9.066667,123.146667,2,Bohol Sea
SU-19-01,49,99.75,26.454413965694403,129.15758989811349,7.769801688329632,LK_79-13_SU-19-01,su_2022,Siquijor,2019-06-12,9.225,123.48,30,Bohol Sea
SU-19-02,68,93.83333333333333,12.239215669425706,109.44930554101313,7.101019514398732,SP_78-07_SU-19-02,su_2022,San Juan,2019-06-12,9.14111,123.49444,10.7,Bohol Sea
SU-19-03,85,114.75,13.262303873917142,125.02704113535879,6.031162009058822,SP_78-04_SU-19-03,su_2022,San Juan,2019-06-13,9.14167,123.48944,6,Bohol Sea
SU-22-04,103,172.1764705882353,27.06952656249651,169.79564866876012,7.124359401860936,LK_79-02_SU-22-04,su_2022,Siaton,2022-05-14,9.0511773,122.9896027,5,Bohol Sea
SU-22-05,36,120.33333333333333,54.31456798823976,81.57193839584525,4.705727252051915,SP_78-44_SU-22-05,su_2022,Siaton,2022-05-16,9.0695836,123.1468738,2.5,Bohol Sea
SU-22-06,58,73.4,8.678260100107776,84.94447677802353,5.106203138888149,LK_79-03_SU-22-06,su_2022,Siaton,2022-05-19,9.0902437,122.9336619,3.5,Bohol Sea
SU-22-07,76,123.57142857142857,21.189313513179936,132.92835806921818,6.754568370718687,SP_78-09_SU-22-07,su_2022,Siaton,2022-05-23,9.0449798,123.1271438,9.1,Bohol Sea
SU-22-08,83,124.625,18.318989062385928,129.7943427046056,6.085104646135845,LK_79-04_SU-22-08,su_2022,Siaton,2022-05-25,9.0673958,123.1496911,3,Bohol Sea
SU-22-09,93,132.375,17.53122119618322,148.47513576712524,7.0060172623490535,SP_78-18_SU-22-09,su_2022,Magsaysay,2022-06-02,10.91806,121.03417,4.6,Sulu Sea
SU-22-11,107,138.31578947368422,13.984433125285582,138.64655349794236,5.860491097561576,SP_78-24_SU-22-11,su_2022,Magsaysay,2022-06-04,10.97167,121.20778,13.64,Sulu Sea
SU-22-12,57,105.33333333333334,24.513364639055876,109.90030991735537,6.367878174294956,SP_78-27_SU-22-12,su_2022,Magsaysay,2022-06-05,10.88583,121.19278,21.21,Sulu Sea
SU-22-13,72,108.25,17.825918170833262,110.1751766217084,5.565427427493144,SP_78-21_SU-22-13,su_2022,Cuyo,2022-06-06,10.876552,120.939812,17.27,Sulu Sea
SU-22-14,68,83.78947368421052,8.352390036423348,94.2062937062937,5.345873055948665,SP_78-20_SU-22-14,su_2022,Cuyo,2022-06-07,10.8734723,120.9348857,13.64,Sulu Sea
SU-22-15,113,150.43478260869566,15.244992763791608,157.0531714465942,6.36022466534312,SP_78-26_SU-22-15,su_2022,Magsaysay,2022-06-08,10.8807218,121.2050596,3.03,Sulu Sea
SU-22-16,112,151,16.34670815637414,152.90306435986162,6.2398511149796025,SP_78-25_SU-22-16,su_2022,Magsaysay,2022-06-09,10.9555144,121.2305596,2.42,Sulu Sea
SU-22-18,74,93.71428571428572,10.6329669332543,101.17264285986184,5.223308113183305,SP_78-17_SU-22-18,su_2022,Cuyo,2022-06-11,10.8342368,120.9975178,1.21,Sulu Sea
SU-22-19,44,57.90909090909091,8.682206160826636,62.83977389933137,3.922535949676816,SP_78-10_SU-22-19,su_2022,Siaton,2022-06-21,9.0454687,123.1224568,18.3,Bohol Sea
SU-22-20,46,127.2,45.55744035498608,113.11219706651343,6.637733915600031,SP_78-11_SU-22-20,su_2022,Siaton,2022-06-22,9.0454714,123.1224568,12,Bohol Sea
SU-22-22,41,55.25,8.65152050861497,58.36571775626987,3.9152477188637618,LK_79-15_SU-22-22,su_2022,Siquijor,2022-06-30,9.2254097,123.4689628,2,Bohol Sea
SU-22-23,53,87.5,19.271513372814585,78.01821465607493,4.6316969137702575,LK_79-16_SU-22-23,su_2022,Larena,2022-07-01,9.2473507,123.57536,30,Bohol Sea
SU-22-24,54,93.42857142857143,22.35399985393393,85.89223884482627,4.560461331268876,SP_78-03_SU-22-24,su_2022,San Juan,2022-07-02,9.1809617,123.4574399,2,Bohol Sea
