pairs,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig
si_1978_bohol_sea vs si_1978_sulu_sea,1,0.6988292392635449,1.6697208187636419,0.08078100490103844,0.009,0.05399999999999999,
si_1978_bohol_sea vs su_2022_bohol_sea,1,0.9154475402763456,2.2922838669208283,0.08718466142094354,0.001,0.006,*
si_1978_bohol_sea vs su_2022_sulu_sea,1,0.808458502710593,1.9153431678489456,0.09157598574778396,0.002,0.012,.
si_1978_sulu_sea vs su_2022_bohol_sea,1,1.0408589232089593,2.6921023849317627,0.1241051852494394,0.001,0.006,*
si_1978_sulu_sea vs su_2022_sulu_sea,1,0.6857398451615346,1.6606106509874279,0.1060374137379326,0.007,0.042,.
su_2022_bohol_sea vs su_2022_sulu_sea,1,0.7597507395709393,1.9470826175351024,0.092952448466746,0.008,0.048,.
