station_code,nice_station_code,station_pair,nice_station_pair,study,sea,study_sea,province,municipality,date_collected,latitude,longitude,depth_m,S,H,J,simpson,invsimpson,unbias_simp,alpha
SP_78_17,si_14_sulu,SP_78_17_SU_22_18,14_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Cuyo,1978-05-21,10.85333,121.00389,1,103,3.640031854662688,0.7853818128108284,0.9490592923559956,19.630665655224732,0.9501033619844961,29.86264608798421
SP_78_18,si_19_sulu,SP_78_18_SU_22_09,19_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-22,10.91806,121.03417,4.6,101,3.2371658067318068,0.7014260613387903,0.9279825438518483,13.88552239255489,0.9284383309554591,22.32278815639671
SP_78_20,si_15_sulu,SP_78_20_SU_22_14,15_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Cuyo,1978-05-23,10.875,120.93333,13.7,109,3.908831815466949,0.8332001619989917,0.966819057598702,30.137781739462625,0.968226363359173,36.46655812286187
SP_78_21,si_16_sulu,SP_78_21_SU_22_13,16_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Cuyo,1978-05-24,10.87833,120.94556,17.4,110,3.7830568500191237,0.8048234553962164,0.9510928631807752,20.446913580246914,0.9524011064585862,36.008677878211486
SP_78_24,si_20_sulu,SP_78_24_SU_22_11,20_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-25,10.97167,121.20778,13.7,90,3.3713628461923815,0.749223432364627,0.9205174516794896,12.581378190939944,0.9220963838434657,29.727805695093203
SP_78_25,si_17_sulu,SP_78_25_SU_22_16,17_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-25,10.96333,121.22556,2,135,3.833526550208456,0.7815110719299686,0.9571159443066278,23.31868998469175,0.9577913966320932,36.68231922648533
SP_78_26,si_18_sulu,SP_78_26_SU_22_15,18_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-26,10.88167,121.35389,3,69,3.3644733798644544,0.7946123641933464,0.9446180555555556,18.0564263322884,0.9459318497915365,18.793326420523023
SP_78_27,si_21_sulu,SP_78_27_SU_22_12,21_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-26,10.88583,121.19278,21.3,89,3.6103010399845057,0.8043202306004466,0.9512200910381098,20.500243261652233,0.9532969908001188,32.906768176489685
SP_78_44,si_02_bohol,SP_78_44_SU_22_05,02_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-06-14,9.066667,123.146667,2,62,2.91029421477818,0.7051610011352667,0.85845218015921,7.064750281034206,0.8602864796894809,19.143933852907065
SU_19_01,su_13_bohol,LK_79_13_SU_19_01,13_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,Siquijor,2019-06-12,9.225,123.48,30,49,2.9060534374567797,0.7467080221734775,0.8912869348522606,9.198526401964799,0.8955110435482259,19.98692542409984
SU_19_02,su_11_bohol,SP_78_07_SU_19_02,11_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,San Juan,2019-06-12,9.14111,123.49444,10.7,68,3.5267199150925093,0.835813123594075,0.9385288065843621,16.267782426778243,0.9428940568473596,34.147464771589924
SU_19_03,su_10_bohol,SP_78_04_SU_19_03,10_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,San Juan,2019-06-13,9.14167,123.48944,6,85,3.6705040927368056,0.8261967642349884,0.9498554130402662,19.942331976988914,0.9523816242448642,34.16790327902106
SU_22_04,su_03_bohol,LK_79_02_SU_22_04,03_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-14,9.0511773,122.9896027,5,103,3.039271446056995,0.6557603376110088,0.8183888888888888,5.506271030896299,0.8197551474678524,35.802941155365346
SU_22_05,su_02_bohol,SP_78_44_SU_22_05,02_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-16,9.0695836,123.1468738,2.5,36,3.144965668835999,0.8776193799581109,0.9380609418282548,16.14490161001789,0.9480403135498798,21.123378737828375
SU_22_06,su_01_bohol,LK_79_03_SU_22_06,01_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-19,9.0902437,122.9336619,3.5,58,3.4774232861119625,0.8564147500851148,0.947867813490267,19.182007641542203,0.9519185306417799,24.62251866513663
SU_22_07,su_05_bohol,SP_78_09_SU_22_07,05_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-23,9.0449798,123.1271438,9.1,76,3.7734094352836416,0.8713095771059778,0.9622583344343154,26.495915985997666,0.9659593280283763,36.026273166093745
SU_22_08,su_04_bohol,LK_79_04_SU_22_08,04_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-25,9.0673958,123.1496911,3,83,3.3490606834491863,0.7579048399121042,0.9024894558737228,10.255301198042636,0.9046079757234269,30.728327330460505
SU_22_09,su_19_sulu,SP_78_18_SU_22_09,19_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-02,10.91806,121.03417,4.6,93,3.1934528167460843,0.7045521717879492,0.9179747614650662,12.191369606003752,0.9187073829825962,23.202663968984027
SU_22_11,su_20_sulu,SP_78_24_SU_22_11,20_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-04,10.97167,121.20778,13.64,107,1.7238062996353474,0.3688999449160971,0.5791929256419437,2.3763859044563493,0.5793636279484216,21.019621715635846
SU_22_12,su_21_sulu,SP_78_27_SU_22_12,21_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-05,10.88583,121.19278,21.21,57,3.53305229335714,0.8738579007061257,0.9556874132054034,22.56695156695157,0.9610867771217739,29.002473180918393
SU_22_13,su_16_sulu,SP_78_21_SU_22_13,16_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Cuyo,2022-06-06,10.876552,120.939812,17.27,72,3.542035665739649,0.8282235664809333,0.9519075555555555,20.793287002809404,0.9544527629234585,26.483947561378272
SU_22_14,su_15_sulu,SP_78_20_SU_22_14,15_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Cuyo,2022-06-07,10.8734723,120.9348857,13.64,68,3.39600189449244,0.8048336753423948,0.920166468489893,12.526064938933573,0.9233504355090036,27.976450882382714
SU_22_15,su_18_sulu,SP_78_26_SU_22_15,18_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-08,10.8807218,121.2050596,3.03,113,2.4640000814447283,0.5212180967449968,0.6615045006072138,2.954249027812366,0.6621417881806153,32.26035325773262
SU_22_16,su_17_sulu,SP_78_25_SU_22_16,17_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-09,10.9555144,121.2305596,2.42,112,3.9327170065617385,0.8334678281871283,0.9599076595667935,24.94242015294647,0.9614509194694272,39.83112006240589
SU_22_18,su_14_sulu,SP_78_17_SU_22_18,14_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Cuyo,2022-06-11,10.8342368,120.9975178,1.21,74,3.4070688360306387,0.7915932408666801,0.9428125204574999,17.486345053147996,0.9442563374870367,21.451979352187955
SU_22_19,su_07_bohol,SP_78_10_SU_22_19,07_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-06-21,9.0454687,123.1224568,18.3,44,3.3662677710610422,0.8895610676824115,0.9497959183673469,19.91869918699187,0.9566289825282506,22.06702913036783
SU_22_20,su_06_bohol,SP_78_11_SU_22_20,06_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-06-22,9.0454714,123.1224568,12,46,2.5454788776145842,0.6648517356440892,0.8011747953008188,5.029543419874664,0.8049718322453627,18.086989594097943
SU_22_22,su_12_bohol,LK_79_15_SU_22_22,12_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,Siquijor,2022-06-30,9.2254097,123.4689628,2,41,2.8156670369514236,0.7582098815845116,0.8738397502601457,7.926426921807984,0.8795140343526819,18.19627269955293
SU_22_23,su_08_bohol,LK_79_16_SU_22_23,08_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,Larena,2022-07-01,9.2473507,123.57536,30,53,3.4811433904669298,0.8767978441545969,0.950784207679827,20.31868131868132,0.9563443492450898,26.186027497964474
SU_22_24,su_09_bohol,SP_78_03_SU_22_24,09_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,San Juan,2022-07-02,9.1809617,123.4574399,2,54,3.434692739459667,0.8610444913706735,0.9546602387511478,22.055696202531646,0.958290125590499,20.546243525411644
