station_code,nice_station_code,station_pair,nice_station_pair,study,sea,study_sea,province,municipality,date_collected,latitude,longitude,depth_m,S,H,J,simpson,invsimpson,unbias_simp,alpha
LK_79_02,si_03_bohol,LK_79_02_SU_22_04,03_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-24,9.051667,122.985,3,70,3.4680343183799085,0.816297093628619,0.9501395002790005,20.055956229793583,0.9516381430239791,20.088163930601656
LK_79_03,si_01_bohol,LK_79_03_SU_22_06,01_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-26,9.108333,122.923333,2,75,3.482202406970924,0.8065343355673464,0.9484829583426153,19.411052495027242,0.94990072061203,21.651116178119697
LK_79_04,si_04_bohol,LK_79_04_SU_22_08,04_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-28,9.066667,123.18,3,73,2.8825042147274775,0.6718404530485299,0.8281066267897668,5.81755992871788,0.8296122752020114,22.56130510908847
LK_79_13,si_13_bohol,LK_79_13_SU_19_01,13_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Siquijor,1979-05-14,9.225,123.48,30.5,69,2.256511145091181,0.5329367937819071,0.799492954222624,4.987355911224711,0.8000611794925354,15.200458592139782
LK_79_15,si_12_bohol,LK_79_15_SU_22_22,12_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Siquijor,1979-05-15,9.225,123.47,1,90,3.394582696450972,0.7543836173412698,0.9208336818804815,12.631634560676256,0.9217173994255976,23.621451009791585
LK_79_16,si_08_bohol,LK_79_16_SU_22_23,08_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Larena,1979-05-15,9.2533,123.57,30.5,55,3.0687108749352054,0.76577382840134,0.9172206022581224,12.080300500834724,0.9189286480723591,15.339349040902682
SP_78_03,si_09_bohol,SP_78_03_SU_22_24,09_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-09,9.175,123.4633,2,31,2.685710236312746,0.7820967512065647,0.8800525969756738,8.336987502740627,0.8845889505683613,10.387811219319858
SP_78_04,si_10_bohol,SP_78_04_SU_19_03,10_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-09,9.1417,123.4894,6.1,72,3.6367092135676535,0.8503607979582848,0.9591893333333333,24.503397804495556,0.9617540106952902,26.483947561378272
SP_78_07,si_11_bohol,SP_78_07_SU_19_02,11_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-10,9.1411,123.4944,10.7,94,3.6801344147862873,0.8100144479173661,0.9481050058454671,19.269681330384202,0.9500639004855076,34.747404522291795
SP_78_09,si_05_bohol,SP_78_09_SU_22_07,05_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-12,9.0408,123.1269,9.1,73,3.7719523553525156,0.879148820095339,0.9636903491237944,27.540887226082308,0.9679544657128616,37.26654296380131
SP_78_10,si_07_bohol,SP_78_10_SU_22_19,07_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-13,9.0458,123.1269,18.3,55,2.669381967443819,0.6661242886618034,0.8513439750143582,6.726938918867142,0.8532028046540625,16.309834043674865
SP_78_11,si_06_bohol,SP_78_11_SU_22_20,06_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-13,9.0458,123.1269,12.2,92,3.726118572200507,0.8240364423743591,0.9528589383791601,21.212929145361578,0.9548399340934224,33.736521335706435
