nice_station_pair,station_pair,sea,S_si_1978,S_su_2022,H_si_1978,H_su_2022,J_si_1978,J_su_2022,simpson_si_1978,simpson_su_2022,invsimpson_si_1978,invsimpson_su_2022,unbias_simp_si_1978,unbias_simp_su_2022,alpha_si_1978,alpha_su_2022,delta_S,delta_H,delta_J,delta_simpson,delta_invsimpson,delta_unbias_simp,delta_alpha
07_bohol,SP_78_10_SU_22_19,bohol,55,44,2.669381967443819,3.3662677710610422,0.6661242886618034,0.8895610676824115,0.8513439750143582,0.9497959183673469,6.726938918867142,19.91869918699187,0.8532028046540625,0.9566289825282506,16.309834043674865,22.06702913036783,-11,0.6968858036172234,0.2234367790206081,0.09845194335298868,13.191760268124728,0.10342617787418806,5.757195086692963
06_bohol,SP_78_11_SU_22_20,bohol,92,46,3.726118572200507,2.5454788776145842,0.8240364423743591,0.6648517356440892,0.9528589383791601,0.8011747953008188,21.212929145361578,5.029543419874664,0.9548399340934224,0.8049718322453627,33.736521335706435,18.086989594097943,-46,-1.1806396945859228,-0.15918470673026996,-0.15168414307834133,-16.183385725486914,-0.14986810184805965,-15.649531741608492
14_sulu,SP_78_17_SU_22_18,sulu,103,74,3.640031854662688,3.4070688360306387,0.7853818128108284,0.7915932408666801,0.9490592923559956,0.9428125204574999,19.630665655224732,17.486345053147996,0.9501033619844961,0.9442563374870367,29.86264608798421,21.451979352187955,-29,-0.2329630186320495,0.006211428055851731,-0.006246771898495762,-2.1443206020767356,-0.00584702449745933,-8.410666735796255
19_sulu,SP_78_18_SU_22_09,sulu,101,93,3.2371658067318068,3.1934528167460843,0.7014260613387903,0.7045521717879492,0.9279825438518483,0.9179747614650662,13.88552239255489,12.191369606003752,0.9284383309554591,0.9187073829825962,22.32278815639671,23.202663968984027,-8,-0.043712989985722484,0.003126110449158892,-0.010007782386782127,-1.6941527865511379,-0.009730947972862891,0.879875812587315
15_sulu,SP_78_20_SU_22_14,sulu,109,68,3.908831815466949,3.39600189449244,0.8332001619989917,0.8048336753423948,0.966819057598702,0.920166468489893,30.137781739462625,12.526064938933573,0.968226363359173,0.9233504355090036,36.46655812286187,27.976450882382714,-41,-0.5128299209745086,-0.028366486656596912,-0.046652589108808984,-17.611716800529052,-0.04487592785016936,-8.490107240479155
16_sulu,SP_78_21_SU_22_13,sulu,110,72,3.7830568500191237,3.542035665739649,0.8048234553962164,0.8282235664809333,0.9510928631807752,0.9519075555555555,20.446913580246914,20.793287002809404,0.9524011064585862,0.9544527629234585,36.008677878211486,26.483947561378272,-38,-0.24102118427947472,0.023400111084716957,8.146923747802681e-4,0.3463734225624897,0.0020516564648722646,-9.524730316833214
20_sulu,SP_78_24_SU_22_11,sulu,90,107,3.3713628461923815,1.7238062996353474,0.749223432364627,0.3688999449160971,0.9205174516794896,0.5791929256419437,12.581378190939944,2.3763859044563493,0.9220963838434657,0.5793636279484216,29.727805695093203,21.019621715635846,17,-1.647556546557034,-0.38032348744852984,-0.34132452603754593,-10.204992286483595,-0.34273275589504415,-8.708183979457356
17_sulu,SP_78_25_SU_22_16,sulu,135,112,3.833526550208456,3.9327170065617385,0.7815110719299686,0.8334678281871283,0.9571159443066278,0.9599076595667935,23.31868998469175,24.94242015294647,0.9577913966320932,0.9614509194694272,36.68231922648533,39.83112006240589,-23,0.09919045635328239,0.051956756257159675,0.002791715260165639,1.6237301682547205,0.0036595228373339506,3.1488008359205537
18_sulu,SP_78_26_SU_22_15,sulu,69,113,3.3644733798644544,2.4640000814447283,0.7946123641933464,0.5212180967449968,0.9446180555555556,0.6615045006072138,18.0564263322884,2.954249027812366,0.9459318497915365,0.6621417881806153,18.793326420523023,32.26035325773262,44,-0.9004732984197261,-0.2733942674483496,-0.2831135549483418,-15.102177304476033,-0.28379006161092124,13.467026837209595
21_sulu,SP_78_27_SU_22_12,sulu,89,57,3.6103010399845057,3.53305229335714,0.8043202306004466,0.8738579007061257,0.9512200910381098,0.9556874132054034,20.500243261652233,22.56695156695157,0.9532969908001188,0.9610867771217739,32.906768176489685,29.002473180918393,-32,-0.0772487466273657,0.06953767010567913,0.004467322167293619,2.0667083052993362,0.007789786321655168,-3.9042949955712913
02_bohol,SP_78_44_SU_22_05,bohol,62,36,2.91029421477818,3.144965668835999,0.7051610011352667,0.8776193799581109,0.85845218015921,0.9380609418282548,7.064750281034206,16.14490161001789,0.8602864796894809,0.9480403135498798,19.143933852907065,21.123378737828375,-26,0.23467145405781897,0.1724583788228442,0.07960876166904485,9.080151328983684,0.08775383386039892,1.9794448849213104
