nice_station_pair,station_pair,sea,S_si_1978,S_su_2022,H_si_1978,H_su_2022,J_si_1978,J_su_2022,simpson_si_1978,simpson_su_2022,invsimpson_si_1978,invsimpson_su_2022,unbias_simp_si_1978,unbias_simp_su_2022,alpha_si_1978,alpha_su_2022,delta_S,delta_H,delta_J,delta_simpson,delta_invsimpson,delta_unbias_simp,delta_alpha
03_bohol,LK_79_02_SU_22_04,bohol,70,103,3.4680343183799085,3.039271446056995,0.816297093628619,0.6557603376110088,0.9501395002790005,0.8183888888888888,20.055956229793583,5.506271030896299,0.9516381430239791,0.8197551474678524,20.088163930601656,35.802941155365346,33,-0.4287628723229133,-0.1605367560176102,-0.13175061139011168,-14.549685198897285,-0.1318829955561267,15.71477722476369
01_bohol,LK_79_03_SU_22_06,bohol,75,58,3.482202406970924,3.4774232861119625,0.8065343355673464,0.8564147500851148,0.9484829583426153,0.947867813490267,19.411052495027242,19.182007641542203,0.94990072061203,0.9519185306417799,21.651116178119697,24.62251866513663,-17,-0.004779120858961594,0.04988041451776837,-6.151448523482594e-4,-0.2290448534850391,0.002017810029749878,2.9714024870169347
04_bohol,LK_79_04_SU_22_08,bohol,73,83,2.8825042147274775,3.3490606834491863,0.6718404530485299,0.7579048399121042,0.8281066267897668,0.9024894558737228,5.81755992871788,10.255301198042636,0.8296122752020114,0.9046079757234269,22.56130510908847,30.728327330460505,10,0.46655646872170875,0.08606438686357432,0.07438282908395599,4.437741269324756,0.07499570052141546,8.167022221372036
13_bohol,LK_79_13_SU_19_01,bohol,69,49,2.256511145091181,2.9060534374567797,0.5329367937819071,0.7467080221734775,0.799492954222624,0.8912869348522606,4.987355911224711,9.198526401964799,0.8000611794925354,0.8955110435482259,15.200458592139782,19.98692542409984,-20,0.6495422923655987,0.21377122839157048,0.09179398062963662,4.211170490740088,0.09544986405569045,4.786466831960059
12_bohol,LK_79_15_SU_22_22,bohol,90,41,3.394582696450972,2.8156670369514236,0.7543836173412698,0.7582098815845116,0.9208336818804815,0.8738397502601457,12.631634560676256,7.926426921807984,0.9217173994255976,0.8795140343526819,23.621451009791585,18.19627269955293,-49,-0.5789156594995486,0.0038262642432418392,-0.04699393162033583,-4.705207638868272,-0.042203365072915666,-5.425178310238653
08_bohol,LK_79_16_SU_22_23,bohol,55,53,3.0687108749352054,3.4811433904669298,0.76577382840134,0.8767978441545969,0.9172206022581224,0.950784207679827,12.080300500834724,20.31868131868132,0.9189286480723591,0.9563443492450898,15.339349040902682,26.186027497964474,-2,0.41243251553172433,0.11102401575325693,0.033563605421704557,8.238380817846597,0.03741570117273074,10.846678457061792
09_bohol,SP_78_03_SU_22_24,bohol,31,54,2.685710236312746,3.434692739459667,0.7820967512065647,0.8610444913706735,0.8800525969756738,0.9546602387511478,8.336987502740627,22.055696202531646,0.8845889505683613,0.958290125590499,10.387811219319858,20.546243525411644,23,0.7489825031469208,0.07894774016410877,0.07460764177547397,13.71870869979102,0.07370117502213769,10.158432306091786
10_bohol,SP_78_04_SU_19_03,bohol,72,85,3.6367092135676535,3.6705040927368056,0.8503607979582848,0.8261967642349884,0.9591893333333333,0.9498554130402662,24.503397804495556,19.942331976988914,0.9617540106952902,0.9523816242448642,26.483947561378272,34.16790327902106,13,0.033794879169152026,-0.02416403372329634,-0.009333920293067122,-4.561065827506642,-0.00937238645042604,7.683955717642789
11_bohol,SP_78_07_SU_19_02,bohol,94,68,3.6801344147862873,3.5267199150925093,0.8100144479173661,0.835813123594075,0.9481050058454671,0.9385288065843621,19.269681330384202,16.267782426778243,0.9500639004855076,0.9428940568473596,34.747404522291795,34.147464771589924,-26,-0.15341449969377807,0.025798675676708904,-0.009576199261104978,-3.0018989036059587,-0.007169843638147988,-0.5999397507018713
05_bohol,SP_78_09_SU_22_07,bohol,73,76,3.7719523553525156,3.7734094352836416,0.879148820095339,0.8713095771059778,0.9636903491237944,0.9622583344343154,27.540887226082308,26.495915985997666,0.9679544657128616,0.9659593280283763,37.26654296380131,36.026273166093745,3,0.0014570799311259819,-0.007839242989361228,-0.0014320146894789554,-1.0449712400846423,-0.0019951376844853375,-1.2402697977075618
