sea,S,H,H_eq,J,J_eq,simpson,simpson_eq,invsimpson,invsimpson_eq
bohol,670,5.160731198393852,5.287634126687521,0.7930706858524974,0.8125723782502478,0.9870977941283046,0.9887134025596858,77.50612646739538,88.60066156237092
sulu,667,4.936008961877911,5.338944917019218,0.7590601767895303,0.8210237266344755,0.9724806666216259,0.9902616175962107,36.338089526029144,102.6864584421008
