species,average,sd,cumsum,ava,avb,ratio,p
verulux_cypselurus,0.025007728186716392,0.11245899790787078,0.026420873670689782,0,101.85714285714286,0.2223719635773684,0.997
plotosus_lineatus,0.0223764164429413,0.051835692193947173,0.050061744509798375,11.285714285714286,7.619047619047619,0.4316797074729559,0.885
chromis_ternatensis,0.021956946762653834,0.06538644138376949,0.07325944212866034,31.19047619047619,1.7142857142857142,0.3358027489794556,0.028
ostorhinchus_cyanosoma,0.018262491189105702,0.04436319806745394,0.09255391658139162,8.428571428571429,13.571428571428571,0.411658581541793,0.662
spratelloides_gracilis,0.017848846317662842,0.07783803735332531,0.11141137177306398,0,29.857142857142858,0.2293075072877634,0.991
spratelloides_delicatulus,0.017842343799105737,0.057370362799168004,0.13026195699957774,11.047619047619047,12,0.3110028057790928,0.221
pycnochromis_retrofasciatus,0.017219363762197088,0.026631704945046082,0.14845435861454426,14,7.142857142857143,0.6465738411314204,0.82
cirrhilabrus_ryukyuensis,0.013805602671892687,0.02415209100629173,0.16304009312902787,0,14.714285714285714,0.5716110736870056,0.947
ostorhinchus_nigrofasciatus,0.01185535996056193,0.016153593315838582,0.17556537993236657,9.428571428571429,5.523809523809524,0.7339147227965533,0.376
ostorhinchus_multilineatus,0.010684542030132317,0.015420768957218202,0.18685368781461759,5.476190476190476,9.857142857142858,0.6928670068123329,0.998
ostorhinchus_fleurieu,0.01064695799315561,0.04074375256797747,0.19810228784793557,8.380952380952381,0.6190476190476191,0.2613151053131905,0.012
dascyllus_reticulatus,0.010179244527354596,0.02595446652063359,0.20885674469872437,3.7142857142857144,7.809523809523809,0.39219625336017516,0.963
pycnochromis_atripes,0.010084787209412796,0.03777007679862027,0.21951140660428745,16.476190476190474,0,0.2670046784173124,0.013
ostorhinchus_aroubiensis,0.009836431256520239,0.02645040552589132,0.2299036783715803,8.333333333333334,0,0.3718820585526268,0.002
cirrhilabrus,0.009685481892516515,0.02737519885889856,0.24013647087521364,9.619047619047619,0.3333333333333333,0.35380498758890877,0.002
chrysiptera_rollandi,0.009269360591429293,0.012699932064002753,0.24992962774918798,6.761904761904762,5,0.7298748170238467,0.905
nectamia_viria,0.009235022972458111,0.03810902460391068,0.25968650664196324,12.619047619047619,0.23809523809523808,0.24233165420640104,0.02
pycnochromis_amboinensis,0.008940544377124082,0.020398202052299544,0.2691322664395551,2.619047619047619,5.571428571428571,0.4383006087595936,0.998
enneapterygius,0.008815402207096196,0.026445404724854536,0.27844581248944084,5.523809523809524,10.666666666666666,0.3333434409045402,0.925
trimma_stobbsi,0.008425330764711714,0.015125076768126442,0.2873472448029314,6.571428571428571,2.238095238095238,0.5570438348099286,0.167
cirripectes_filamentosus,0.00819509314519134,0.020356203466382995,0.2960054291486669,8.476190476190476,0.09523809523809523,0.402584556532117,0.001
pomacentrus_amboinensis,0.008037854955657576,0.011131100514937788,0.30449749003405197,1.0476190476190477,10.904761904761905,0.7221078405383979,0.979
helcogramma_desa,0.007427987342288737,0.02639378882656848,0.3123452206928624,15.428571428571429,1.4285714285714286,0.2814293692768954,0.097
praealticus_striatus,0.007156122639133619,0.022559781416100638,0.3199057240224269,10.761904761904763,0.6666666666666666,0.3172070911124335,0.035
alionematichthys,0.007081373872712094,0.023200695970674923,0.3273872546560344,8.666666666666666,2,0.30522247615600695,0.955
pseudogramma_polyacanthus,0.007006442879151013,0.014362790098788979,0.33478962006919033,4.238095238095238,3.9047619047619047,0.4878190679498806,0.091
