study,alpha,gamma,beta,alpha_ave,gamma_pool,beta_add
si_1978,81.76190476190476,677,7.2801397786837505,3.351504608291797,5.358132205617361,2.0066275973255636
su_2022,71.04761904761905,617,7.684316353887398,3.224894889265966,4.5699351715165335,1.3450402822505674
