term,Df,SumOfSqs,R2,F,Pr(>F)
depth_scaled,1,1.3358960373593138,0.08157400681404736,3.979353316763331,1e-4
era:sea,1,0.5091859760349831,0.031092494563274987,1.516757925706154,0.0223
Residual,37,12.421152244530468,0.7584745590207314,NA,NA
Total,41,16.376491599886293,1,NA,NA
