term,Df,SumOfSqs,F,Pr(>F)
depth_scaled,1,0.9821626754194774,2.4118446139708616,1e-4
era:sea,1,0.5254600045057778,1.2903441694962543,0.0181
Residual,37,15.067313532562302,NA,NA
