term,Df,SumOfSqs,R2,F,Pr(>F),sea
era,1,0.9966937590475567,0.10234822848784526,2.957147277068648,1e-4,bohol
depth_scaled,1,0.9895162293778385,0.10161118419520655,2.9358518569596974,1e-4,bohol
Residual,23,7.752050983682421,0.7960405873169484,NA,NA,bohol
Total,25,9.738260972107815,1,NA,NA,bohol
era,1,0.7374208206743447,0.12818240860664834,2.327664766035163,0.0011,sulu
depth_scaled,1,0.8969882305778931,0.15591926436542256,2.831338418075975,2e-4,sulu
Residual,13,4.118492838251633,0.715898327027929,NA,NA,sulu
Total,15,5.752901889503872,1,NA,NA,sulu
