term,Df,SumOfSqs,F,Pr(>F)
era,1,0.9387839854291153,2.3053218734587744,1e-4
sea,1,0.7349625541170164,1.8048084314141926,1e-4
depth_scaled,1,0.9822258924202893,2.4119998525955166,1e-4
era:sea,1,0.5254600045057831,1.2903441694962674,0.0194
Residual,37,15.067313532562302,NA,NA
