station_code,era,sea,era_sea,era_label,sea_label,distance_to_centroid_era,distance_to_centroid_sea,distance_to_centroid_era_sea
LK_79_02,historical,bohol,historical_bohol,Historical,Bohol,0.618679970108075,0.6627394203520511,0.60307184359823
LK_79_03,historical,bohol,historical_bohol,Historical,Bohol,0.6089096189624383,0.652464470573645,0.5988153540578108
LK_79_04,historical,bohol,historical_bohol,Historical,Bohol,0.6181349310001124,0.6299176228064488,0.5919999117771134
LK_79_13,historical,bohol,historical_bohol,Historical,Bohol,0.6241603500637252,0.6338905619534433,0.5978466379141844
LK_79_15,historical,bohol,historical_bohol,Historical,Bohol,0.6065926383788741,0.6402409272821973,0.5966078439873642
LK_79_16,historical,bohol,historical_bohol,Historical,Bohol,0.6594655620016417,0.63504313961227,0.6343721749894353
SP_78_03,historical,bohol,historical_bohol,Historical,Bohol,0.7470956144888198,0.745122397546985,0.739907865046858
SP_78_04,historical,bohol,historical_bohol,Historical,Bohol,0.5401484091527603,0.5680179162235592,0.5295624887569348
SP_78_07,historical,bohol,historical_bohol,Historical,Bohol,0.5161278574727364,0.5579380812413143,0.509262757486949
SP_78_09,historical,bohol,historical_bohol,Historical,Bohol,0.5603841577787714,0.5638972533126055,0.530676123182414
SP_78_10,historical,bohol,historical_bohol,Historical,Bohol,0.6288267229872716,0.6387568246227637,0.606936965776662
SP_78_11,historical,bohol,historical_bohol,Historical,Bohol,0.557300053645141,0.579779813966958,0.5330870663893282
SP_78_17,historical,sulu,historical_sulu,Historical,Sulu,0.6472487580818865,0.6480081104741019,0.5983707439761331
SP_78_18,historical,sulu,historical_sulu,Historical,Sulu,0.6502167655415354,0.6376699303970661,0.5997247394044001
SP_78_20,historical,sulu,historical_sulu,Historical,Sulu,0.5801201696084715,0.5577415107916063,0.49094512076051583
SP_78_21,historical,sulu,historical_sulu,Historical,Sulu,0.5586593815860948,0.5466198352092694,0.4800047551560549
SP_78_24,historical,sulu,historical_sulu,Historical,Sulu,0.5418542198531013,0.5513883414958562,0.5079877683384282
SP_78_25,historical,sulu,historical_sulu,Historical,Sulu,0.5945026571038341,0.5994196565860417,0.5398952909626832
SP_78_26,historical,sulu,historical_sulu,Historical,Sulu,0.6728086545427256,0.6736362744107923,0.6523565271140189
SP_78_27,historical,sulu,historical_sulu,Historical,Sulu,0.5846319870271253,0.5816932724152664,0.5978925436445128
SP_78_44,historical,bohol,historical_bohol,Historical,Bohol,0.6559881039191874,0.6621419007576523,0.6526647866472444
SU_19_01,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.5828070822447657,0.6030054985816417,0.5613058921361349
SU_19_02,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.5475875651684708,0.5488644268185326,0.5026449390102447
SU_19_03,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.5295614469907947,0.546235632474871,0.5033498533577891
SU_22_04,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.579627316868223,0.5828647214170967,0.5831953327817305
SU_22_05,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.6343123086133118,0.6472326400974783,0.6193669927160904
SU_22_06,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.6859932396291869,0.6757026521544716,0.6887943520614694
SU_22_07,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.4793478145702081,0.5197531651462852,0.45126113827363845
SU_22_08,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.5402334083898184,0.5478332156715121,0.5221184312412027
SU_22_09,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.7202915997091325,0.6715577831774832,0.6865303959062597
SU_22_11,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.5786049817347723,0.5812769029802645,0.5469691557888408
SU_22_12,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.5392002277094067,0.624741384250235,0.5637430456681329
SU_22_13,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.5823667377151405,0.5635551162289185,0.4831986701338272
SU_22_14,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.5395607135985938,0.5540472005256583,0.4652746942530286
SU_22_15,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.6357080867312734,0.5950203410827553,0.551605234822459
SU_22_16,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.5946508521819243,0.5683021889343505,0.5308200300314957
SU_22_18,contemporary,sulu,contemporary_sulu,Contemporary,Sulu,0.6653926532694477,0.6195224207037691,0.6190115232833797
SU_22_19,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.5446016636836034,0.5808027317411838,0.510013499597951
SU_22_20,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.5451751544334886,0.5688184047837465,0.5117386300726339
SU_22_22,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.6609472847319023,0.6450773599317587,0.6590331254523965
SU_22_23,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.5613239968888681,0.6094649905655052,0.558743958292334
SU_22_24,contemporary,bohol,contemporary_bohol,Contemporary,Bohol,0.6073780875963598,0.6172669255860255,0.5971384048666271
