term,Df,SumOfSqs,F,Pr(>F),sea
era,1,0.8088053307211318,1.9828053097117602,1e-4,bohol
depth_scaled,1,0.7859529649596535,1.9267821970414538,1e-4,bohol
Residual,23,9.381920915518567,NA,NA,bohol
era,1,0.6529162934654584,1.6505151399754752,0.0012,sulu
depth_scaled,1,0.7390188943233742,1.8681749651775148,1e-4,sulu
Residual,13,5.14258343318019,NA,NA,sulu
