term,Df,SumOfSqs,F,Pr(>F),sea
era,1,0.8109946026955673,1.9881723614984286,1e-4,bohol
depth_scaled,1,0.7859529649596536,1.9267821970414538,1e-4,bohol
Residual,23,9.381920915518567,NA,NA,bohol
era,1,0.6533126042401377,1.6515169788639972,0.0011,sulu
depth_scaled,1,0.7390188943233763,1.86817496517752,1e-4,sulu
Residual,13,5.14258343318019,NA,NA,sulu
