station_code,NMDS1,NMDS2,nice_station_code,station_pair,nice_station_pair,study,sea,study_sea,province,municipality,date_collected,latitude,longitude,depth_m,era,era_sea,era_label,sea_label,era_sea_label,depth_scaled
SP_78_10,0.8176324659183827,-0.650929220782055,si_07_bohol,SP_78_10_SU_22_19,07_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-13,9.0458,123.1269,18.3,historical,historical_bohol,Historical,Bohol,Historical × Bohol,0.9239007291955392
SP_78_11,0.49642854517647494,-0.4645399636760806,si_06_bohol,SP_78_11_SU_22_20,06_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-13,9.0458,123.1269,12.2,historical,historical_bohol,Historical,Bohol,Historical × Bohol,0.24833886259385768
SP_78_17,-0.5350662306697808,-1.0509557727123928,si_14_sulu,SP_78_17_SU_22_18,14_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Cuyo,1978-05-21,10.85333,121.00389,1,historical,historical_sulu,Historical,Sulu,Historical × Sulu,-0.9920370236256228
SP_78_18,-1.1798174900249405,-0.6592637410081289,si_19_sulu,SP_78_18_SU_22_09,19_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-22,10.91806,121.03417,4.6,historical,historical_sulu,Historical,Sulu,Historical × Sulu,-0.593344774483647
SP_78_20,-0.045406518631404325,-0.6561263065215789,si_15_sulu,SP_78_20_SU_22_14,15_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Cuyo,1978-05-23,10.875,120.93333,13.7,historical,historical_sulu,Historical,Sulu,Historical × Sulu,0.41446063306968095
SP_78_21,-0.0789162902009829,-0.6023706835755687,si_16_sulu,SP_78_21_SU_22_13,16_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Cuyo,1978-05-24,10.87833,120.94556,17.4,historical,historical_sulu,Historical,Sulu,Historical × Sulu,0.824227666910045
SP_78_24,0.08870261346189333,-0.389673958342216,si_20_sulu,SP_78_24_SU_22_11,20_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-25,10.97167,121.20778,13.7,historical,historical_sulu,Historical,Sulu,Historical × Sulu,0.41446063306968095
SP_78_25,-0.48151271060673695,-0.6559655308529422,si_17_sulu,SP_78_25_SU_22_16,17_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-25,10.96333,121.22556,2,historical,historical_sulu,Historical,Sulu,Historical × Sulu,-0.8812891766417407
SP_78_26,-1.4893270890054717,-0.45489173068610744,si_18_sulu,SP_78_26_SU_22_15,18_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-26,10.88167,121.35389,3,historical,historical_sulu,Historical,Sulu,Historical × Sulu,-0.7705413296578585
SP_78_27,0.6307893403933705,-0.22696557546171683,si_21_sulu,SP_78_27_SU_22_12,21_sulu,si_1978,sulu,si_1978_sulu_sea,Palawan,Magsaysay,1978-05-26,10.88583,121.19278,21.3,historical,historical_sulu,Historical,Sulu,Historical × Sulu,1.2561442701471859
SP_78_44,-0.8901028535613442,0.26698099774192774,si_02_bohol,SP_78_44_SU_22_05,02_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-06-14,9.066667,123.146667,2,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.8812891766417407
SU_19_01,1.000495332473074,0.29072819060250665,su_13_bohol,LK_79_13_SU_19_01,13_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,Siquijor,2019-06-12,9.225,123.48,30,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,2.219650538906961
SU_19_02,0.779995667325584,0.08281024142834223,su_11_bohol,SP_78_07_SU_19_02,11_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,San Juan,2019-06-12,9.14111,123.49444,10.7,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,0.08221709211803438
SU_19_03,0.3836312941677621,0.23766695449662328,su_10_bohol,SP_78_04_SU_19_03,10_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,San Juan,2019-06-13,9.14167,123.48944,6,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.4382977887062119
SU_22_04,0.06094765730449254,0.1169892335679224,su_03_bohol,LK_79_02_SU_22_04,03_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-14,9.0511773,122.9896027,5,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.549045635690094
SU_22_05,-0.12631967930739305,0.9102804066071565,su_02_bohol,SP_78_44_SU_22_05,02_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-16,9.0695836,123.1468738,2.5,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.8259152531497995
SU_22_06,-0.8553253997864251,0.6575824938964845,su_01_bohol,LK_79_03_SU_22_06,01_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-19,9.0902437,122.9336619,3.5,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.7151674061659173
SU_22_07,0.484129022925598,0.1923065462646654,su_05_bohol,SP_78_09_SU_22_07,05_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-23,9.0449798,123.1271438,9.1,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.0949794630561771
SU_22_08,0.15434228213985104,0.2561076163108742,su_04_bohol,LK_79_04_SU_22_08,04_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-05-25,9.0673958,123.1496911,3,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.7705413296578585
SU_22_09,-1.3303999758330027,0.12499089291097483,su_19_sulu,SP_78_18_SU_22_09,19_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-02,10.91806,121.03417,4.6,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,-0.593344774483647
SU_22_11,0.4511968595464384,0.01486145655363303,su_20_sulu,SP_78_24_SU_22_11,20_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-04,10.97167,121.20778,13.64,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,0.4078157622506482
SU_22_12,0.9536430736165329,0.162618067536366,su_21_sulu,SP_78_27_SU_22_12,21_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-05,10.88583,121.19278,21.21,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,1.2461769639186364
SU_22_13,0.6874571267696106,0.30415946626787693,su_16_sulu,SP_78_21_SU_22_13,16_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Cuyo,2022-06-06,10.876552,120.939812,17.27,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,0.8098304468021404
SU_22_14,0.48973993648681696,0.3894202987880093,su_15_sulu,SP_78_20_SU_22_14,15_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Cuyo,2022-06-07,10.8734723,120.9348857,13.64,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,0.4078157622506482
SU_22_15,-0.5617125569709627,0.21722400830196886,su_18_sulu,SP_78_26_SU_22_15,18_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-08,10.8807218,121.2050596,3.03,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,-0.7672188942483421
SU_22_16,-0.22289844400561834,0.17845133471657634,su_17_sulu,SP_78_25_SU_22_16,17_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Magsaysay,2022-06-09,10.9555144,121.2305596,2.42,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,-0.8347750809085102
SU_22_18,-0.7175135061454587,0.4447364496042427,su_14_sulu,SP_78_17_SU_22_18,14_sulu,su_2022,sulu,su_2022_sulu_sea,Palawan,Cuyo,2022-06-11,10.8342368,120.9975178,1.21,contemporary,contemporary_sulu,Contemporary,Sulu,Contemporary × Sulu,-0.9687799757590075
SU_22_19,0.8966122922521558,0.4193359885972799,su_07_bohol,SP_78_10_SU_22_19,07_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-06-21,9.0454687,123.1224568,18.3,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,0.9239007291955392
SU_22_20,0.6515447486060403,0.5766617185354629,su_06_bohol,SP_78_11_SU_22_20,06_bohol,su_2022,bohol,su_2022_bohol_sea,Negros_Oriental,Siaton,2022-06-22,9.0454714,123.1224568,12,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,0.2261892931970813
SU_22_22,-0.339565472385978,0.808319633500517,su_12_bohol,LK_79_15_SU_22_22,12_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,Siquijor,2022-06-30,9.2254097,123.4689628,2,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.8812891766417407
SU_22_23,0.9896143797540151,0.4022629365181976,su_08_bohol,LK_79_16_SU_22_23,08_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,Larena,2022-07-01,9.2473507,123.57536,30,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,2.219650538906961
SU_22_24,-0.13906342217991016,0.6444176803955698,su_09_bohol,SP_78_03_SU_22_24,09_bohol,su_2022,bohol,su_2022_bohol_sea,Siquijor,San Juan,2022-07-02,9.1809617,123.4574399,2,contemporary,contemporary_bohol,Contemporary,Bohol,Contemporary × Bohol,-0.8812891766417407
