station_code,NMDS1,NMDS2,nice_station_code,station_pair,nice_station_pair,study,sea,study_sea,province,municipality,date_collected,latitude,longitude,depth_m,era,era_sea,era_label,sea_label,era_sea_label,depth_scaled
LK_79_02,-1.0217043055945914,-0.20979709748641348,si_03_bohol,LK_79_02_SU_22_04,03_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-24,9.051667,122.985,3,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.7705413296578585
LK_79_03,-0.8696447084293267,-0.35019000727410493,si_01_bohol,LK_79_03_SU_22_06,01_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-26,9.108333,122.923333,2,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.8812891766417407
LK_79_04,-0.49079333925846313,-0.2128562924240392,si_04_bohol,LK_79_04_SU_22_08,04_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1979-04-28,9.066667,123.18,3,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.7705413296578585
LK_79_13,0.6834400349619827,-0.8614116497955511,si_13_bohol,LK_79_13_SU_19_01,13_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Siquijor,1979-05-14,9.225,123.48,30.5,historical,historical_bohol,Historical,Bohol,Historical × Bohol,2.275024462398902
LK_79_15,-0.5384198360269414,-0.4440118818292102,si_12_bohol,LK_79_15_SU_22_22,12_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Siquijor,1979-05-15,9.225,123.47,1,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.9920370236256228
LK_79_16,1.1274019435464546,-0.39339365517747255,si_08_bohol,LK_79_16_SU_22_23,08_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,Larena,1979-05-15,9.2533,123.57,30.5,historical,historical_bohol,Historical,Bohol,Historical × Bohol,2.275024462398902
SP_78_03,-0.7697437075114969,1.7454165640354338,si_09_bohol,SP_78_03_SU_22_24,09_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-09,9.175,123.4633,2,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.8812891766417407
SP_78_04,0.19693383522930208,-0.41667645691956823,si_10_bohol,SP_78_04_SU_19_03,10_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-09,9.1417,123.4894,6.1,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.4272230040078237
SP_78_07,0.1968436424550348,-0.36765299928527573,si_11_bohol,SP_78_07_SU_19_02,11_bohol,si_1978,bohol,si_1978_bohol_sea,Siquijor,San_Juan,1978-05-10,9.1411,123.4944,10.7,historical,historical_bohol,Historical,Bohol,Historical × Bohol,0.08221709211803438
SP_78_09,0.46173144162536217,-0.3766566533681895,si_05_bohol,SP_78_09_SU_22_07,05_bohol,si_1978,bohol,si_1978_bohol_sea,Negros_Oriental,Siaton,1978-05-12,9.0408,123.1269,9.1,historical,historical_bohol,Historical,Bohol,Historical × Bohol,-0.0949794630561771
