SI_78-79_2-15m	*SampleSet*	1	1	1																						
631	26																									
	SP_78-11	SP_78-13	SP_78-18	SP_78-2	SP_78-20	SP_78-24	SP_78-25	SP_78-3	SP_78-31	SP_78-34	SP_78-37	SP_78-4	SP_78-44	SP_78-46	SP_78-7	SP_78-9	JL-1	LK_79-1	LK_79-10	LK_79-19	LK_79-2	LK_79-20	LK_79-3	LK_79-4	LK_79-5	LK_79-7
Synodus variegatus	2	0	0	0	0	0	0	0	0	0	0	3	0	0	7	3	2	0	0	0	0	0	1	0	0	0
Trimma macrophthalmus	7	0	0	0	0	1	0	0	0	0	0	4	0	1	20	3	1	0	0	0	0	3	0	0	6	0
Wetmorella albofasciata	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogon unicolor	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Balistapus undulatus	3	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	13	0	0
Centropyge bispinosa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus macrodon	3	0	3	0	2	0	15	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0
Chromis	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0
Cirrhitichthys falco	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	4	19	5
Meiacanthus grammistes	3	0	0	0	0	0	0	0	0	0	0	4	1	1	4	1	0	0	1	0	1	0	0	0	1	2
Oxycheilinus digramma	3	0	0	0	8	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
Pleurosicya mossambica	3	0	0	0	0	12	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
Pomacentrus lepidogenys	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma benjamini Winterbottom	16	0	0	0	0	1	0	0	0	0	0	1	0	0	5	13	1	0	0	0	0	0	0	0	0	0
Dinematichthys iluocoeteoides	4	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	16	0	0
Dunckerocampus dactyliophorus	4	0	0	0	2	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus atrodorsalis	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis microprion	5	0	0	0	7	0	1	0	2	0	0	0	2	6	1	0	0	0	0	0	0	0	0	10	0	0
Eviota pellucida Larson	5	0	0	0	0	1	0	0	0	0	0	2	0	0	13	5	0	0	0	0	0	0	0	0	0	1
Fowleria vaiulae	5	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	0	0	1	1	5	3	0	2
Sargocentron tiereoides	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chaetodon triangulum	6	0	0	0	1	0	8	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0
Fowleria aurita	6	0	0	0	0	0	0	0	0	0	0	7	0	0	3	3	0	0	0	0	0	0	0	0	0	0
Cephalopholis leopardus	7	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera rollandi	8	0	0	0	30	13	0	0	0	0	0	0	0	0	5	10	2	0	0	0	0	0	0	0	0	0
Nectamia viria Fraser	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	100
Pseudocheilinus hexataenia	8	0	0	0	5	0	11	0	1	0	5	0	0	31	12	0	0	10	0	0	0	0	0	0	0	0
Amblyglyphidodon leucogaster	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Myripristis kuntee	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus	11	0	0	0	0	62	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ctenochaetus binotatus	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Pristiapogon kallopterus	14	0	0	0	3	0	6	0	0	0	0	2	0	0	10	18	0	0	7	0	2	0	12	1	0	0
Gnatholepis cauerensis	15	0	0	0	0	23	0	0	0	0	0	17	0	7	6	10	0	0	0	0	0	0	0	0	0	0
Dascyllus reticulatus	17	0	0	0	0	30	0	0	0	0	0	13	0	4	0	0	0	0	0	0	0	0	0	0	92	0
Chromis atripes	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudocheilinus evanidus	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Apogon aroubiensis	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogonichthyoides timorensis	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendrochirus brachypterus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eleutherochir	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hippocampus kuda	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Periophthalmus argentilineatus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mullidae	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pristicon trimaculatus	0	2	0	0	0	0	14	0	0	0	0	2	0	0	5	3	0	0	0	0	0	0	0	0	0	0
Asterorhombus fijiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	3	0	0
Abudefduf vaigiensis	0	0	1	0	0	0	0	0	0	0	1	0	7	4	0	0	0	4	0	2	2	8	0	0	19	1
Alionematichthys riukiuensis	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
Alticus montanoi	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion frenatus	0	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0
Apogonichthyoides melas	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arothron nigropunctatus	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
Aspasmodes briggsi	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster janthinoptera	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis argus	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10
Cephalopholis cyanostigma	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirripectes filamentosus	0	0	1	0	1	0	9	0	0	0	0	1	11	2	0	0	0	7	5	26	89	0	25	19	5	39
Doryrhamphus excisus excisus	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	2	1
Ecsenius monoculus Springer	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	31	0	16	0	0	0
Enneapterygius	0	0	9	0	1	1	86	0	0	7	0	1	0	0	0	0	0	0	0	19	0	9	9	1	0	2
Enneapterygius fuscoventer Fricke	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enneapterygius nanus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enneapterygius pallidoserialis Fricke	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	13	4
Enneapterygius tutuilae Jordan & Seale	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	2	0
Entomacrodus caudofasciatus	0	0	30	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	34	2	0	1	0
Eviota albolineata Jewett & Lachner	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	2	4	0
Eviota irrasa Karnella & Lachner	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota nebulosa Smith	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota queenslandica	0	0	1	0	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	10	0	0	1	0	0	2
Gobiopsis arenaria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
