SI_78-79_2-15m	*SampleSet*	1	1	1																						
631	26																									
	SP_78-11	SP_78-13	SP_78-18	SP_78-2	SP_78-20	SP_78-24	SP_78-25	SP_78-3	SP_78-31	SP_78-34	SP_78-37	SP_78-4	SP_78-44	SP_78-46	SP_78-7	SP_78-9	JL-1	LK_79-1	LK_79-10	LK_79-19	LK_79-2	LK_79-20	LK_79-3	LK_79-4	LK_79-5	LK_79-7
Chaetodon octofasciatus	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera talboti	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diancistrus	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diancistrus machidai	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ecsenius bimaculatus Springer	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ecsenius kurti Springer	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecsenius yaeyamaensis	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epibulus insidiator	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota bifasciata Lachner & Karnella	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota infulata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota prasina	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	1
Eviota spilota Lachner & Karnella	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gomphosus varius	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halicampus nitidus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labracinus cyclophthalmus	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macrodontogobius wilburi	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis violacea	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	20
Parascorpaena aurita	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	3
Pervagor janthinosoma	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12
Plesiops cephalotaenia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plesiops oxycephalus	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus philippinus	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoplesiops rosae Schultz	0	0	0	0	1	0	22	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	14	0	0
Sargocentron diadema	0	0	0	0	1	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	18
Scorpaenodes albaiensis	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Scorpaenopsis papuensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siganus vulpinus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma annosum	0	0	0	0	1	0	3	0	0	0	2	2	0	0	0	0	0	1	0	11	19	0	63	17	0	26
Trimma maiandros	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma okinawae	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
Diancistrus erythraeus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diproctacanthus xanthurus	0	0	0	0	5	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota distigma Jordan & Seale	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hetereleotris	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labrichthys unilineatus	0	0	0	0	2	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Nectamia luxuria Fraser	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Neoglyphidodon nigroris	0	0	0	0	2	1	65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paragobiodon xanthosomus	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudamia	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Sargocentron cornutum	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Cheilinus oxycephalus	0	0	0	0	3	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Dischistodus melanotus	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres kallochroma	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathygobius ramosus curticeps Ginsburg	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxycheilinus celebicus	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pseudamia hayashii Randall et al.	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudochromis bitaeniatus	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthochromis polyacanthus	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres melanochir	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plesiops verecundus Mooi	0	0	0	0	5	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogramma polyacanthum	0	0	0	0	5	4	0	0	0	0	0	0	0	50	9	0	0	0	0	0	0	0	71	0	0	0
Pseudoplesiops typus	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Ucla xenogrammus Holleman	0	0	0	0	5	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Halichoeres nigrescens	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pteragogus cryptus Randall	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius sclateri	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Ostorhinchus cyanosoma	0	0	0	0	7	50	26	0	0	8	1	13	0	90	30	0	15	0	0	0	0	0	0	0	2	3
Diancistrus fuscus	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aioliops megastigma Rennis & Hoese	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus aroubiensis	0	0	0	0	17	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera parasema	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogonichthyoides uninotatus	0	0	0	0	21	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudochromis fuscus	0	0	0	0	25	2	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nectamia savayensis	0	0	0	0	26	4	0	0	0	0	0	12	0	0	9	9	1	0	0	0	0	0	0	0	0	0
Halichoeres melanurus	0	0	0	0	28	0	32	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pomacentrus moluccensis	0	0	0	0	30	6	0	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	2
Hypoatherina barnesi	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus solorensis	0	0	0	0	33	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyglyphidodon curacao	0	0	0	0	35	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pristicon rhodopterus	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus cyanopleura	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Apogon coccineus	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	21	32	65	58	10	20	44	10	130
Aulostomus chinensis	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	3
Bryaninops loki Larson	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilinus	0	0	0	0	0	1	6	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Istigobius rigilius	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parapercis cylindrica	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Plectorhinchus chaetodonoides	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pleurosicya muscarum	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pseudochromis marshallensis	0	0	0	0	0	1	0	0	0	0	0	27	0	4	0	1	0	0	0	0	0	0	0	0	0	0
Pteragogus	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Rudarius minutus Tyler	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Scolopsis bilineata	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0
Tripterygiidae	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0
Valenciennea parva Hoese & Larson	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valenciennea puellaris	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Abudefduf	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anthiinae	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bryaninops isis Larson	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis weberi Fowler & Bean	0	0	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	3	0
Ostorhinchus aureus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus multilineatus	0	0	0	0	0	2	0	0	0	0	0	3	0	35	1	0	0	0	6	10	12	0	13	19	0	23
Parapercis cephalopunctata	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Pomacentrus alexanderae	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Scorpaenodes hirsutus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Trimma	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Ostorhinchus melanoproctus	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus nigrofasciatus	0	0	0	0	0	3	1	0	0	4	0	42	5	8	0	24	3	0	0	1	0	1	0	13	0	17
Apogon uninotatus	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota nigramembrana Greenfield & Suzuki	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
Cephalopholis urodeta	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyglyphidodon	0	0	0	0	0	14	20	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus amboinensis	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis ternatensis	0	0	0	0	0	130	0	0	0	0	0	0	0	8	0	0	62	0	0	0	0	0	0	3	0	0
Anyperodon leucogrammicus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bothus pantherinus	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	9	0	0	0	0
Cephalopholis boenak	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Cheilinus fasciatus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus exquisitus	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptocentrus nigrocellatus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eurycephalus arenicola	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota sebreei	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria isostigma	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
Heniochus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepadichthys springeri Briggs	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opistognathus dendriticus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parapercis hexophtalma	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sargocentron caudimaculatum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sargocentron violaceum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scolopsis margaritifera	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaenodes parvipinnis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Siganus corallinus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taeniura lymma	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimmatom macropodus Winterbottom	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenisthmus polyzonatus	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Centriscidae	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon auriga	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon rafflesii	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon trifascialis	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis atripectoralis Welander & Schultz	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirripectes perustus	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Halichoeres hortulanus	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	18
Hemigymnus melapterus	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis adusta	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pherallodichthys	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptereleotris evides	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sargocentron microstoma	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sargocentron spiniferum	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Valenciennea muralis	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dischistodus pseudochrysopoecilus	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scarus niger	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siganus virgatus	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Stethojulis strigiventer	0	0	0	0	0	0	3	0	0	0	0	0	23	4	0	0	0	0	0	0	0	0	0	0	0	0
Ceratobregma helenae Holleman	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Cheiloprion labiatus	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota punctulata Jewett & Lachner	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belonepterygion fasciolatum	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius phalaena	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster valentini	0	0	0	0	0	0	6	0	0	30	0	24	0	0	20	1	0	0	2	0	0	0	0	0	0	0
Chaetodon vagabundus	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Paragobiodon melanosoma	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abudefduf sexfasciatus	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus compressus	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	17	0	0	0	0	0	0	0	0	0
Sargocentron punctatissimum	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	75
Chromis viridis	0	0	0	0	0	0	11	0	5	0	0	21	0	14	0	0	0	0	1	0	0	1	0	0	59	5
Neopomacentrus cyanomos	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenochaetus striatus	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	12	0	0	0
Scarus scaber	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaenodes guamensis	0	0	0	0	0	0	17	0	0	0	0	13	6	13	0	0	0	0	0	0	0	1	0	0	0	0
Thalassoma hardwicke	0	0	0	0	0	0	19	0	0	0	1	2	24	1	1	0	0	0	0	0	0	8	15	0	0	0
Stenatherina panatela	0	0	0	0	0	0	24	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogon doryssa Jordan & Seale	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arothron hispidus	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arothron reticularis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathygobius fuscus fuscus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptocentrus caeruleomaculatus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Foa fo	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lethrinus harak	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus johnii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parioglossus raoi	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platax orbicularis	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Plectorhinchus lineatus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sebastapistes strongia	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	6
Yongeichthys nebulosus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthurus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathygobius fuscus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibramia lateralis	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria variegata	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eleotris	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terapon jarbua	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster compressa	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptoscarus vaigiensis	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zenarchopterus	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Istiblennius dussumieri	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arothron manilensis	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asterropteryx semipunctata	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelates quadrilineatus	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plotosus lineatus	0	0	0	0	0	0	0	57	1	0	4	0	163	4	0	0	0	0	0	0	14	0	0	0	363	0
Naso	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acreichthys radiatus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Apogon leptacanthus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	21	2
Enneapterygius flavoccipitis Shen & Wu	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	9	3	2	0	0
Oxycheilinus bimaculatus	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Rhinogobius decoratus Herre	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saurida gracilis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1
Scorpaenopsis possi Randall & Eschmeyer	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Cirripectes castaneus	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	4	0	4	3	2	2	23	7
Myripristis murdjan	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Pempheris itoi Fowler	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samariscus	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Pholidichthys leucotaenia	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helcogramma albimacula Williams & Howe	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0
Amphiprion perideraion	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Amphiprion sandaracinos	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Cirripectes stigmaticus	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0
Plectorhinchus lessonii	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Siphamia majimai	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Thalassoma amblycephalum	0	0	0	0	0	0	0	0	0	0	1	5	0	3	0	0	0	0	0	0	0	0	1	0	1	0
Ungusurculus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helcogramma striatum	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Parascorpaena mcadamsi	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	12	0	2	4	0	0
Parascorpaena mossambica	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	7	0	0	2	14	1	33	0
Sunagocia otaitensis	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	7	0	0	3	5	3	0	0	0
Synodus	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
