family,original_id,verified_identification,lowest_tax_cat,notes
,Cephalopholis leopardus,Cephalopholis leopardus,species,
,Chrysiptera rollandi,Chrysiptera rollandi,species,
,Cirrhilabrus cyanopleura,Cirrhilabrus cyanopleura,species,
,Ecsenius pictus McKinney & Springer,Ecsenius pictus,species,
,Halichoeres biocellatus Schultz,Halichoeres biocellatus,species,
,Labroides dimidiatus,Labroides dimidiatus,species,
,Scorpaenopsis brevifrons Eschmeyer & Randall,Scorpaenopsis brevifrons,species,
,Serranidae,Serranidae,family,
,Synchiropus bartelsi Fricke,Synchiropus bartelsi,species,
,Synodus variegatus,Synodus variegatus,species,
,Trimma benjamini Winterbottom,Trimma benjamini,species,
,Dascyllus reticulatus,Dascyllus reticulatus,species,
,Dascyllus trimaculatus,Dascyllus trimaculatus,species,
,Samariscus,Samariscus,genus,
,Gnatholepis cauerensis,Gnatholepis cauerensis,species,
,Cirrhilabrus,Cirrhilabrus,genus,
,Trimma okinawae,Trimma okinawae,species,
,Pristiapogon kallopterus,Pristiapogon kallopterus,species,
,Meiacanthus ditrema,Meiacanthus ditrema,species,
,Pseudocheilinus evanidus,Pseudocheilinus evanidus,species,
,Trimma macrophthalmus,Trimma macrophthalmus,species,
,Chromis ternatensis,Chromis ternatensis,species,
,Ostorhinchus aroubiensis,Ostorhinchus aroubiensis,species,
,Chromis agilis,Pycnochromis agilis,species,
,Ostorhinchus cyanosoma,Ostorhinchus cyanosoma,species,
,Pristiapogon fraenatus,Pristiapogon fraenatus,species,
,Ostorhinchus fleurieu,Ostorhinchus fleurieu,species,
,Acanthurus pyroferus,Acanthurus pyroferus,species,
,Amblygobius rainfordi,Koumansetta rainfordi,species,
,Canthigaster papua ?,Canthigaster papua,species,"marked ""?"""
,Centropyge vrolikii,Centropyge vrolikii,species,
,Chaetodon lunulatus,Chaetodon lunulatus,species,
,Chaetodontidae,Chaetodontidae,family,
,Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,species,
,Chromis margaritifer,Pycnochromis margaritifer,species,
,Coris dorsomacula,Coris dorsomacula,species,
,Coris gaimard,Coris gaimard,species,
,Coris variegata,Coris variegata,species,
,Cosmocampus banneri,Cosmocampus banneri,species,
,Ctenochaetus strigosus,Ctenochaetus strigosus,species,
,Diademichthys lineatus,Diademichthys lineatus,species,
,Eviota melasma Lachner & Karnella,Eviota melasma,species,
,Foa hyalina,Foa hyalina,species,
,Gnathodentex aureolineatus,Gnathodentex aureolineatus,species,
,Halichoeres prosopeion,Halichoeres prosopeion,species,
,Liopropoma susumi,Liopropoma susumi,species,
,Ostracion cubicus,Ostracion cubicum,species,
,Oxycheilinus,Oxycheilinus,genus,
,Parioglossus nudus Rennis & Hoese,Parioglossus nudus,species,
,Plectroglyphidodon lacrymatus,Stegastes lacrymatus,species,
,Pseudoplesiops annae,Pseudoplesiops annae,species,
,Scorpaenopsis fowleri,Sebastapistes fowleri,species,
,Synodus binotatus Schultz,Synodus binotatus,species,
,Thalassoma lunare,Thalassoma lunare,species,
,Trimma taylori Lobel,Trimma taylori,species,
,Wetmorella nigropinnata,Wetmorella nigropinnata,species,
,Amblygobius hectori,Koumansetta hectori,species,
,Amphiprion clarkii,Amphiprion clarkii,species,
,Apogon erythrinus,Apogon erythrinus,species,
,Bodianus mesothorax,Bodianus mesothorax,species,
,Chaetodon kleinii,Chaetodon kleinii,species,
,Chaetodon punctatofasciatus,Chaetodon punctatofasciatus,species,
,Cheilodipterus,Cheilodipterus,genus,
,Chromis xanthura,Chromis xanthura,species,
,Neamia octospina,Neamia octospina,species,
,Paracirrhites forsteri,Paracirrhites forsteri,species,
,Parupeneus multifasciatus,Parupeneus multifasciatus,species,
,Pervagor melanocephalus,Pervagor melanocephalus,species,
,Scorpaenodes minor,Scorpaenodes minor,species,
,Wetmorella albofasciata,Wetmorella albofasciata,species,
,Apogon unicolor,Apogon unicolor,species,
,Balistapus undulatus,Balistapus undulatus,species,
,Centropyge bispinosa,Centropyge bispinosa,species,
,Cheilodipterus macrodon,Cheilodipterus macrodon,species,
,Meiacanthus grammistes,Meiacanthus grammistes,species,
,Oxycheilinus digramma,Oxycheilinus digramma,species,
,Pleurosicya mossambica,Pleurosicya mossambica,species,
,Pomacentrus lepidogenys,Pomacentrus lepidogenys,species,
,Dinematichthys iluocoeteoides,Dinematichthys iluocoeteoides,species,
,Meiacanthus atrodorsalis,Meiacanthus atrodorsalis,species,
,Cephalopholis microprion,Cephalopholis microprion,species,
,Eviota pellucida Larson,Eviota pellucida,species,
,Fowleria vaiulae,Fowleria vaiulae,species,
,Sargocentron tiereoides,Sargocentron tiereoides,species,
,Chaetodon triangulum,Chaetodon triangulum,species,
,Fowleria aurita,Fowleria aurita,species,
,Nectamia viria Fraser,Nectamia viria,species,
,Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,species,
,Myripristis kuntee,Myripristis kuntee,species,
,Ctenochaetus binotatus,Ctenochaetus binotatus,species,
,Chromis atripes,Pycnochromis atripes,species,
,Apogon aroubiensis,Ostorhinchus aroubiensis,species,
,Apogonichthyoides melas,Apogonichthyoides melas,species,
,Atherion elymus,Atherion elymus,species,
,Bathygobius,Bathygobius,genus,
,Blenniella interrupta,Blenniella interrupta,species,
,Callogobius flavobrunneus,Callogobius flavobrunneus,species,
,Chrysiptera glauca,Chrysiptera glauca,species,
,Gobiopsis bravoi,Gobiopsis bravoi,species,
,Halichoeres argus,Halichoeres argus,species,
,Omobranchus rotundiceps,Omobranchus rotundiceps,species,
,Pomacentrus tripunctatus,Pomacentrus tripunctatus,species,
,Praealticus bilineatus,Praealticus bilineatus,species,
,Priolepis cinctus,Priolepis cincta,species,
,Priolepis semidoliata,Priolepis semidoliata,species,
,Thalassoma hardwicke,Thalassoma hardwicke,species,
,Abudefduf sexfasciatus,Abudefduf sexfasciatus,species,
,Bathygobius crassiceps,Bathygobius cyclopterus,species,Synonym
,Bhanotia fasciolata,Bhanotia fasciolata,species,
,Callogobius hasseltii,Callogobius hasseltii,species,
,Gnatholepis,Gnatholepis,genus,
,Gobiopsis malekulae,Gobiopsis malekulae,species,
,Bathygobius coalitus,Bathygobius coalitus,species,
,Grammistes sexlineatus,Grammistes sexlineatus,species,
,Plesiops coeruleolineatus,Plesiops coeruleolineatus,species,
,Blenniella bilitonensis,Blenniella bilitonensis,species,
,Litobranchus,Litobranchus,genus,
,Oxyurichthys,Oxyurichthys,genus,
,Sebastapistes strongia,Sebastapistes strongia,species,
,Chaetodon vagabundus,Chaetodon vagabundus,species,
,Chrysiptera leucopoma,Chrysiptera leucopoma,species,
,Parenchelyurus hepburni,Parenchelyurus hepburni,species,
,Parioglossus formosus,Parioglossus formosus,species,
,Chrysiptera biocellata,Chrysiptera biocellata,species,
,Entomacrodus caudofasciatus,Entomacrodus caudofasciatus,species,
,Asterropteryx semipunctata,Asterropteryx semipunctata,species,
,Callionymus enneactis,Callionymus enneactis,species,
,Callogobius okinawae,Callogobius okinawae,species,
,Scolopsis bilineata,Scolopsis bilineata,species,
,Abudefduf lorenzi Hensley & Allen,Abudefduf lorenzi,species,
,Callogobius,Callogobius,genus,
,Abudefduf septemfasciatus,Abudefduf septemfasciatus,species,
,Fowleria polystigma,Fowleria polystigma,species,
,Enneapterygius punctulatus Herre,Enneapterygius philippinus,species,Synonym
,Istiblennius edentulus,Istiblennius edentulus,species,
,Scorpaenodes guamensis,Scorpaenodes guamensis,species,
,Cryptocentrus caeruleomaculatus,Cryptocentrus caeruleomaculatus,species,
,Tripterygiidae,Tripterygiidae,family,
,Acanthurus triostegus,Acanthurus triostegus,species,
,Istigobius ornatus,Istigobius ornatus,species,
,Ungusurculus philippinensis Schwarzhans & Moller,Ungusurculus philippinensis,species,
,Nectamia,Nectamia,genus,
,Apogonichthyoides timorensis,Apogonichthyoides timorensis,species,
,Dendrochirus brachypterus,Dendrochirus brachypterus,species,
,Eleutherochir,Eleutherochir,genus,
,Hippocampus kuda,Hippocampus kuda,species,
,Mullidae,Mullidae,family,
,Pristicon trimaculatus,Pristicon trimaculatus,species,
,Acentronura,Acentronura,genus,
,Atherinomorus lacunosus,Atherinomorus lacunosus,species,
,Cociella punctata,Cociella punctata,species,
,Cryptocentrus nigrocellatus,Cryptocentrus nigrocellatus,species,
,Dischistodus fasciatus,Dischistodus fasciatus,species,
,Fibramia lateralis,Fibramia lateralis,species,
,Gobiidae,Gobiidae,family,
,Hippichthys cyanospilus,Hippichthys cyanospilos,species,
,Hippichthys spicifer,Hippichthys spicifer,species,
,Lethrinus,Lethrinus,genus,
,Micrognathus andersonii,Micrognathus andersonii,species,
,Plotosus lineatus,Plotosus lineatus,species,
,Rhabdamia,Rhabdamia,genus,
,Arothron hispidus,Arothron hispidus,species,
,Cryptocentrus maudae,Cryptocentrus maudae,species,
,Lutjanus johnii,Lutjanus johnii,species,
,Micrognathus micronotopterus,Micrognathus micronotopterus,species,
,Syngnathoides biaculeatus,Syngnathoides biaculeatus,species,
,Fowleria isostigma,Fowleria isostigma,species,
,Arothron reticularis,Arothron reticularis,species,
,Bathygobius cyclopterus,Bathygobius cyclopterus,species,
,Zenarchopterus,Zenarchopterus,genus,
,Palutrus,Palutrus,genus,
,Sphaeramia orbicularis,Sphaeramia orbicularis,species,
,Anyperodon leucogrammicus,Anyperodon leucogrammicus,species,
,Aspidontus taeniatus,Aspidontus taeniatus,species,
,Aulostomus chinensis,Aulostomus chinensis,species,
,Callogobius clitellus McKinney & Lachner,Callogobius clitellus,species,
,Cantherhines pardalis,Cantherhines pardalis,species,
,Canthigaster valentini,Canthigaster valentini,species,
,Corythoichthys schultzi,Corythoichthys schultzi,species,
,Fowleria,Fowleria,genus,
,Halichoeres melanurus,Halichoeres melanurus,species,
,Labridae,Labridae,family,
,Minyichthys myersi,Minyichthys myersi,species,
,Myripristis hexagona,Myripristis hexagona,species,
,Paragobiodon xanthosomus,Paragobiodon xanthosoma,species,
,Parapercis cylindrica,Parapercis cylindrica,species,
,Platycephalidae,Platycephalidae,family,
,Pomacentrus burroughi,Pomacentrus burroughi,species,
,Rudarius minutus Tyler,Rudarius minutus,species,
,Sufflamen chrysopterum,Sufflamen chrysopterum,species,
,Synodus,Synodus,genus,
,Trimma agrena,Trimma agrena,species,
,Cephalopholis cyanostigma,Cephalopholis cyanostigma,species,
,Chromis analis,Chromis analis,species,
,Chromis weberi Fowler & Bean,Chromis weberi,species,
,Cirripectes filamentosus,Cirripectes filamentosus,species,
,Eviota sebreei,Eviota sebreei,species,
,Fowleria flammea,Fowleria flammea,species,
,Gobiodon,Gobiodon,genus,
,Ostorhinchus compressus,Ostorhinchus compressus,species,
,Pseudochromis fuscus,Pseudochromis fuscus,species,
,Amblygobius,Amblygobius,genus,
,Amphiprion sandaracinos,Amphiprion sandaracinos,species,
,Labrichthys unilineatus,Labrichthys unilineatus,species,
,Oxycheilinus celebicus,Oxycheilinus celebicus,species,
,Cheilinus,Cheilinus,genus,
,Cheilodipterus truncatus,Cheilodipterus singapurensis,species,Synonym
,Trimma striata,Trimma capostriatum,species,
,Cephalopholis boenak,Cephalopholis boenak,species,
,Fusigobius signipinnis Hoese & Obika,Fusigobius signipinnis,species,
,Ostorhinchus nigrofasciatus,Ostorhinchus nigrofasciatus,species,
,Chrysiptera talboti,Chrysiptera talboti,species,
,Pomacentrus brachialis,Pomacentrus brachialis,species,
,Chrysiptera springeri,Chrysiptera springeri,species,
,Amphiprion frenatus,Amphiprion frenatus,species,
,Atherinomorus,Atherinomorus,genus,
,Caesio,Caesio,genus,
,Centriscidae,Centriscidae,family,
,Chaetodon,Chaetodon,genus,
,Chaetodon auriga,Chaetodon auriga,species,
,Chaetodon unimaculatus,Chaetodon unimaculatus,species,
,Ctenogobiops,Ctenogobiops,genus,
,Ctenogobiops crocineus,Ctenogobiops crocineus,species,
,Dascyllus aruanus,Dascyllus aruanus,species,
,Epibulus insidiator,Epibulus insidiator,species,
,Fusigobius,Fusigobius,genus,
,Helcogramma springeri Hansen,Helcogramma springeri,species,
,Labracinus cyclophthalmus,Labracinus cyclophthalmus,species,
,Laiphognathus multimaculatus,Laiphognathus multimaculatus,species,
,Parascorpaena aurita,Parascorpaena aurita,species,
,Pleurosicya micheli,Pleurosicya micheli,species,
,Pomacentrus adelus Allen,Pomacentrus adelus,species,
,Pseudupeneus barberinus,Parupeneus barberinus,species,
,Ptereleotris microlepis,Ptereleotris microlepis,species,
,Salarias obscurus Bath,Salarias obscurus,species,
,Scolopsis lineata,Scolopsis lineata,species,
,Stethojulis interrupta,Stethojulis interrupta,species,
,Ucla xenogrammus Holleman,Ucla xenogrammus,species,
,Valenciennea,Valenciennea,genus,
,Amblygobius nocturnus,Amblygobius nocturnus,species,
,Callogobius maculipinnis,Callogobius maculipinnis,species,
,Canthigaster compressa,Canthigaster compressa,species,
,Chelmon rostratus,Chelmon rostratus,species,
,Diodon holocanthus,Diodon holocanthus,species,
,Eviota storthynx,Eviota storthynx,species,
,Favonigobius,Favonigobius,genus,
,Gobiopsis aporia Lachner & McKinney,Gobiopsis liolepis,species,Synonym
,Nectamia savayensis,Nectamia savayensis,species,
,Sphaeramia nematoptera,Sphaeramia nematoptera,species,
,Congrogadus hierichthys,Congrogadus hierichthys,species,
,Congrogadus subducens,Congrogadus subducens,species,
,Coryphopterus,Coryphopterus,genus,
,Neoglyphidodon melas,Neoglyphidodon melas,species,
,Pleurosicya muscarum,Pleurosicya muscarum,species,
,Pomacentrus simsiang,Pomacentrus simsiang,species,
,Pseudamia,Pseudamia,genus,
,Synodus dermatogenys,Synodus dermatogenys,species,
,Scorpaenopsis ramaraoi Randall & Eschmeyer,Scorpaenopsis ramaraoi,species,
,Upeneus tragula,Upeneus tragula,species,
,Valenciennea sexguttata,Valenciennea sexguttata,species,
,Eviota korechika,Eviota korechika,species,
,Hemiglyphidodon plagiometopon,Hemiglyphidodon plagiometopon,species,
,Paraplotosus albilabris,Paraplotosus albilabris,species,
,Scolopsis margaritifera,Scolopsis margaritifera,species,
,Valenciennea muralis,Valenciennea muralis,species,
,Dischistodus perspicillatus,Dischistodus perspicillatus,species,
,Paragobiodon,Paragobiodon,genus,
,Stethojulis strigiventer,Stethojulis strigiventer,species,
,Pseudochromis fowleri,Pseudochromis fowleri,species,
,Lepadichthys bolini,Flabellicauda bolini,species,
,Ostorhinchus multilineatus,Ostorhinchus multilineatus,species,
,Amblyglyphidodon,Amblyglyphidodon,genus,
,Apogonichthyoides uninotatus,Apogonichthyoides uninotatus,species,
,Meiacanthus geminatus,Meiacanthus geminatus,species,
,Eviota queenslandica,Eviota queenslandica,species,
,Asterropteryx ensifera,Asterropteryx ensifera,species,
,Zoramia leptacantha,Zoramia leptacanthus,species,
,Amblygobius phalaena,Amblygobius phalaena,species,
,Salarias sinuosus Snyder,Salarias sinuosus,species,
,Macrodontogobius wilburi,Macrodontogobius wilburi,species,
,Dischistodus prosopotaenia,Dischistodus prosopotaenia,species,
,Ostorhinchus sealei,Ostorhinchus sealei,species,
,Altrichthys curatus Allen,Altrichthys curatus,species,
,Zoramia fragilis,Zoramia fragilis,species,
,Asterorhombus fijiensis,Asterorhombus cocosensis,species,Synonym
,Alionematichthys riukiuensis,Alionematichthys riukiuensis,species,
,Alticus montanoi,Alticus montanoi,species,
,Arothron nigropunctatus,Arothron nigropunctatus,species,
,Aspasmodes briggsi,Aspasmodes briggsi,species,
,Canthigaster janthinoptera,Canthigaster janthinoptera,species,
,Cephalopholis argus,Cephalopholis argus,species,
,Doryrhamphus excisus excisus,Doryrhamphus excisus,species,
,Ecsenius monoculus Springer,Ecsenius monoculus,species,
,Enneapterygius,Enneapterygius,genus,
,Enneapterygius fuscoventer Fricke,Enneapterygius fuscoventer,species,
,Enneapterygius nanus,Enneapterygius nanus,species,
,Enneapterygius pallidoserialis Fricke,Enneapterygius pallidoserialis,species,
,Enneapterygius tutuilae Jordan & Seale,Enneapterygius tutuilae,species,
,Eviota albolineata Jewett & Lachner,Eviota albolineata,species,
,Eviota irrasa Karnella & Lachner,Eviota irrasa,species,
,Eviota nebulosa Smith,Eviota nebulosa,species,
,Gobiopsis arenaria,Gobiopsis arenaria,species,
,Halicampus brocki,Halicampus brocki,species,
,Helcogramma fuscipectoris,Helcogramma fuscipectoris,species,
,Helcogramma rhinoceros Hansen,Helcogramma rhinoceros,species,
,Lutjanus lemniscatus,Lutjanus lemniscatus,species,
,Norfolkia brachylepis,Norfolkia brachylepis,species,
,Pherallodus indicus,Pherallodus indicus,species,
,Plectorhinchus vittatus,Plectorhinchus vittatus,species,
,Plectroglyphidodon leucozonus,Plectroglyphidodon leucozona,species,
,Pomacanthus semicirculatus,Pomacanthus semicirculatus,species,
,Pomacentrus chrysurus,Pomacentrus chrysurus,species,
,Taeniamia fucata,Taeniamia fucata,species,
,Thalassoma quinquevittatum,Thalassoma quinquevittatum,species,
,Alionematichthys suluensis Moller & Schwarzhans,Alionematichthys suluensis,species,
,Halichoeres marginatus,Halichoeres marginatus,species,
,Helcogramma ellioti,Helcogramma ellioti,species,
,Helcogramma fuscopinna Holleman,Helcogramma fuscopinna,species,
,Ostorhinchus taeniophorus,Ostorhinchus taeniophorus,species,
,Plectroglyphidodon dickii,Plectroglyphidodon dickii,species,
,Pleurosicya coerulea Larson,Pleurosicya coerulea,species,
,Pseudochromis tapeinosoma,Pseudochromis tapeinosoma,species,
,Stegastes fasciolatus,Plectroglyphidodon fasciolatus,species,Synonym
,Acanthurus lineatus,Acanthurus lineatus,species,
,Barbuligobius boehlkei Lachner & McKinney,Barbuligobius boehlkei,species,
,Dentatherina merceri Patten & Ivantsoff,Dentatherina merceri,species,
,Hyporhamphus dussumieri,Hyporhamphus dussumieri,species,
,Limnichthyidae,Creediidae,family,
,Enneapterygius rhabdotus,Enneapterygius rhabdotus,species,
,Entomacrodus striatus,Entomacrodus striatus,species,
,Trimma naudei,Trimma naudei,species,
,Diplogrammus,Diplogrammus,genus,
,Nannosalarias nativitatis,Nannosalarias nativitatis,species,
,Alionematichthys piger,Alionematichthys piger,species,
,Chrysiptera rex,Chrysiptera rex,species,
,Pseudochromis cyanotaenia,Pseudochromis cyanotaenia,species,
,Enneapterygius bahasa Fricke,Enneapterygius bahasa,species,
,Entomacrodus thalassinus thalassinus,Entomacrodus thalassinus,species,
,Atherion,Atherion,genus,
,Istigobius decoratus (Herre),Istigobius decoratus,species,
,Andamia reyi,Andamia reyi,species,
,Praealticus striatus Bath,Praealticus striatus,species,
,Entomacrodus decussatus,Entomacrodus decussatus,species,
,Andamia pacifica,Andamia pacifica,species,
,Helcogramma desa Williams & Howe,Helcogramma desa,species,
,Acanthurus,Acanthurus,genus,
,Acentrogobius suluensis,Acentrogobius suluensis,species,
,Amblygobius linki,Amblygobius linki,species,
,Arothron manilensis,Arothron manilensis,species,
,Toxotidae,Toxotidae,family,
,Drombus,Drombus,genus,
,Yongeichthys nebulosus,Yongeichthys nebulosus,species,
,Sillago macrolepis,Sillaginops macrolepis,species,
,Gerres punctatus,Gerres filamentosus,species,Synonym
,Cryptocentroides insignis,Cryptocentroides insignis,species,
,Zenarchopterus dispar,Zenarchopterus dispar,species,
,Gnatholepis davaoensis,Gnatholepis ophthalmotaenia,species,Synonym
,Synchiropus ocellatus,Synchiropus ocellatus,species,
,Alionematichthys,Alionematichthys,genus,
,Amblyglyphidodon aureus,Amblyglyphidodon aureus,species,
,Atrosalarias fuscus,Atrosalarias fuscus,species,
,Canthigaster papua,Canthigaster papua,species,
,Chaetodon octofasciatus,Chaetodon octofasciatus,species,
,Diancistrus,Diancistrus,genus,
,Diancistrus machidai,Diancistrus machidai,species,
,Ecsenius bimaculatus Springer,Ecsenius bimaculatus,species,
,Ecsenius kurti Springer,Ecsenius kurti,species,
,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,species,
,Eviota bifasciata Lachner & Karnella,Eviota bifasciata,species,
,Eviota infulata,Eviota infulata,species,
,Eviota prasina,Eviota prasina,species,
,Eviota spilota Lachner & Karnella,Eviota spilota,species,
,Gomphosus varius,Gomphosus varius,species,
,Halicampus nitidus,Halicampus nitidus,species,
,Myripristis violacea,Myripristis violacea,species,
,Pervagor janthinosoma,Pervagor janthinosoma,species,
,Plesiops cephalotaenia,Plesiops cephalotaenia,species,
,Plesiops oxycephalus,Plesiops oxycephalus,species,
,Pomacentrus philippinus,Pomacentrus philippinus,species,
,Pseudoplesiops rosae Schultz,Pseudoplesiops rosae,species,
,Sargocentron diadema,Sargocentron diadema,species,
,Scorpaenodes albaiensis,Scorpaenodes albaiensis,species,
,Scorpaenopsis papuensis,Scorpaenopsis papuensis,species,
,Siganus vulpinus,Siganus vulpinus,species,
,Trimma annosum,Trimma annosum,species,
,Trimma maiandros,Trimma maiandros,species,
,Diancistrus erythraeus,Diancistrus erythraeus,species,
,Diproctacanthus xanthurus,Diproctacanthus xanthurus,species,
,Eviota distigma Jordan & Seale,Eviota distigma,species,
,Hetereleotris,Hetereleotris,genus,
,Nectamia luxuria Fraser,Nectamia luxuria,species,
,Neoglyphidodon nigroris,Neoglyphidodon nigroris,species,
,Sargocentron cornutum,Sargocentron cornutum,species,
,Cheilinus oxycephalus,Cheilinus oxycephalus,species,
,Dischistodus melanotus,Dischistodus melanotus,species,
,Halichoeres kallochroma,Halichoeres kallochroma,species,
,Bathygobius ramosus curticeps Ginsburg,Bathygobius fuscus,species,Likely Bathygobius fuscus. Ask Kent which is the most likely Bathygobius sp to be confused with B. ramosus. 7 Bathygobius spp in Allen & Erdmann. Doesn't occur in the Philippines. 
,Pseudamia hayashii Randall et al.,Pseudamia hayashii,species,
,Pseudochromis bitaeniatus,Pseudochromis bitaeniatus,species,
,Acanthochromis polyacanthus,Acanthochromis polyacanthus,species,
,Halichoeres melanochir,Halichoeres melanochir,species,
,Plesiops verecundus Mooi,Plesiops verecundus,species,
,Pseudogramma polyacanthum,Pseudogramma polyacanthus,species,
,Pseudoplesiops typus,Pseudoplesiops typus,species,
,Halichoeres nigrescens,Halichoeres nigrescens,species,
,Pteragogus cryptus Randall,Pteragogus cryptus,species,
,Callogobius sclateri,Callogobius sclateri,species,
,Diancistrus fuscus,Diancistrus fuscus,species,
,Aioliops megastigma Rennis & Hoese,Aioliops megastigma,species,
,Chrysiptera parasema,Chrysiptera parasema,species,
,Pomacentrus moluccensis,Pomacentrus moluccensis,species,
,Hypoatherina barnesi,Hypoatherina barnesi,species,
,Cirrhilabrus solorensis,Cirrhilabrus solorensis,species,
,Pristicon rhodopterus,Pristicon rhodopterus,species,
,Amblyeleotris guttata,Amblyeleotris guttata,species,
,Amblyeleotris steinitzi,Amblyeleotris steinitzi,species,
,Amblyeleotris wheeleri,Amblyeleotris wheeleri,species,
,Amphiprion perideraion,Amphiprion perideraion,species,
,Bryaninops loki Larson,Bryaninops loki,species,
,Cabillus,Cabillus,genus,
,Chaetodontoplus mesoleucus,Chaetodontoplus mesoleucus,species,
,Ecsenius namiyei,Ecsenius namiyei,species,
,Epinephelus fasciatus,Epinephelus fasciatus,species,
,Halichoeres margaritaceus,Halichoeres margaritaceus,species,
