family,original_id,verified_identification,lowest_tax_cat,notes
,Arothron,Arothron,genus,
,Aurigequula fasciata,Aurigequula fasciata,species,
,Callogobius producta,Callogobius producta,species,
,Eleotris,Eleotris,genus,
,Glossogobius biocellatus,Psammogobius biocellatus,species,
,Lophogobius bleekeri,Dotsugobius bleekeri,species,
,Lutjanus,Lutjanus,genus,
,Lutjanus argentimaculatus,Lutjanus argentimaculatus,species,
,Lutjanus russelli,Lutjanus russelli,species,
,Microphis retzii,Lophocampus retzii,species,
,Nemipteridae,Nemipteridae,family,
,Neostethus,Neostethus,genus,
,Oligolepis acutipennis,Oligolepis acutipennis,species,
,Oligolepis stomias,Oligolepis stomias,species,
,Plectorhinchus albovittatus,Plectorhinchus albovittatus,species,
,Siganus,Siganus,genus,
,Terapon jarbua,Terapon jarbua,species,
,Yarica hyalosoma,Yarica hyalosoma,species,
,Pseudogobius,Pseudogobius,genus,
,Toxotes jaculatrix,Toxotes jaculatrix,species,
,Exyrias puntang,Exyrias puntang,species,
,Mugilogobius chulae,Mugilogobius chulae,species,
,Soleidae,Soleidae,family,
,Butis butis,Butis butis,species,
,Meiacanthus anema,Meiacanthus anema,species,
,Ophiocara,Ophiocara,genus,
,Periophthalmus argentilineatus,Periophthalmus argentilineatus,species,
,Monodactylus,Monodactylus,species,
,Ambassidae,Ambassidae,family,
,Zenarchopterus dunckeri,Zenarchopterus dunckeri,species,
,Ophiocara porocephala,Ophiocara porocephala,species,
,Bathygobius fuscus fuscus,Bathygobius fuscus,species,
,Istiblennius dussumieri,Istiblennius dussumieri,species,
,Parioglossus raoi,Parioglossus raoi,species,
,Parioglossus taeniatus,Parioglossus taeniatus,species,
,Platax orbicularis,Platax orbicularis,species,
,Pandaka pusilla,Pandaka pusilla,species,
,Amoya,Acentrogobius,genus,Synonym
,Atherinomorus duodecimalis,Doboatherina duodecimalis,species,
,Acentrogobius janthinopterus,Acentrogobius janthinopterus,species,
,Omox biporos Springer,Omox biporos,species,
,Periophthalmus kalolo,Periophthalmus kalolo,species,
,Cryptocentrus,Cryptocentrus,genus,
,Mangarinus,Mangarinus,genus,
,Bostrychus sinensis,Bostrychus sinensis,species,
,Omobranchus rotundiceps obliquus,Omobranchus obliquus,species,
,Mugilogobius mertoni,Mugilogobius mertoni,species,
,Cryptocentroides,Cryptocentroides,genus,
,Calamiana mindora,Eugnathogobius mindora,species,
,Amphiprion,Amphiprion,genus,
,Bathygobius cocosensis,Bathygobius cocosensis,species,
,Blenniella caudolineata,Blenniella caudolineata,species,
,Cheilinus chlorourus,Cheilinus chlorourus,species,
,Corythoichthys haematopterus,Corythoichthys haematopterus,species,
,Halichoeres,Halichoeres,genus,
,Ostorhinchus novemfasciatus,Ostorhinchus novemfasciatus,species,
,Oxycheilinus bimaculatus,Oxycheilinus bimaculatus,species,
,Pomacanthus imperator,Pomacanthus imperator,species,
,Scaridae,Scaridae,family,
,Stethojulis bandanensis,Stethojulis bandanensis,species,
,Stethojulis trilineata,Stethojulis trilineata,species,
,Istiblennius lineatus,Istiblennius lineatus,species,
,Abudefduf vaigiensis,Abudefduf vaigiensis,species,
,Canthigaster bennetti,Canthigaster bennetti,species,
,Trimma halonevum Winterbottom,Trimma halonevum,species,
,Trimma stobbsi Winterbottom,Trimma stobbsi,species,
,Amblyglyphidodon curacao,Amblyglyphidodon curacao,species,
,Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,species,
,Archamia dispilus Lachner,Taeniamia dispilus,species,
,Choeroichthys cinctus Dawson,Choeroichthys cinctus,species,
,Chromis,Chromis,genus,
,Cirrhitichthys falco,Cirrhitichthys falco,species,
,Doryrhamphus janssi,Doryrhamphus janssi,species,
,Dunckerocampus dactyliophorus,Dunckerocampus dactyliophorus,species,
,Eviota,Eviota,genus,
,Grammistops ocellatus,Grammistops ocellatus,species,
,Liopropoma collettei Randall & Taylor,Liopropoma collettei,species,
,Myripristis,Myripristis,genus,
,Paraluteres prionurus,Paraluteres prionurus,species,
,Parapercis,Parapercis,genus,
,Parapercis cephalopunctata,Parapercis millepunctata,species,Synonym
,Parioglossus rainfordi,Parioglossus rainfordi,species,
,Plagiotremus rhinorhynchos,Plagiotremus rhinorhynchos,species,
,Saurida gracilis,Saurida gracilis,species,
,Scorpaenodes,Scorpaenodes,genus,
,Scorpaenopsis venosa,Scorpaenopsis venosa,species,
,Trimma cheni,Trimma cheni,species,
,Abudefduf,Abudefduf,genus,
,Acreichthys radiatus,Acreichthys radiatus,species,
,Amphiprion ocellaris,Amphiprion ocellaris,species,
,Anthiinae,Anthiadinae,subfamily,Homonym
,Bodianus dictynna Gomon,Bodianus dictynna,species,
