SI_78-79_all	*SampleSet*	1	1	1																																																																
1040	68																																																																			
	SP_78-37A	SP_78-22	SP_78-1	SP_78-10	SP_78-11	SP_78-12	SP_78-13	SP_78-15	SP_78-16	SP_78-17	SP_78-18	SP_78-19	SP_78-2	SP_78-20	SP_78-21	SP_78-24	SP_78-25	SP_78-27	SP_78-29	SP_78-3	SP_78-30	SP_78-31	SP_78-32	SP_78-33	SP_78-34	SP_78-36	SP_78-37	SP_78-37B	SP_78-38	SP_78-39	SP_78-4	SP_78-41	SP_78-42	SP_78-43	SP_78-44	SP_78-45	SP_78-46	SP_78-5	SP_78-7	SP_78-9	SP_78-8	JL-1	JL-2	JL-3	JL-4	JL-5	JL-6	JL-7	LK_79-1	LK_79-10	LK_79-11	LK_79-12	LK_79-13	LK_79-15	LK_79-16	LK_79-17	LK_79-18	LK_79-19	LK_79-2	LK_79-20	LK_79-3	LK_79-4	LK_79-5	LK_79-6	LK_79-7	LK_79-8	LK_79-9	LK_79-14
Acreichthys radiatus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Amphiprion ocellaris	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Anthiinae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bodianus dictynna Gomon	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis leopardus	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera rollandi	0	0	0	2	8	0	0	0	8	0	0	0	0	30	50	13	0	24	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	10	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus cyanopleura	0	0	0	2	0	0	0	0	17	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
Ecsenius pictus McKinney & Springer	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	6	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Halichoeres biocellatus Schultz	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labroides dimidiatus	0	0	0	2	2	1	0	0	1	0	1	0	0	1	1	1	6	3	2	0	1	1	0	1	1	1	1	0	1	0	0	1	0	4	3	0	2	0	2	1	0	0	0	2	0	0	0	3	0	0	0	0	5	7	0	0	0	0	1	0	4	1	1	1	8	1	3	0
Scorpaenopsis brevifrons Eschmeyer & Randall	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Serranidae	0	0	0	2	53	0	0	0	31	0	0	0	0	0	0	0	0	0	16	0	153	0	0	0	0	8	0	0	11	2	0	4	1	48	0	2	0	0	0	2	0	0	7	42	65	0	3	9	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	52	0	19	2	0
Synchiropus bartelsi Fricke	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synodus variegatus	0	0	0	2	2	0	0	0	2	0	0	0	0	0	1	0	0	6	0	0	0	0	0	2	0	2	0	0	3	1	3	1	0	1	0	3	0	0	7	3	0	2	1	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	1	0
Trimma benjamini Winterbottom	0	0	0	2	16	0	0	0	18	0	0	0	0	0	0	1	0	0	4	0	12	0	0	1	0	5	0	0	11	6	1	5	0	4	0	0	0	0	5	13	0	1	6	0	7	0	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0
Dascyllus reticulatus	0	0	0	3	17	0	0	0	3	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	18	0	13	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	15	0	0	0	0	0	0	0	92	12	0	6	30	0
Dascyllus trimaculatus	0	0	0	3	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	6	13	0	1	0	0	0	0	0	0	2	3	13	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	4	2	0
Samariscus	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	3	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnatholepis cauerensis	0	0	0	5	15	0	0	0	11	0	0	0	0	0	0	23	0	1	0	0	0	0	0	1	0	19	0	0	13	3	17	5	0	2	0	5	7	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus	0	0	0	6	11	0	0	0	0	0	0	0	0	0	120	62	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma okinawae	0	0	0	6	0	0	0	0	0	0	0	8	0	1	0	4	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pristiapogon kallopterus	0	0	0	8	14	0	0	0	0	0	0	0	0	3	0	0	6	2	0	0	10	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	10	18	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	12	1	0	6	0	0	0	0
Meiacanthus ditrema	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudocheilinus evanidus	0	0	0	10	28	0	0	1	7	0	0	0	0	0	0	0	0	5	7	0	18	0	0	10	0	0	0	0	6	8	0	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma macrophthalmus	0	0	0	11	7	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	2	0	0	1	0	20	3	0	1	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	9	3	0
Chromis ternatensis	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	130	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	6	0	0	8	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	3	0	4	0	6	22	0
Ostorhinchus aroubiensis	0	0	0	16	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	10	0	0	3	0	0	0	0	19	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis agilis	0	0	0	35	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus cyanosoma	0	0	0	35	0	0	0	0	14	0	0	0	0	7	8	50	26	8	0	0	0	0	0	0	8	0	1	0	31	0	13	0	0	1	0	0	90	10	30	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	3	0
Pristiapogon fraenatus	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Ostorhinchus fleurieu	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	75	120	0
Acanthurus pyroferus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Amblygobius rainfordi	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster papua ?	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centropyge vrolikii	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	1	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Chaetodon lunulatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
Chaetodontidae	0	0	0	0	1	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus quinquelineatus	0	0	0	0	1	0	0	0	0	4	3	0	0	0	0	3	0	19	0	0	0	1	0	4	0	2	0	0	6	7	2	0	0	0	0	16	8	7	2	3	0	10	2	15	4	0	3	0	0	0	0	0	1	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis margaritifer	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	4	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	3	0
Coris dorsomacula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coris gaimard	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coris variegata	0	0	0	0	1	0	0	0	1	0	1	0	0	5	21	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cosmocampus banneri	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenochaetus strigosus	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diademichthys lineatus	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota melasma Lachner & Karnella	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Foa hyalina	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnathodentex aureolineatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres prosopeion	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liopropoma susumi	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostracion cubicus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxycheilinus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parioglossus nudus Rennis & Hoese	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plectroglyphidodon lacrymatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	34	0	3	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
Pseudoplesiops annae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaenopsis fowleri	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Synodus binotatus Schultz	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassoma lunare	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	9	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma taylori Lobel	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	1	0	0	0	0	94	3	0	0	0	23	0	7	0	0	0	1	0	2	1	20	18	0	0	1	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0
Wetmorella nigropinnata	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius hectori	0	0	0	0	2	0	0	0	11	2	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion clarkii	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	3	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	5	0
Apogon erythrinus	0	0	0	0	2	0	0	0	0	3	5	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	2	0	4	0	4	0	0	0	0	0	13	9	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bodianus mesothorax	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon kleinii	0	0	0	0	2	0	0	0	0	0	1	0	0	0	4	4	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
Chaetodon punctatofasciatus	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cheilodipterus	0	0	0	0	2	0	0	0	89	4	0	0	0	0	4	0	1	0	0	0	5	0	0	1	1	1	0	0	4	0	0	0	0	0	0	21	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0
Chromis xanthura	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neamia octospina	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	7	1	7	0	0	0	0	0	0
Paracirrhites forsteri	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Parupeneus multifasciatus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	13	0	0	1	0	0
Pervagor melanocephalus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaenodes minor	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wetmorella albofasciata	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
Apogon unicolor	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Balistapus undulatus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
Centropyge bispinosa	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Cheilodipterus macrodon	0	0	0	0	3	0	0	0	0	0	3	0	0	2	0	0	15	0	0	0	1	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0
Meiacanthus grammistes	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	20	4	1	0	0	0	0	0	0	0	1	0	1	0	0	1	4	0	0	0	0	1	0	0	0	1	0	2	0	0	0
Oxycheilinus digramma	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	1	8	3	0	0	0	0	1	0	1	0	0	9	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Pleurosicya mossambica	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Pomacentrus lepidogenys	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dinematichthys iluocoeteoides	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0
Meiacanthus atrodorsalis	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	4	2	0
Cephalopholis microprion	0	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	1	2	8	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	23	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0
Eviota pellucida Larson	0	0	0	0	5	0	0	0	17	0	0	0	0	0	4	1	0	6	2	0	32	0	0	2	0	3	0	0	20	8	2	2	0	9	0	0	0	0	13	5	0	0	1	13	0	0	0	36	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0
Fowleria vaiulae	0	0	0	0	5	6	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	2	0	0	2	0	2	3	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	1	1	5	3	0	4	2	3	0	0
Sargocentron tiereoides	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chaetodon triangulum	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria aurita	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	3	2	7	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0
Nectamia viria Fraser	0	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	250	0	0	0	0	0	0	0	0	0	0	100	0	3	0
