EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://viceroy.eeb.uconn.edu/estimates
Shared Species and Similarity Statistics Output from Input File:  SI_78-79_all  (June 7, 2022)

First Sample	Second Sample	Sobs First Sample	Sobs Second Sample	Shared Species Observed	ACE First Sample	ACE Second Sample	Chao Shared Esimated	Jaccard Classic	Sorensen Classic	Chao-Jaccard-Raw Abundance-based	Chao-Jaccard-Est Abundance-based	Chao-Jaccard-EstSD Abundance-based	Chao-Sorensen-Raw Abundance-based	Chao-Sorensen-Est Abundance-based	Chao-Sorensen-EstSD Abundance-based	Morisita-Horn	Bray-Curtis	
2	14	20	109	0	24.988	153.643	0	0	0	0	0	0	0	0	0	0	0	
2	15	20	110	0	24.988	141.015	0	0	0	0	0	0	0	0	0	0	0	
2	16	20	90	0	24.988	131.242	0	0	0	0	0	0	0	0	0	0	0	
2	17	20	135	0	24.988	181.409	0	0	0	0	0	0	0	0	0	0	0	
2	18	20	89	0	24.988	158.259	0	0	0	0	0	0	0	0	0	0	0	
2	19	20	35	0	24.988	47.365	0	0	0	0	0	0	0	0	0	0	0	
2	20	20	32	5	24.988	46.447	10	0.106	0.192	0.041	0.063	0	0.079	0.118	0	0.01	0.034	
2	21	20	63	0	24.988	101.699	0	0	0	0	0	0	0	0	0	0	0	
2	22	20	20	0	24.988	52.777	0	0	0	0	0	0	0	0	0	0	0	
2	23	20	31	1	24.988	37.888	0	0.02	0.039	0.034	0.034	0	0.066	0.066	0	0.029	0.03	
2	24	20	40	0	24.988	94.303	0	0	0	0	0	0	0	0	0	0	0	
2	25	20	38	0	24.988	59.387	0	0	0	0	0	0	0	0	0	0	0	
2	26	20	52	0	24.988	86.118	0	0	0	0	0	0	0	0	0	0	0	
2	27	20	30	0	24.988	41.933	0	0	0	0	0	0	0	0	0	0	0	
2	28	20	15	2	24.988	18.084	2	0.061	0.114	0.067	0.067	0	0.126	0.126	0	0.112	0.062	
2	29	20	134	0	24.988	224.279	0	0	0	0	0	0	0	0	0	0	0	
2	30	20	41	0	24.988	71.504	0	0	0	0	0	0	0	0	0	0	0	
2	31	20	72	0	24.988	106.388	0	0	0	0	0	0	0	0	0	0	0	
2	32	20	66	0	24.988	126.645	0	0	0	0	0	0	0	0	0	0	0	
2	33	20	5	0	24.988	7.222	0	0	0	0	0	0	0	0	0	0	0	
2	34	20	67	0	24.988	90.773	0	0	0	0	0	0	0	0	0	0	0	
2	35	20	62	1	24.988	89.968	1	0.012	0.024	0.003	0.003	0	0.005	0.006	0	0	0.003	
2	36	20	74	0	24.988	132.624	0	0	0	0	0	0	0	0	0	0	0	
2	37	20	104	0	24.988	142.454	0	0	0	0	0	0	0	0	0	0	0	
2	38	20	99	0	24.988	127.355	0	0	0	0	0	0	0	0	0	0	0	
2	39	20	94	0	24.988	145.55	0	0	0	0	0	0	0	0	0	0	0	
2	40	20	73	0	24.988	137.949	0	0	0	0	0	0	0	0	0	0	0	
2	41	20	57	2	24.988	86.164	4	0.027	0.052	0.01	0.011	0	0.02	0.023	0	0.002	0.01	
2	42	20	22	0	24.988	38.656	0	0	0	0	0	0	0	0	0	0	0	
2	43	20	32	0	24.988	37.95	0	0	0	0	0	0	0	0	0	0	0	
2	44	20	37	0	24.988	42.797	0	0	0	0	0	0	0	0	0	0	0	
2	45	20	24	0	24.988	27.841	0	0	0	0	0	0	0	0	0	0	0	
2	46	20	14	1	24.988	17.132	1	0.03	0.059	0.004	0.004	0	0.009	0.009	0	0.004	0.007	
2	47	20	21	0	24.988	23.222	0	0	0	0	0	0	0	0	0	0	0	
2	48	20	66	0	24.988	93.224	0	0	0	0	0	0	0	0	0	0	0	
2	49	20	30	0	24.988	38.428	0	0	0	0	0	0	0	0	0	0	0	
2	50	20	51	0	24.988	98.052	0	0	0	0	0	0	0	0	0	0	0	
2	51	20	38	5	24.988	43.468	5.679	0.094	0.172	0.033	0.034	0	0.063	0.067	0	0.01	0.035	
2	52	20	32	3	24.988	39.695	3	0.061	0.115	0.043	0.043	0	0.082	0.083	0	0.032	0.05	
2	53	20	68	0	24.988	91.56	0	0	0	0	0	0	0	0	0	0	0	
2	54	20	89	0	24.988	111.201	0	0	0	0	0	0	0	0	0	0	0	
2	55	20	54	0	24.988	68.912	0	0	0	0	0	0	0	0	0	0	0	
2	56	20	48	5	24.988	59.289	5	0.079	0.147	0.015	0.016	0	0.03	0.031	0	0.002	0.007	
2	57	20	33	2	24.988	40.799	2	0.039	0.075	0.002	0.002	0	0.004	0.004	0	0.001	0.003	
2	58	20	67	0	24.988	85.193	0	0	0	0	0	0	0	0	0	0	0	
2	59	20	69	0	24.988	91.088	0	0	0	0	0	0	0	0	0	0	0	
2	60	20	57	0	24.988	93.268	0	0	0	0	0	0	0	0	0	0	0	
2	61	20	74	0	24.988	92.37	0	0	0	0	0	0	0	0	0	0	0	
2	62	20	71	0	24.988	101.386	0	0	0	0	0	0	0	0	0	0	0	
2	63	20	82	0	24.988	102.323	0	0	0	0	0	0	0	0	0	0	0	
2	64	20	43	0	24.988	57.305	0	0	0	0	0	0	0	0	0	0	0	
2	65	20	96	0	24.988	115.523	0	0	0	0	0	0	0	0	0	0	0	
2	66	20	48	0	24.988	81.477	0	0	0	0	0	0	0	0	0	0	0	
2	67	20	43	0	24.988	65.205	0	0	0	0	0	0	0	0	0	0	0	
2	68	20	8	3	24.988	8.348	3	0.12	0.214	0.205	0.205	0	0.34	0.34	0	0.362	0.091	
3	4	16	55	0	67.5	83.1	0	0	0	0	0	0	0	0	0	0	0	
3	5	16	92	1	67.5	129.048	1	0.009	0.019	0.005	0.007	0	0.011	0.015	0	0.003	0.004	
3	6	16	67	7	67.5	78.046	20.839	0.092	0.169	0.155	0.315	0	0.269	0.479	0	0.227	0.028	
3	7	16	7	0	67.5	11.667	0	0	0	0	0	0	0	0	0	0	0	
3	8	16	45	3	67.5	59.703	3	0.052	0.098	0.076	0.112	0	0.142	0.201	0	0.041	0.02	
3	9	16	78	3	67.5	117.754	8	0.033	0.064	0.009	0.021	0	0.017	0.041	0	0.004	0.013	
3	10	16	103	4	67.5	128.672	7.069	0.035	0.067	0.028	0.06	0	0.054	0.113	0	0.021	0.013	
3	11	16	100	5	67.5	145.738	20	0.045	0.086	0.005	0.013	0	0.01	0.026	0	0.002	0.005	
3	12	16	23	0	67.5	36.772	0	0	0	0	0	0	0	0	0	0	0	
3	13	16	12	3	67.5	22.526	5	0.12	0.214	0.081	0.151	0	0.15	0.262	0	0.036	0.09	
3	14	16	109	2	67.5	153.643	3.5	0.016	0.032	0.005	0.01	0	0.011	0.02	0	0.003	0.006	
3	15	16	110	3	67.5	141.015	6.75	0.024	0.048	0.011	0.025	0	0.022	0.049	0	0.006	0.008	
3	16	16	90	1	67.5	131.242	0	0.01	0.019	0.014	0.018	0	0.028	0.035	0	0.009	0.003	
3	17	16	135	1	67.5	181.409	1	0.007	0.013	0.006	0.008	0	0.012	0.016	0	0.003	0.001	
3	18	16	89	1	67.5	158.259	1	0.01	0.019	0.013	0.017	0	0.026	0.033	0	0.009	0.004	
3	19	16	35	1	67.5	47.365	1.25	0.02	0.039	0.003	0.005	0	0.007	0.01	0	0.001	0.007	
3	20	16	32	1	67.5	46.447	0	0.021	0.042	0.023	0.026	0	0.045	0.051	0	0.018	0.009	
3	21	16	63	0	67.5	101.699	0	0	0	0	0	0	0	0	0	0	0	
3	22	16	20	1	67.5	52.777	1	0.029	0.056	0.033	0.035	0	0.065	0.067	0	0.086	0.03	
3	23	16	31	2	67.5	37.888	2.222	0.044	0.085	0.007	0.008	0	0.015	0.017	0	0.004	0.015	
3	24	16	40	0	67.5	94.303	0	0	0	0	0	0	0	0	0	0	0	
3	25	16	38	1	67.5	59.387	1.25	0.019	0.037	0.006	0.009	0	0.013	0.019	0	0.003	0.013	
3	26	16	52	1	67.5	86.118	1	0.015	0.029	0.022	0.026	0	0.044	0.05	0	0.023	0.01	
3	27	16	30	3	67.5	41.933	5	0.07	0.13	0.047	0.085	0	0.09	0.157	0	0.037	0.064	
3	28	16	15	0	67.5	18.084	0	0	0	0	0	0	0	0	0	0	0	
3	29	16	134	1	67.5	224.279	1	0.007	0.013	0.003	0.004	0	0.005	0.007	0	0.001	0.002	
3	30	16	41	0	67.5	71.504	0	0	0	0	0	0	0	0	0	0	0	
3	31	16	72	1	67.5	106.388	1.25	0.011	0.023	0.002	0.004	0	0.005	0.007	0	0.001	0.005	
3	32	16	66	0	67.5	126.645	0	0	0	0	0	0	0	0	0	0	0	
3	33	16	5	0	67.5	7.222	0	0	0	0	0	0	0	0	0	0	0	
3	34	16	67	1	67.5	90.773	1.25	0.012	0.024	0.001	0.002	0	0.002	0.004	0	0	0.002	
3	35	16	62	3	67.5	89.968	4.695	0.04	0.077	0.028	0.04	0	0.055	0.077	0	0.018	0.02	
3	36	16	74	0	67.5	132.624	0	0	0	0	0	0	0	0	0	0	0	
3	37	16	104	5	67.5	142.454	8.233	0.043	0.083	0.046	0.102	0	0.088	0.185	0	0.031	0.019	
3	38	16	99	9	67.5	127.355	10	0.085	0.157	0.234	0.759	0	0.379	0.863	0	0.184	0.032	
3	39	16	94	3	67.5	145.55	10	0.028	0.055	0.011	0.027	0	0.022	0.052	0	0.006	0.012	
3	40	16	73	1	67.5	137.949	1	0.011	0.022	0.007	0.01	0	0.014	0.019	0	0.004	0.008	
3	41	16	57	2	67.5	86.164	3.5	0.028	0.055	0.015	0.027	0	0.03	0.053	0	0.008	0.01	
3	42	16	22	0	67.5	38.656	0	0	0	0	0	0	0	0	0	0	0	
3	43	16	32	0	67.5	37.95	0	0	0	0	0	0	0	0	0	0	0	
3	44	16	37	0	67.5	42.797	0	0	0	0	0	0	0	0	0	0	0	
3	45	16	24	0	67.5	27.841	0	0	0	0	0	0	0	0	0	0	0	
3	46	16	14	1	67.5	17.132	1.25	0.034	0.067	0.013	0.019	0	0.026	0.038	0	0.007	0.026	
3	47	16	21	0	67.5	23.222	0	0	0	0	0	0	0	0	0	0	0	
3	48	16	66	0	67.5	93.224	0	0	0	0	0	0	0	0	0	0	0	
3	49	16	30	1	67.5	38.428	1	0.022	0.043	0.024	0.024	0	0.046	0.046	0	0.036	0.036	
3	50	16	51	2	67.5	98.052	2	0.031	0.06	0.053	0.063	0	0.1	0.119	0	0.064	0.018	
3	51	16	38	0	67.5	43.468	0	0	0	0	0	0	0	0	0	0	0	
3	52	16	32	0	67.5	39.695	0	0	0	0	0	0	0	0	0	0	0	
3	53	16	68	0	67.5	91.56	0	0	0	0	0	0	0	0	0	0	0	
3	54	16	89	5	67.5	111.201	8.333	0.05	0.095	0.071	0.149	0	0.133	0.259	0	0.036	0.011	
3	55	16	54	0	67.5	68.912	0	0	0	0	0	0	0	0	0	0	0	
3	56	16	48	1	67.5	59.289	1.25	0.016	0.031	0	0	0	0.001	0.001	0	0	0.001	
3	57	16	33	0	67.5	40.799	0	0	0	0	0	0	0	0	0	0	0	
3	58	16	67	2	67.5	85.193	2	0.025	0.048	0.08	0.096	0	0.148	0.176	0	0.067	0.009	
3	59	16	69	4	67.5	91.088	6	0.049	0.094	0.065	0.117	0	0.121	0.21	0	0.041	0.015	
3	60	16	57	1	67.5	93.268	1	0.014	0.027	0.01	0.01	0	0.02	0.02	0	0.007	0.008	
3	61	16	74	2	67.5	92.37	2	0.023	0.044	0.03	0.044	0	0.059	0.084	0	0.022	0.006	
3	62	16	71	0	67.5	101.386	0	0	0	0	0	0	0	0	0	0	0	
3	63	16	82	4	67.5	102.323	5	0.043	0.082	0.021	0.035	0	0.041	0.067	0	0.015	0.007	
3	64	16	43	0	67.5	57.305	0	0	0	0	0	0	0	0	0	0	0	
3	65	16	96	2	67.5	115.523	2	0.018	0.036	0.003	0.005	0	0.007	0.009	0	0.002	0.003	
3	66	16	48	1	67.5	81.477	1.25	0.016	0.031	0.002	0.003	0	0.005	0.007	0	0.001	0.005	
3	67	16	43	0	67.5	65.205	0	0	0	0	0	0	0	0	0	0	0	
3	68	16	8	0	67.5	8.348	0	0	0	0	0	0	0	0	0	0	0	
4	5	55	92	25	83.1	129.048	50.386	0.205	0.34	0.151	0.184	0	0.263	0.311	0	0.042	0.145	
4	6	55	67	1	83.1	78.046	1	0.008	0.016	0.001	0.001	0	0.002	0.002	0	0	0.001	
4	7	55	7	0	83.1	11.667	0	0	0	0	0	0	0	0	0	0	0	
4	8	55	45	2	83.1	59.703	3	0.02	0.04	0.005	0.005	0	0.009	0.01	0	0.001	0.005	
4	9	55	78	21	83.1	117.754	44.318	0.188	0.316	0.178	0.195	0	0.302	0.326	0	0.045	0.125	
4	10	55	103	4	83.1	128.672	11	0.026	0.051	0.005	0.008	0	0.011	0.016	0	0	0.006	
4	11	55	100	2	83.1	145.738	2	0.013	0.026	0.002	0.003	0	0.004	0.006	0	0	0.002	
4	12	55	23	1	83.1	36.772	1	0.013	0.026	0.011	0.011	0	0.021	0.021	0	0.005	0.019	
4	13	55	12	0	83.1	22.526	0	0	0	0	0	0	0	0	0	0	0	
4	14	55	109	10	83.1	153.643	13.567	0.065	0.122	0.109	0.124	0	0.197	0.221	0	0.028	0.061	
4	15	55	110	12	83.1	141.015	18.5	0.078	0.145	0.113	0.121	0	0.203	0.215	0	0.038	0.057	
4	16	55	90	17	83.1	131.242	26.295	0.133	0.234	0.181	0.199	0	0.306	0.331	0	0.139	0.157	
4	17	55	135	5	83.1	181.409	6.935	0.027	0.053	0.023	0.023	0	0.044	0.045	0	0.016	0.038	
4	18	55	89	18	83.1	158.259	24.927	0.143	0.25	0.124	0.143	0	0.22	0.25	0	0.025	0.078	
4	19	55	35	9	83.1	47.365	11.183	0.111	0.2	0.053	0.055	0	0.1	0.104	0	0.011	0.061	
4	20	55	32	1	83.1	46.447	1	0.012	0.023	0.002	0.002	0	0.004	0.004	0	0	0.003	
4	21	55	63	18	83.1	101.699	56.618	0.18	0.305	0.312	0.325	0	0.475	0.49	0	0.114	0.128	
4	22	55	20	4	83.1	52.777	5.342	0.056	0.107	0.023	0.024	0	0.046	0.047	0	0.01	0.024	
4	23	55	31	0	83.1	37.888	0	0	0	0	0	0	0	0	0	0	0	
4	24	55	40	12	83.1	94.303	38.255	0.145	0.253	0.212	0.225	0	0.35	0.367	0	0.175	0.172	
4	25	55	38	6	83.1	59.387	13.5	0.069	0.129	0.059	0.068	0	0.112	0.128	0	0.043	0.051	
4	26	55	52	18	83.1	86.118	41.29	0.202	0.336	0.207	0.239	0	0.343	0.386	0	0.103	0.134	
4	27	55	30	4	83.1	41.933	4	0.049	0.094	0.072	0.12	0	0.134	0.214	0	0.024	0.023	
4	28	55	15	0	83.1	18.084	0	0	0	0	0	0	0	0	0	0	0	
4	29	55	134	27	83.1	224.279	74.383	0.167	0.286	0.207	0.265	0	0.343	0.418	0	0.065	0.138	
4	30	55	41	10	83.1	71.504	20.452	0.116	0.208	0.075	0.101	0	0.14	0.184	0	0.025	0.09	
4	31	55	72	11	83.1	106.388	12.989	0.095	0.173	0.103	0.106	0	0.186	0.192	0	0.043	0.089	
4	32	55	66	14	83.1	126.645	35.747	0.131	0.231	0.098	0.102	0	0.179	0.185	0	0.007	0.049	
4	33	55	5	1	83.1	7.222	1	0.017	0.033	0.004	0.006	0	0.008	0.011	0	0.001	0.004	
4	34	55	67	14	83.1	90.773	26.979	0.13	0.23	0.156	0.169	0	0.27	0.289	0	0.011	0.041	
4	35	55	62	3	83.1	89.968	4.533	0.026	0.051	0.005	0.007	0	0.01	0.014	0	0	0.009	
4	36	55	74	14	83.1	132.624	28.914	0.122	0.217	0.145	0.182	0	0.254	0.308	0	0.029	0.067	
4	37	55	104	13	83.1	142.454	18.819	0.089	0.164	0.196	0.21	0	0.328	0.346	0	0.203	0.161	
4	38	55	99	5	83.1	127.355	8.75	0.034	0.065	0.025	0.026	0	0.048	0.052	0	0.011	0.025	
4	39	55	94	17	83.1	145.55	31.647	0.129	0.228	0.167	0.177	0	0.286	0.301	0	0.123	0.184	
4	40	55	73	20	83.1	137.949	32.912	0.185	0.313	0.135	0.162	0	0.238	0.279	0	0.049	0.155	
4	41	55	57	1	83.1	86.164	1	0.009	0.018	0.002	0.002	0	0.003	0.004	0	0	0.002	
4	42	55	22	7	83.1	38.656	8.5	0.1	0.182	0.121	0.137	0	0.217	0.241	0	0.087	0.109	
4	43	55	32	10	83.1	37.95	11.161	0.13	0.23	0.153	0.156	0	0.266	0.269	0	0.06	0.083	
4	44	55	37	8	83.1	42.797	11.655	0.095	0.174	0.033	0.034	0	0.063	0.065	0	0.016	0.033	
4	45	55	24	5	83.1	27.841	5	0.068	0.127	0.039	0.05	0	0.075	0.094	0	0.014	0.025	
4	46	55	14	0	83.1	17.132	0	0	0	0	0	0	0	0	0	0	0	
4	47	55	21	6	83.1	23.222	6.759	0.086	0.158	0.051	0.052	0	0.098	0.1	0	0.028	0.068	
4	48	55	66	15	83.1	93.224	18.611	0.142	0.248	0.09	0.131	0	0.165	0.232	0	0.021	0.082	
4	49	55	30	1	83.1	38.428	0	0.012	0.024	0.002	0.002	0	0.004	0.004	0	0.002	0.003	
4	50	55	51	4	83.1	98.052	6.107	0.039	0.075	0.028	0.034	0	0.055	0.065	0	0.008	0.034	
4	51	55	38	0	83.1	43.468	0	0	0	0	0	0	0	0	0	0	0	
4	52	55	32	0	83.1	39.695	0	0	0	0	0	0	0	0	0	0	0	
4	53	55	68	9	83.1	91.56	12.493	0.079	0.146	0.059	0.06	0	0.111	0.113	0	0.066	0.031	
4	54	55	89	7	83.1	111.201	10.706	0.051	0.097	0.014	0.016	0	0.027	0.032	0	0.001	0.015	
4	55	55	54	9	83.1	68.912	26.116	0.09	0.165	0.121	0.124	0	0.216	0.221	0	0.161	0.102	
4	56	55	48	0	83.1	59.289	0	0	0	0	0	0	0	0	0	0	0	
4	57	55	33	0	83.1	40.799	0	0	0	0	0	0	0	0	0	0	0	
4	58	55	67	1	83.1	85.193	1	0.008	0.016	0.002	0.002	0	0.004	0.004	0	0	0.002	
4	59	55	69	4	83.1	91.088	9.703	0.033	0.065	0.009	0.013	0	0.017	0.025	0	0.001	0.009	
4	60	55	57	4	83.1	93.268	5	0.037	0.071	0.009	0.011	0	0.018	0.021	0	0.001	0.01	
4	61	55	74	5	83.1	92.37	8.844	0.04	0.078	0.033	0.034	0	0.063	0.066	0	0.011	0.027	
4	62	55	71	7	83.1	101.386	11	0.059	0.111	0.028	0.044	0	0.054	0.085	0	0.002	0.018	
4	63	55	82	7	83.1	102.323	7.5	0.054	0.102	0.049	0.059	0	0.093	0.112	0	0.005	0.014	
4	64	55	43	10	83.1	57.305	15.395	0.114	0.204	0.075	0.088	0	0.139	0.162	0	0.024	0.072	
4	65	55	96	7	83.1	115.523	14.725	0.049	0.093	0.04	0.074	0	0.077	0.137	0	0.003	0.012	
4	66	55	48	15	83.1	81.477	18.981	0.17	0.291	0.259	0.263	0	0.411	0.417	0	0.43	0.263	
4	67	55	43	15	83.1	65.205	17.173	0.181	0.306	0.37	0.375	0	0.54	0.546	0	0.76	0.398	
4	68	55	8	0	83.1	8.348	0	0	0	0	0	0	0	0	0	0	0	
5	6	92	67	3	129.048	78.046	4.861	0.019	0.038	0.007	0.009	0	0.015	0.017	0	0.002	0.01	
5	7	92	7	0	129.048	11.667	0	0	0	0	0	0	0	0	0	0	0	
5	8	92	45	2	129.048	59.703	0	0.015	0.029	0.022	0.025	0	0.043	0.048	0	0.004	0.007	
5	9	92	78	27	129.048	117.754	55.413	0.189	0.318	0.325	0.366	0	0.49	0.536	0	0.25	0.254	
5	10	92	103	9	129.048	128.672	14.097	0.048	0.092	0.02	0.023	0	0.039	0.046	0	0.003	0.024	
