EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://viceroy.eeb.uconn.edu/estimates
Shared Species and Similarity Statistics Output from Input File:  SI_78-79_all  (June 7, 2022)

First Sample	Second Sample	Sobs First Sample	Sobs Second Sample	Shared Species Observed	ACE First Sample	ACE Second Sample	Chao Shared Esimated	Jaccard Classic	Sorensen Classic	Chao-Jaccard-Raw Abundance-based	Chao-Jaccard-Est Abundance-based	Chao-Jaccard-EstSD Abundance-based	Chao-Sorensen-Raw Abundance-based	Chao-Sorensen-Est Abundance-based	Chao-Sorensen-EstSD Abundance-based	Morisita-Horn	Bray-Curtis	
1	2	31	20	2	63.474	24.988	0	0.041	0.078	0.109	0.109	0	0.197	0.197	0	0.169	0.121	
1	3	31	16	0	63.474	67.5	0	0	0	0	0	0	0	0	0	0	0	
1	4	31	55	0	63.474	83.1	0	0	0	0	0	0	0	0	0	0	0	
1	5	31	92	1	63.474	129.048	1	0.008	0.016	0.002	0.003	0	0.005	0.006	0	0	0.003	
1	6	31	67	3	63.474	78.046	5.722	0.032	0.061	0.005	0.007	0	0.01	0.014	0	0.002	0.009	
1	7	31	7	1	63.474	11.667	0	0.027	0.053	0.044	0.054	0	0.084	0.103	0	0.059	0.011	
1	8	31	45	1	63.474	59.703	0	0.013	0.026	0.005	0.005	0	0.009	0.01	0	0.002	0.004	
1	9	31	78	0	63.474	117.754	0	0	0	0	0	0	0	0	0	0	0	
1	10	31	103	1	63.474	128.672	1	0.008	0.015	0.002	0.002	0	0.004	0.004	0	0.001	0.004	
1	11	31	100	1	63.474	145.738	0	0.008	0.015	0.005	0.005	0	0.009	0.009	0	0.002	0.005	
1	12	31	23	5	63.474	36.772	5	0.102	0.185	0.266	0.288	0	0.42	0.448	0	0.301	0.214	
1	13	31	12	2	63.474	22.526	2	0.049	0.093	0.038	0.055	0	0.073	0.104	0	0.018	0.018	
1	14	31	109	0	63.474	153.643	0	0	0	0	0	0	0	0	0	0	0	
1	15	31	110	0	63.474	141.015	0	0	0	0	0	0	0	0	0	0	0	
1	16	31	90	0	63.474	131.242	0	0	0	0	0	0	0	0	0	0	0	
1	17	31	135	1	63.474	181.409	1	0.006	0.012	0.001	0.001	0	0.001	0.001	0	0	0.001	
1	18	31	89	0	63.474	158.259	0	0	0	0	0	0	0	0	0	0	0	
1	19	31	35	0	63.474	47.365	0	0	0	0	0	0	0	0	0	0	0	
1	20	31	32	3	63.474	46.447	4.5	0.05	0.095	0.031	0.045	0	0.059	0.085	0	0.025	0.027	
1	21	31	63	0	63.474	101.699	0	0	0	0	0	0	0	0	0	0	0	
1	22	31	20	1	63.474	52.777	1	0.02	0.039	0.021	0.021	0	0.041	0.041	0	0.018	0.018	
1	23	31	31	8	63.474	37.888	12.45	0.148	0.258	0.331	0.343	0	0.497	0.51	0	0.269	0.179	
1	24	31	40	0	63.474	94.303	0	0	0	0	0	0	0	0	0	0	0	
1	25	31	38	0	63.474	59.387	0	0	0	0	0	0	0	0	0	0	0	
1	26	31	52	0	63.474	86.118	0	0	0	0	0	0	0	0	0	0	0	
1	27	31	30	0	63.474	41.933	0	0	0	0	0	0	0	0	0	0	0	
1	28	31	15	6	63.474	18.084	6.91	0.15	0.261	0.246	0.254	0	0.395	0.405	0	0.381	0.201	
1	29	31	134	1	63.474	224.279	1	0.006	0.012	0.002	0.002	0	0.004	0.005	0	0	0.002	
1	30	31	41	0	63.474	71.504	0	0	0	0	0	0	0	0	0	0	0	
1	31	31	72	0	63.474	106.388	0	0	0	0	0	0	0	0	0	0	0	
1	32	31	66	0	63.474	126.645	0	0	0	0	0	0	0	0	0	0	0	
1	33	31	5	2	63.474	7.222	2	0.059	0.111	0.011	0.011	0	0.022	0.022	0	0.016	0.02	
1	34	31	67	0	63.474	90.773	0	0	0	0	0	0	0	0	0	0	0	
1	35	31	62	0	63.474	89.968	0	0	0	0	0	0	0	0	0	0	0	
1	36	31	74	0	63.474	132.624	0	0	0	0	0	0	0	0	0	0	0	
1	37	31	104	1	63.474	142.454	1.25	0.007	0.015	0.001	0.002	0	0.002	0.003	0	0	0.002	
1	38	31	99	2	63.474	127.355	2.833	0.016	0.031	0.008	0.009	0	0.015	0.018	0	0.003	0.01	
1	39	31	94	0	63.474	145.55	0	0	0	0	0	0	0	0	0	0	0	
1	40	31	73	0	63.474	137.949	0	0	0	0	0	0	0	0	0	0	0	
1	41	31	57	1	63.474	86.164	1	0.011	0.023	0.01	0.01	0	0.019	0.019	0	0.006	0.018	
1	42	31	22	1	63.474	38.656	1	0.019	0.038	0.023	0.023	0	0.045	0.045	0	0.014	0.042	
1	43	31	32	0	63.474	37.95	0	0	0	0	0	0	0	0	0	0	0	
1	44	31	37	0	63.474	42.797	0	0	0	0	0	0	0	0	0	0	0	
1	45	31	24	0	63.474	27.841	0	0	0	0	0	0	0	0	0	0	0	
1	46	31	14	1	63.474	17.132	1	0.023	0.044	0.005	0.005	0	0.011	0.011	0	0.006	0.009	
1	47	31	21	0	63.474	23.222	0	0	0	0	0	0	0	0	0	0	0	
1	48	31	66	0	63.474	93.224	0	0	0	0	0	0	0	0	0	0	0	
1	49	31	30	0	63.474	38.428	0	0	0	0	0	0	0	0	0	0	0	
1	50	31	51	0	63.474	98.052	0	0	0	0	0	0	0	0	0	0	0	
1	51	31	38	4	63.474	43.468	4	0.062	0.116	0.062	0.086	0	0.117	0.158	0	0.025	0.017	
1	52	31	32	11	63.474	39.695	19.578	0.212	0.349	0.271	0.426	0	0.426	0.597	0	0.275	0.103	
1	53	31	68	0	63.474	91.56	0	0	0	0	0	0	0	0	0	0	0	
1	54	31	89	0	63.474	111.201	0	0	0	0	0	0	0	0	0	0	0	
1	55	31	54	0	63.474	68.912	0	0	0	0	0	0	0	0	0	0	0	
1	56	31	48	11	63.474	59.289	18.258	0.162	0.278	0.233	0.301	0	0.377	0.463	0	0.204	0.024	
1	57	31	33	12	63.474	40.799	12.439	0.231	0.375	0.329	0.5	0	0.495	0.667	0	0.213	0.085	
1	58	31	67	0	63.474	85.193	0	0	0	0	0	0	0	0	0	0	0	
1	59	31	69	1	63.474	91.088	1	0.01	0.02	0.002	0.003	0	0.004	0.005	0	0	0.002	
1	60	31	57	0	63.474	93.268	0	0	0	0	0	0	0	0	0	0	0	
1	61	31	74	0	63.474	92.37	0	0	0	0	0	0	0	0	0	0	0	
1	62	31	71	0	63.474	101.386	0	0	0	0	0	0	0	0	0	0	0	
1	63	31	82	0	63.474	102.323	0	0	0	0	0	0	0	0	0	0	0	
1	64	31	43	0	63.474	57.305	0	0	0	0	0	0	0	0	0	0	0	
1	65	31	96	0	63.474	115.523	0	0	0	0	0	0	0	0	0	0	0	
1	66	31	48	0	63.474	81.477	0	0	0	0	0	0	0	0	0	0	0	
1	67	31	43	0	63.474	65.205	0	0	0	0	0	0	0	0	0	0	0	
1	68	31	8	4	63.474	8.348	5.855	0.114	0.205	0.108	0.117	0	0.195	0.21	0	0.194	0.118	
2	3	20	16	1	24.988	67.5	1.25	0.029	0.056	0.004	0.006	0	0.008	0.012	0	0.002	0.008	
2	4	20	55	0	24.988	83.1	0	0	0	0	0	0	0	0	0	0	0	
2	5	20	92	0	24.988	129.048	0	0	0	0	0	0	0	0	0	0	0	
2	6	20	67	5	24.988	78.046	5	0.061	0.115	0.091	0.146	0	0.167	0.255	0	0.032	0.043	
2	7	20	7	1	24.988	11.667	0	0.038	0.074	0.058	0.068	0	0.109	0.127	0	0.088	0.009	
2	8	20	45	7	24.988	59.703	8	0.121	0.215	0.139	0.265	0	0.244	0.419	0	0.031	0.045	
2	9	20	78	0	24.988	117.754	0	0	0	0	0	0	0	0	0	0	0	
2	10	20	103	1	24.988	128.672	1	0.008	0.016	0.001	0.001	0	0.002	0.002	0	0	0.002	
2	11	20	100	0	24.988	145.738	0	0	0	0	0	0	0	0	0	0	0	
2	12	20	23	5	24.988	36.772	5.426	0.132	0.233	0.132	0.134	0	0.233	0.237	0	0.194	0.187	
2	13	20	12	0	24.988	22.526	0	0	0	0	0	0	0	0	0	0	0	
