"station_code","date_collected","latitude","longitude","depth_m","Antennariidae","Apogonidae","Blenniidae","Gobiesocidae","Gobiidae","Haemulidae","Labridae","Muraenidae","Nemipteridae","Pinguipedidae","Platycephalidae","Pomacentridae","Scaridae","Scorpaenidae","Serranidae","Syngnathidae","Synodontidae","Tetraodontidae","Tripterygiidae","Bothidae","Callionymidae","Chaetodontidae","Pomacanthidae","Pseudochromidae","Congridae","Holocentridae","Ophichthidae","Soleidae","Bythitidae","Cirrhitidae","Solenostomidae","Tetrarogidae","Acanthuridae","Aulostomidae","Balistidae","Chlopsidae","Eleotridae","Monacanthidae","Plesiopidae","Xenisthmidae","Pholidichthyidae","Samaridae","Opistognathidae","Atherinidae","Clupeidae","Ptereleotridae","Synanceiidae","Creediidae","Priacanthidae","Moringuidae","Percophidae","Mullidae","Uranoscopidae","Plotosidae","Opittognathidae","Diodontidae"
"SU-22-11",2022-06-04,10.97167,121.20778,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-12",2022-06-05,10.88583,121.19278,21.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-13",2022-06-06,10.876552,120.939812,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-14",2022-06-07,10.8734723,120.9348857,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-15",2022-06-08,10.8807218,121.2050596,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-16",2022-06-09,10.9555144,121.2305596,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-17",2022-06-10,10.815,121.00833,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-18",2022-06-11,10.8342368,120.9975178,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-19",2022-06-21,9.0454687,123.1224568,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-20",2022-06-22,9.0454714,123.1224568,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SU-22-21",2022-06-29,9.1867037,123.4479352,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
