complete_name	year_established	core_area_ha	buffer_area_ha
Foreshoreline of Bo. Cabuyagan to the eastern side of Dating Bayan River in Calancan Bay	0	0	0
Looc Reef (Managed Reef)	1996	0	0
Oyster and Binunsalian Bay Marine Coral Reef Park	1992	0	0
Talisayan-Medina Marine Recreation Area/CEP	0	0	0
Foreshoreline of Bo. Dapdap and Alabo up to the mouth of Tagum River	0	0	0
Pocanel Island Tourist Zone & Marine Reserve	1978	0	0
Bo. Labangan to Calalayuan Point, Ilin Island	0	0	0
Lapinig Chico Islet Mangrove Swamp Forest Reserve	0	0	0
Panagatan Islet Marine Sanctuary	1982	0	0
Kinablangan Fish Sanctuary	2005	0	0
Honda Bay Marine Park	1978	0	0
Sulpa Island Tourist Zone and Marine Reserve	1978	0	0
Poro Island Mangrove Swamp Forest Reserve	0	0	0
Malay Marine Protected Area (Tambisaan Reef)	2001	0	0
Puerto Bello to Lao	0	0	0
Papucha Point in Sugot up to Bo. Quidolog, Prieto Diaz boundaries divided into 2 quadrants: a) Sta. Lucia to Buenavista; b) Buenavista to Dingay Point* ***	0	0	0
Bayuar Cove to Tinago Cove	0	0	0
Brgy. San Antonio Lukulan Shoal Fish Sanctuary	0	0	0
San Rafael Mangrove Swamp Forest Reserve	0	0	0
Patnanongan Island Mangrove Swamp Forest Reserve	0	0	0
Ambugan Island Mangrove Swamp Forest Reserve	0	0	0
Laonan Island	0	0	0
Polillo Island Mangrove Swamp Forest Reserve	0	0	0
Guinobatan River up to Bariis	0	0	0
Pundaguitan Fish Sanctuary	0	0	0
Caubyan Island and vicinity Tourist Zone and Marine Reserve	1978	0	0
Tagbaoba Island Widerness Area	0	0	0
Mabunao & Balubohan Close Season & Mangrove Rehabilitation	0	0	0
Samal Island Mangrove Swamp Forest Reserve; eastern side is TZMR	1978	0	0
Shangrila Marine Sanctuary	0	0	0
Timtiman Wilderness Area	0	0	0
Mangrove areas from Malubog Point up to Barangay Sambulawan including the Island of Pisan	0	0	0
Central Fish Sanctuary	2000	0	0
Lutuad Point D.Leano Marine Protected Area	2000	0	0
Unisan Fish Sanctuary	0	0	0
Sitio Dongon Marine Sanctuary	0	0	0
Maguinoo Fish Sanctuary	0	0	0
Kabangkalan Marine Sanctuary	1993	0	0
Manuel Roxas Fish Sanctuary	0	0	0
Panuntingan Point in Gubat up to Tagdon River in Barcelona	0	0	0
Aslom Island Tourist Zone & Marine Reserve	1978	0	0
Quinabugan Island Mangrove Swamp Forest Reserve	0	0	0
Al-Sulnuan Point TZMR	1978	0	0
Bais Bay and Talabong Is. Coastal Wetlands	0	0	0
Icol Island Mangrove Swamp Forest Reserve	0	0	0
Mangrove areas from Agio Point up to the municipality of Cambuyao	0	0	0
From Brgy. Alegre to Cabanban Preservation & Cons. Of Marine Res. (prop)	0	0	0
Mangrove areas along Taon River	0	0	0
Baong River Mangrove Swamp Forest Reserve	0	0	0
Mangroves along the banks of Looc River	0	0	0
Constantino Wilderness Area	0	0	0
Ligpo Island TZMR	1978	0	0
Sombrero Island TZMR	1978	0	0
Suguicay Island Tourist Zone & Marine Reserve	1978	0	0
Palhi Marine Sanctuary	0	0	0
Mangrove areas in the banks of Batel Creek, Sta. Cruz	0	0	0
Magsaysay, ECAN Protected Marine Zones	0	0	0
Municipal Bay Management Project	0	0	0
Hanigad Island Marine Swamp Forest Reserve	0	0	0
Inabanga Municipal Coral Reef Park	0	0	0
Casambalangan Marine Protected Area	0	0	0
Mangrove areas from Del Pilar River to Palita Island, Bo. Salvacion & Dahican	0	0	0
Cambinoy Fish & Shellfish Sanctuary	2003	0	0
Dawahon Island Fish Sanctuary	1999	0	0
Ligid Island Tourist Zone and Marine Reserve	1978	0	0
Pangasihan Fish Sanctuary	2003	0	0
Gordon Island Mangrove Swamp Forest Reserve	0	0	0
Jandayan Island Mangrove Swamp Forest Reserve	0	0	0
Tibanban Fish Sanctuary	0	0	0
Rasa Island Wilderness Area	0	0	0
Mangrove areas from the mun. of Tagalisay to the mouth of Tigbao River including east of Vitali Is.	0	0	0
Pan de Azucar Seascape	0	0	0
Gabas Marine Sanctuary	0	0	0
Dinagat Island Mangrove Swamp Forest Reserve	0	0	0
San Antonio Marine Reserve Area	2004	0	0
Bansalan Wilderness Area	0	0	0
Poblacion Dumaran	0	0	0
Pulong Pilion Fish Sanctuary	0	0	0
Ponson Island Mangrove Swamp Forest Reserve	0	0	0
Panonobulon Island Fish Sanctuary	0	0	0
Gaban Island Tourist Zone & Marine Reserve	1978	0	0
Bilabid Island Mangrove Swamp Forest Reserve	0	0	0
Kabugao Point up to Kabalong Andang Point (Burias Is.)	0	0	0
Pulong Epil Fish Sanctuary	0	0	0
Boracay Island TZMR	1978	0	0
Mangrove areas east of Soom River to Pampang	0	0	0
Tinggo	0	0	0
Butlias Reef/Tinaytay Reef Marine Protected Area	0	0	0
Brgy. Talib Marine Reserve & Protected Area	1999	0	0
Balatero Cove TZMR	1978	0	0
Bancuyo Island Widerness Area	0	0	0
Bawing Fish Sanctuary and Marine Reserve	1998	0	0
Sibuyan Island Mangrove Swamp Forest Reserve	0	0	0
Culasian	0	0	0
Sibalat Island Tourist Zone & Marine Reserve	1978	0	0
San Agustin Marine Sanctuary	0	0	0
Talicud Island Tourist Zone and Marine Reserve	1978	0	0
Bacuit Bay Island TZMR	1978	0	0
Sangali Cove Tourist Zone and Marine Reserve	1978	0	0
Ulugan Bay Coastal Wetlands	1999	0	0
Puerto Galera TZMR, Biosphere Reserve	1973	0	0
Bo. Bagumbang to Malautan River	0	0	0
From Putiao River to Mantay Point Mangrove Swamp Forest Reserve	0	0	0
Alabat Island Mangrove Swamp Forest Reserve	0	0	0
Caohagan Marine Sanctuary	2002	0	0
Mangrove areas along the coastlines of Dupon Bay from Sacay Point up to the mouth of Dupon Bay	0	0	0
Sicogon Is. Mun. Marine Park	0	0	0
Gibongan Estuary	1992	0	0
Siquijor Island Tourist Zone and Marine Reserve	1978	0	0
Malanipa Island Tourist Zone and Marine Reserve	1978	0	0
Tona Island Wilderness Area	0	0	0
Maybog Marine Sanctuary	0	0	0
Brgy. Tanao	0	0	0
Sinagatan Bay to to Mantay Point in Ginablan	0	0	0
Coron Island Tourist Zone and Marine Reserve	1978	0	0
San Andres Marine Reserve	0	0	0
Mangroves between Bo. Tamosa and Bagasico	0	0	0
Mangrove areas along the banks of Mamburao River	0	0	0
Lebak-Kalamansig (Moro Gulf)/CEP	0	0	0
Tintauan Island Mangrove Swamp Forest Reserve	0	0	0
Canawayon Cove, Homonho	0	0	0
Carcar Fishery Reserve	0	0	0
Opao Island Tourist Zone & Marine Reserve	1978	0	0
Boston Reef Fish Sanctuary	2005	0	0
Northern Bank of Caima River up to Bo. Binahian	0	0	0
Buyayao Island TZMR	1978	0	0
Palay Point up to Mulanay River, Bondoc Peninsula	0	0	0
Calangaman Wilderness Area	0	0	0
Mangroves along the banks of Delchi River, Buang Creek and Parusan River in Inuran and Sapitan Bay	0	0	0
Artificial Reef Development	0	0	0
Manay Fish Sanctuary	2000	0	0
Baring Marine Sanctuary	0	0	0
Bondoc River in Aurora up to Pinamutangan Point, Bondoc Peninsula (Tayabas Bay, Quezon)	0	0	0
Entire Province of Palawan	1992	0	0
Tumalong Bay Mangrove Swamp Forest Reserve	0	0	0
Panicijan River in Butan Bay	0	0	0
San Joaquin Seascape	0	0	0
Salomague Island Mangrove Swamp Forest Reserve***	0	0	0
Awasan Island Wilderness Area	0	0	0
Mangrove areas from the west of Loboc River to the Mun. of Loay	0	0	0
Pulong Bigyan Fish Sanctuary	0	0	0
Burias Island Mangrove Swamp Forest Reserve	0	0	0
Aguirangan Island	0	0	0
Carogo Island Mangrove Swamp Forest Reserve	0	0	0
Iba and Poblacion Marine Sanctuary	2001	0	0
Tictauan Island Mangrove Swamp Forest Reserve	0	0	0
Cabilao Island Mangrove Swamp Forest Reserve & TZMR	1978	0	0
Batan Island Mangrove Swamp Forest Reserve/Fish Sanctuary	0	0	0
Nueva Esperanza Fish Sanctuary	2002	0	0
Quinalasag Island Mangrove Swamp Forest Reserve/CEP	0	0	0
Apid Digyo and Mahaba Sanctuary, Cuatro Islas Protected Landscape and Seascape	2000	0	0
Liwagao Island Fish Sanctuary	1994	0	0
Sta. Cruz Island Mangrove Swamp Forest Reserve	0	0	0
Divilacan Marine Reserve	0	0	0
Monte-Alto Timber Resource Corp. parcel 1 & 2	1987	0	0
Mabay Island and Basiao Marine Protected Area	0	0	0
San Andres to Arena Point, Bondoc Peninsula	0	0	0
Lucsuhin Island Mangrove Swamp Forest Reserve	0	0	0
Bantayan Island Wilderness Area	0	0	0
Haponan Island Mangrove Swamp Forest Reserve	0	0	0
Palsabangan River up to Mazintuto River (Tayabas Bay, Quezon)	0	0	0
Banacon Island Wilderness Area	0	0	0
Basin Island Mangrove Swamp Forest Reserve	0	0	0
Cabcab San Andres Fish Sanctuary	0	0	0
Hirapsan Island Marine Sanctuary	2003	0	0
Panata Cay Marine Turtle Sanctuary	1982	0	0
Fuga Island Tourist Zone Marine Reserve	1978	0	0
Carigara Artificial Reef Project, Naugisan Artificial Reef Complex & Guindapunan Complex	0	0	0
Sacol Island TZMR/Mangrove Swamp & Forest Reserve	1978	0	0
Tagasilay to Tigbao River Mangrove Swamp Forest Reserve	0	0	0
Libago Island Tourist Zone & Marine Reserve	1978	0	0
Sibale Island Mangrove Swamp Forest Reserve	0	0	0
Cueva Point up to Kimartines Point (Burias Is.)	0	0	0
Maniguin Marine Sanctuary	0	0	0
Balang-Balang Marine Sanctuary	0	0	0
Shores of Gilbert Is. & Brgy. Jamo-og Shorelines Fish and other Marine Products including Mangroves	0	0	0
Portion of Caragay Island Mangrove Swamp Forest Reserve	0	0	0
Tanglar Point to Bicol River	0	0	0
Mangroves along the banks of Sta. Rosa River in San Jacinto	0	0	0
Aloran Marine Sanctuary	2005	0	0
Banks of Balono and Pasil River, Toos Cove, Daraga, Diutag and Lomocab	0	0	0
Gaus I Marine Sanctuary	1993	0	0
Caridad Fish Sanctuary	0	0	0
Pambaron Island Tourist Zone & Marine Reserve	1978	0	0
Camiguin Island Tourist Zone and Marine Reserve	1978	0	0
Maasim Island Tourist Zone & Marine Reserve	1978	0	0
Sulu-an	0	0	0
Nueve Estrella Fish Sanctuary	2002	0	0
Dampalit Island Wilderness Area	0	0	0
Buguey Wetlands	0	0	0
Sugbuhan Island Wilderness Area	0	0	0
Mati Fish Sanctuary (Dahican)	1995	0	0
Panglao Island Mangrove Swamp Forest Reserve/TZMR	1978	0	0
Manila Bay	0	0	0
Namuac Reef Marine Protected Area	0	0	0
Bating Peninsula Tourist Zone & Marine Reserve	1978	0	0
Apali Point to Calunangan Point	0	0	0
Talima Marine Sanctuary	0	0	0
Condona Island Mangrove Swamp Forest Reserve	0	0	0
Solitario Island Tourist Zone and Marine Reserve	1978	0	0
Baliangao Wetland Park	1991	0	0
Bancauan Island Marine Turtle Sanctuary	1982	0	0
Tambo MPA	0	0	0
Sebaca & Damasing Close Season & Mangrove Rehabilitation	0	0	0
Balatan	0	0	0
Baras Fish Sanctuary	1996	0	0
Diora-Zinungan Marine Protected Area	0	0	0
Panciscan Point in Bitos Bay up to Bano Sanlay	0	0	0
Quinabucasan Point to San Vicente Bay	0	0	0
Basiao Marine Sanctuary	2002	0	0
Malubog Pt. to Sambalawan MSFR	0	0	0
Sukol River to Soquicay Island MSFR	0	0	0
Malinao Creek up to Salomague Point	0	0	0
Sitio Tulan Marine Sanctuary	0	0	0
Brgy Alinsolong (proposed)	0	0	0
Sigaboy Island	0	0	0
Mangrove areas of Port Tambang including banks of Tambang River and Olas River	0	0	0
Cabalete Island Mangrove Swamp Forest Reserve	0	0	0
Mangrove areas east of Inabanga River to Pampang	0	0	0
Abanay Island Wilderness Area	0	0	0
Vitali Island Mangrove Swamp Forest Reserve	0	0	0
Lamion	0	0	0
Nagubat Island Fish Sanctuary	1994	0	0
Sogod Tourist Zone and Marine Reserve	1978	0	0
Palasan Island Mangrove Swamp Forest Reserve	0	0	0
Arboles Point Marine Sanctuary	0	0	0
Naungan Marine Protected Area	2004	0	0
Baylimango Reserve	0	0	0
Pandasan Island	0	0	0
Bambanon Island	0	0	0
Mingay Dakkel	1999	0	0
Comayan Reef FS	0	0	0
Ladol Community based Marine Protected Area	0	0	0
Busuanga Island Tourist Zone and Marine Reserve	0	0	0
Mercedes Fish Sanctuary & Fishery Reserve	1995	0	0
Campamanog Marine Sanctuary	1993	0	0
Cabgan Wilderness Area	0	0	0
Islands of Guinauayan, Naro, Chico & Pobre	0	0	0
Katakian Grande Island	0	0	0
Portion of Butan Bay Mangrove Swamp Forest Reserve	0	0	0
Cabalao Island Mangrove Swamp Forest Reserve	0	0	0
Poong-Garcia Marine Sanctuary	1986	0	0
Nasipang Close Season & Mangrove Rehabilitation	0	0	0
Lahay Island Mangrove Swamp Forest Reserve	0	0	0
Caye Island Mangrove Swamp Forest Reserve	0	0	0
Islands of Lamagon, Cepaya & Corbeto	0	0	0
Malaquing River up to Mabung River (Burias Is.)	0	0	0
Punta Marine Reserve	2005	0	0
Caragay Pass to Gimbal Pt. In Caragay Island	0	0	0
Basot Island Mangrove Swamp Forest Reserve	0	0	0
Tampucon II Marine Reserve	0	0	0
Mangroves along the banks of Pasil River, Magdalena	0	0	0
Malazimbo Point to the Mun. of Juban in Sorsogon Bay	0	0	0
Minabel (Camiguin Island)	0	0	0
Silo Island Wilderness Area	0	0	0
Linao Marine Reserve Area	2006	0	0
Banoon Islet Mangrove Swamp Forest Reserve	0	0	0
Buyong Beach (Maribago, Mactan) TZMR	1978	0	0
Masopelid Island Marine Swamp Forest Reserve	0	0	0
Bacong River up to Sandoval Point (Tayabas Bay, Quezon)	0	0	0
Paratong Fish Sanctuary	0	0	0
Cabangtalan Fish Sanctuary	0	0	0
Dadalaquiten Sur Fish Sanctuary	0	0	0
Katipunan Fish Sanctuary	0	0	0
Marine Turtle Sanctuary (Pawikan Conservation Center)	2001	0	0
Bongabong Marine Protected Area	0	0	0
Matampay Bucana Fish Sanctuary	2007	0	0
Raw-an Fish Sanctuary	2011	0	0
Brgy. Calutcot Fish Sanctuary	2000	0	0
Angol Point Reef	2001	0	0
Paraoir Fish Sanctuary	2004	0	0
Bagac Marine Protected Area	2012	0	0
Taritien Marine Protected Area	2006	0	0
Barosbos Marine Protected Area	2012	0	0
Carmencita Shoal	2012	0	0
Bayabas Marine Fish Sanctuary	2015	0	0
Cugman Marine Fish Sanctuary	2015	0	0
Gusa Marine Fish Sanctuary	2004	0	0
Lapasan Marine Fish Sanctuary	2015	0	0
Puerto Marine Fish Sanctuary	2015	0	0
Tablon Marine Fish Sanctuary	2015	0	0
Municipal Marine Sanctuary (Napti Island)	2003	0	0
Rosario Marine Protected Area	2013	0	0
Mabuhay Marine Park Sanctuary	2012	0	0
Halian Island MPA	2008	0	0
Decalve Strict Protection Zone	0	0	0
Minugbay-Malbato-Tagpi Marine Protected Area	0	0	0
Pical Marine Protected Area	0	0	0
San Agustin Marine Sanctuary	0	0	0
Maricaban Marine Sanctuary	0	0	0
Talisay Marine Sanctuary	0	0	0
Talisay Fish Sanctuary	0	0	0
Bacong Fish Sanctuary	0	0	0
Bogo Marine Sanctuary	2006	0	0
Bonbonon Marine Sanctuary	2006	0	0
Tilmobo Marine Sanctuary	1993	0	0
Sagisi Marine Sanctuary	0	0	0
Mahanay Fish Sanctuary	0	0	0
Mahaba Marine Sanctuary	0	0	0
Poblacion Fish Sanctuary	0	0	0
Masiga Marine Turtle Preservation Area	2013	0	0
Tambisaan and Crocodile Reef	2001	0	0
Tulubhan Reef	2001	0	0
Ilig-iligan Reef	2001	0	0
Balinghai Reef	2001	0	0
Coral Garden	2001	0	0
Punta Bunga Reef	2009	0	0
Bunyugan Reef	2009	0	0
Sa-id Reef	2001	0	0
Lapus-lapus Reef	2001	0	0
Malatgao Mangrove Protected Area	1	0	0
Lolo Bay MPA Seagrass Core Zone	1	0	0
Mantaquin Bay MPA Seagrass Cove	1	0	0
Catmon Fish Sanctuary	2003	0	0
Sambawan Marine Reserve	1997	0	0
Jamorawon Fish Sanctuary	2006	0	0
Busali Shell Sanctuary	2010	0	0
Pinamihagan Fish Sanctuary	2009	0	0
Villa Felipa Marine Sanctuary	1999	0.03	0
Twin Island Marine Reserve	1994	0.05	0
Allegria Sea Turtle Habitat	2008	0.5	0
Panukulan Fish Sanctuary 1	0	0.53	0
Panukulan Fishing Ground Rehabilitation Project	0	0.87	0
Underwater Paradise (Brgy. Sablayan)	0	0.988	0
Mag- C Marine Protected Area	2000	1	1
Cabungon Marine Reserve	2003	1	1
Poblacion II AR Project	0	1	0
Baybay Artificial Reef Project	0	1	0
Salaman Seagrass Sanctuary	0	1	0
Bato Artificial Reef Project	0	1	0
Tolibao Artificial Reef Project	0	1	0
Naugisan Fish Sanctuary/ Fish Reserve	1994	1	0
Malinao Marine Sanctuary	2001	1	0
Benolho Artificial Reef Project	0	1	0
Tilmobo Marine Sanctuary	2006	1	0
Catugasan Marine Sanctuary	2001	1	0
Matalom Artificial Reef Complex	0	1	0
Lawaan Marine Turtle Sanctuary	1998	1	0
Sanlangan Marine Sanctuary	1994	1	0
Camflora Fish Sanctuary	0	1	0
Guindaunan East Fish Sanctuary	1994	1	0
Blasdiot Fish Sanctuary	2001	1	0
Culasi Artificial Reef Project	0	1	0
Magbagacay Seagrass Marine Reserve	2002	1	0
Marine Turtle Nesting Ground	0	1	0
Guinadiongan Artificial Reef Project	0	1	0
Old Cawayan Artificial Reef Project	0	1	0
Brgy. Tagda Coastal Tree Park	0	1	0
Talisay Fish Sanctuary	2006	1	0
Tingib Marine Sanctuary	1997	1	0
Bonkokan Ubos Marine Sanctuary	2001	1	0
Balud Artificial Reef Project	0	1	0
Poblacion I AR Project	0	1	0
Canmangao Fish Sanctuary	1993	1	0
Malibago Seagrass Marine Reserve	2002	1	0
Sta. Cruz Artificial Reef Project	0	1	0
Nagsulay Marine Sanctuary	1999	1	0
Karaang Banwa MPA	2000	1	0
Balingasay River MPA	2016	1	1
Samahan ng Mangingisda at Magsasaka para sa Kalikasan - MPA	2016	1	1
Samahan ng Mangingisda at Magsasaka para sa Pangangalaga ng Kalikasan - Mangrove	2005	1	1
Arnedo Marine Protected Area (Mangrove)	2016	1	1
Victory Mangrove Reforestation	2016	1	1
Exotic Island Fish Sanctuary	1997	1	1
Haines Island Fish Sanctuary	1997	1	1
Poblacion Marine Sanctuary	2001	1	0
Jinalinan Sanctuary	2002	1.01	0
Sua Fish Sanctuary and Marine Reserve	2002	1.3	0
Bonbon Fish Sanctuary and Marine Reserve	2002	1.36	0
Brgy. Kawit Or. Marine Sanctuary	0	1.5	0
Katambak Mini Sanctuary	2000	1.5	0
Mapatag Marine Sanctuary	1999	1.75	0
Pagkilatan Fishery Reserve	2005	1.79	0
Ondol Seagrass Sanctuary	2000	1.8	0
Banawon Marine Sanctuary	1999	1.95	0
Sunken Island Marine Reserve and Sanctuary	2004	2	1
Mag-aba Marine Sanctuary	1997	2	1
Katumanan Mini Sanctuary	1999	2	0
Maujo - Juangon Fish Sanctuary	1998	2	0
Lower Loboc Fish/Shellfish Sanctuary	0	2	0
Catiil Island & Tabong Dio Island Municipal Fish Sanctuaries	0	2	0
Malatugawi Island MPA	0	2	0
Marangog Marine Sanctuary	2006	2	0
Paon Artificial Reef Project	0	2	0
Idiacacan Marine Sanctuary	1998	2	0
Igdalaguit Municipal Fish Sanctuary	1997	2	0
Nocnocan Marine Sanctuary	1997	2	0
Pangpang & Panas Mangrove Forest Reserve	0	2	0
Himokilan Marine Protected Area	2010	2	0
Pulo Fish Sanctuary	2002	2	0
Rupagan Fish Sanctuary	2007	2	0
Binlanan Marine Protected Area	2002	2.1	0
Dive and Trek Fish Sanctuary	1995	2.2	0
Frog Fish MPA	2002	2.21	0
North Lipayo Marine Reserve	2000	2.21	0
Lagundi Reef Marine Protected Area	2005	2.4	0
Batalang Bato Marine Sanctuary	2002	2.5	0
Biasong Marine Sanctuary	1994	2.5	0
Sta. Maria Marine Sanctuary	0	2.5	0
Brgy. San Jose Artificial Coral Reef	1995	2.5	0
Brgy. Manlangit Libod/Dilis culture	1995	2.5	0
Himbangan Fish Sanctuary	2000	2.5	0
Balong-balong - Cogon Marine Sanctuary	0	2.5	0
Hindag-an Fish Sanctuary	2000	2.5	0
Looc Marine Sanctuary	1998	2.513	0
Taklobo Farm Marine Protected Area	1989	2.55	0
Libaong Marine Protected Area	2005	2.55	0
Naba Marine Sanctuary	1999	2.7	0
Duka Fish Sanctuary	0	2.7	0
Marine Reserve	2005	2.8	0
Ghost Pipe and Sea Horse MPA	2005	2.854	0
Abiera Fish Sanctuary	1998	2.95	1
Compol Marine Protected Area	2011	2.99	0
Balabagon Fish Sanctuary	2007	3	0
Concepcion Norte FS	2007	3	0
San Alonzo Marine Sanctuary	2002	3	0
Tugas Marine Reserve	0	3	0
Timba - Santo Nino Fish Sanctuary	1996	3	0
Talaongan Marine Sanctuary	2008	3	0
Hermano Fish Sanctuary	2005	3	0
Cagduyong Fish Sanctuary & Marine Reserve	0	3	0
Patria Marine Sanctuary	1997	3	0
Bucana Fish Sanctuary	0	3	0
Mantangale Marine Sanctuary	1994	3	0
Buenavista Fish Sanctuary	0	3	0
Brgy. Pantalan Libod/Dilis culture	1995	3	0
Kulasihan Fish Sanctuary/Marine Reserve	0	3	0
Cagdongas Fish Sanctuary & Marine Reserve	0	3	0
Bagacay Marine Sanctuary	1996	3	0
Punta Fish Sanctuary	1994	3	0
Lawigan Marine Protected Area	2011	3.01	0
Tawala Marine Sanctuary	1998	3.18	0
Nahulid Marine Sanctuary	2001	3.2	0
Soft Coral Garden Reef (Alad Is.)	0	3.383	0
Balicasag Island Fish Sanctuary	1999	3.44	0
Madua Norte Marine Sanctuary	1999	3.47	0
Lipanto Fish Sanctuary	1996	3.5	0
Canigao Island Fish Sanctuary	1992	3.5	0
Takot Reef Marine Protected Area	2004	3.53	0
Lipata I Marine Protected Area	2006	3.6	0
Nausok Marine Sanctuary	2001	3.635	0
Funda-guintas Marine Sanctuary	1999	3.65	0
Lunas Acropora Park	0	3.684	0
Bunga Mar Marine Sanctuary	1998	3.79	0
Tawing-tawing Reef Sanctuary	2005	3.822	19.775
Santos Reef Fish Sanctuary	2005	3.845	19.2
Bob Reef Sanctuary	2005	3.845	19.2
Alga Marine Protected Area	2011	3.85	0
Minoyho Marine Reserve	2012	3.86	0
Batonan Sur Fish Sanctuary	1996	3.868	0
Madua Sur Marine Sanctuary	1999	3.97	0
Balangiga Reef Fish Sanctuary (Paglalangnan Reef)	2003	4	1
Oro Marine Reserve	2008	4	0
Mambayaan Fish Sanctuary	2006	4	0
Dakit-Dakit Marine Sanctuary	0	4	0
