"station_code","specimen_count","verified_identification","lowest_tax_cat","adjusted_latitude","adjusted_longitude","locality","field_number","province_state","island_group","island","bottom","depth_m","study"
"mab_349",1,"Fowleria marmorata","species",13.651028,120.841389,"Batangas, Tingloy, south side of Maricaban I., Devil's Point (dive site)","MAB-349","Batangas","Zapato Is.","Maricaban I.",NA,"100 - 130 ft.","cas_2016"
"mab_355",2,"Fowleria marmorata","species",13.650917,120.841306,"Batangas, Tingloy, south side of Maricaban I., Devil's Point (dive site)","MAB-355","Batangas","Zapato Is.","Maricaban I.",NA,"117 ft.","cas_2016"
"mab_356",1,"Fowleria marmorata","species",13.687556,120.832611,"Batangas, Tingloy, SW tip of Maricaban I., ""MYC"" (Mabini Yacht Club) [painted on a rock]","MAB-356","Batangas","Zapato Is.","Maricaban I.","sand, rock, sparse coral","45 - 70 ft.","cas_2016"
"sia_06",3,"Fowleria marmorata","species",9.0504,123.1149,"Siaton, Tambobo (dive site)","SIA-06","Negros Oriental",NA,"Negros I.","coral sand","20 - 30 ft.","cas_2016"
"zam_05",17,"Fowleria vaiulae","species",9.139333,123.229833,"Zambanguita, Mojon dive site","ZAM-05","Negros Oriental",NA,"Negros I.","coral, rubble, sand","33 - 70 ft.","cas_2016"
"sia_03",3,"Fowleria vaiulae","species",9.0473,123.1194,"Siaton, Siit (reef / dive site)","SIA-03","Negros Oriental",NA,"Negros I.",NA,"20 - 60 ft.","cas_2016"
"sia_06",3,"Fowleria vaiulae","species",9.0504,123.1149,"Siaton, Tambobo (dive site)","SIA-06","Negros Oriental",NA,"Negros I.","coral sand","20 - 30 ft.","cas_2016"
"dau_09",8,"Fowleria vaiulae","species",9.195861,123.274139,"Dauin, VIP Resort reef","DAU-09","Negros Oriental",NA,"Negros I.","coral & sand","30 - 50 ft.","cas_2016"
"dau_15",13,"Fowleria vaiulae","species",9.2011,123.2793,"Negros I., Dauin, San Miguel dive site","DAU-15","Negros Oriental",NA,"Negros I.",NA,"79 ft.","cas_2016"
"sqr_18",1,"Fowleria vaiulae","species",9.165361,123.476,"Siquijor I., off Solongon","SQR-18","Siquijor",NA,"Siquijor I.",NA,"50 - 67 ft.","cas_2016"
"sqr_21",2,"Fowleria vaiulae","species",9.1375,123.514556,"Siquijor I., Tubod South","SQR-21","Siquijor",NA,"Siquijor I.",NA,"0 - 16 ft.","cas_2016"
"mab_308",4,"Fowleria vaiulae","species",13.717278,120.872472,"Batangas, Mabini, Koala (dive site)","MAB-308","Batangas",NA,"Luzon I.",NA,"10 - 19 ft.","cas_2016"
"mab_319",4,"Fowleria vaiulae","species",13.688167,120.827278,"Batangas, Tingloy, Sepok (dive site)","MAB-319","Batangas",NA,"Luzon I.",NA,"85 ft.","cas_2016"
