SI_78-79_15-50m	*SampleSet*	1	1	1																			
465	23																						
	SP_78-10	SP_78-16	SP_78-21	SP_78-27	SP_78-29	SP_78-30	SP_78-33	SP_78-36	SP_78-38	SP_78-39	SP_78-41	SP_78-43	SP_78-45	JL-2	JL-3	JL-4	JL-6	JL-7	LK_79-13	LK_79-16	LK_79-6	LK_79-8	LK_79-9
Synodus dermatogenys	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Balistapus undulatus	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Centropyge tibicen	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0
Cephalopholis microprion	0	0	0	2	8	0	0	0	1	0	0	0	23	0	0	0	0	0	0	1	0	0	0
Chromis xanthura	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenochaetus binotatus	0	0	0	5	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	8
Parapercis pacifica	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pterois antennata	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Sargocentron caudimaculatum	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Scorpaenodes varipinnis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Trimma hayashii	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus exquisitus	0	0	0	3	61	0	0	26	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0
Trimma milta Winterbottom	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	56	31	0	0	0
Paracheilinus filamentosus Allen	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxycheilinus digramma	0	0	0	8	3	0	1	1	9	0	1	0	0	0	0	0	0	0	0	0	4	0	0
Ctenochaetus striatus	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus temminckii	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus quinquelineatus	0	0	0	19	0	0	4	2	6	7	0	0	16	2	15	4	3	0	1	16	0	0	0
Myripristis kuntee	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Chromis retrofasciata	0	0	0	52	0	0	0	9	1	0	0	350	0	46	0	2	14	95	183	50	0	23	25
Chromis amboinensis	0	0	0	54	0	0	35	0	0	34	400	0	0	0	0	0	0	0	0	0	0	0	0
Cheilinus fasciatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neamia octospina	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster ocellicincta Allen & Randall	0	0	0	0	2	0	1	0	2	1	1	0	0	0	0	0	0	0	5	2	0	0	0
Diploprion bifasciatus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genicanthus lamarck	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Paracheilinus carpenteri Randall & Lubbock	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pristiapogon abrogramma	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Trimma taylori Lobel	0	0	0	0	2	16	1	0	94	3	0	23	7	1	20	18	0	1	0	41	0	0	0
Trimma nasa Winterbottom	0	0	0	0	3	4	0	0	21	5	0	7	3	0	0	1	0	9	4	9	0	0	0
Paracheilinus lineopunctatus Randall & Lubbock	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus stigma	0	0	0	0	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Plectroglyphidodon johnstonianus	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus neotes	0	0	0	0	32	32	0	0	1	0	30	0	0	0	5	0	0	0	0	113	0	0	0
Chromis alpha Randall	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anomalops katoptron	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antennarius	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centropyge nox	0	0	0	0	0	1	0	0	0	0	0	4	4	0	0	0	0	3	3	0	0	0	0
Chaetodon ornatissimus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus macrodon	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0
Discotrema crinophilum	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	1	0	6	1	0	0	0
Fistularia petimba	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria aurita	0	0	0	0	0	1	1	1	3	2	0	0	0	0	0	0	0	0	5	0	1	5	0
Helcogramma striatum	0	0	0	0	0	1	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
Heniochus diphreutes	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracirrhites forsteri	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pseudoplesiops	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Synodus jaculum Russell & Cressey	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Pervagor melanocephalus	0	0	0	0	0	2	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0
Sargocentron cornutum	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heniochus varius	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
Trimma cana	0	0	0	0	0	6	0	0	1	0	0	0	0	0	6	0	0	1	4	0	0	0	0
Pomacentrus alexanderae	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma tevegae Cohen & Davis	0	0	0	0	0	8	3	0	103	15	2	12	10	1	25	19	0	12	11	10	0	0	0
Ostorhinchus dispar	0	0	0	0	0	10	0	0	11	18	115	0	4	0	0	0	0	0	0	0	0	0	0
Pterocaesio pisang	0	0	0	0	0	15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
Taeniamia fucata	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taeniamia biguttata	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Trimma yanoi	0	0	0	0	0	28	32	0	80	0	0	60	2	20	0	0	4	0	4	0	0	0	0
Chromis elerae Fowler & Bean	0	0	0	0	0	72	20	0	0	15	0	4	4	0	0	21	0	2	0	0	0	0	0
Callogobius centrolepis	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Labropsis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudamia hayashii Randall et al.	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
Trimmatom sagma	0	0	0	0	0	0	1	0	1	0	0	0	0	0	12	2	0	1	0	0	0	0	0
Pseudogramma polyacanthum	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Apogonidae	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhabdamia spilota	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis vittata	0	0	0	0	0	0	31	2	13	0	10	0	0	0	0	1	0	2	0	0	0	0	0
Calumia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis aurantia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera caeruleolineata	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Ematops randalli Schwarzhans & Nielsen	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macropharyngodon meleagris	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neamia articycla	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudojuloides	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tripterygiidae	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0
Wetmorella albofasciata	0	0	0	0	0	0	0	2	3	1	0	7	0	0	0	0	0	2	1	0	0	4	1
Lutjanus fulvus	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus lutjanus	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma trioculatum Winterbottom et al.	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	2	0	0	0	0
Apogon posterofasciatus Allen & Randall	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arothron nigropunctatus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bodianus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bodianus diana	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callionymus enneactis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius crassus McKinney & Lachner	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Calloplesiops altivelis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis sexmaculata	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Cirrhitichthys oxycephalus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diancistrus karinae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dinematichthys iluocoeteoides	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eleotridae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota albolineata Jewett & Lachner	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota jewettae Greenfield & Winterbottom	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	1	0	1	0	0	0
Myripristis violacea	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Ostorhinchus sealei	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parioglossus nudus Rennis & Hoese	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurosicya micheli	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	6	0	0	1	0
Priolepis pallidicincta Winterbottom & Burridge	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	1	0	0	1	0
Pristicon trimaculatus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudanthias	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pygoplites diacanthus	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0
Sargocentron punctatissimum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaenopsis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siganus	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogon coccineus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	4	2	1
Canthigaster papua ?	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Eurycephalus arenicola	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota nigriventris	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0
Gymnothorax microstictus Bohlke	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Parupeneus multifasciatus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Scorpaenopsis fowleri	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sebastapistes strongia	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Asterorhombus fijiensis	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon lunulatus	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Chromis margaritifer	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	0	0	0	0	0	6	1	3
Dinematichthys	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus lepidogenys	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wetmorella nigropinnata	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Chromis atripes	0	0	0	0	0	0	0	0	4	0	0	12	0	6	93	13	3	0	313	9	9	29	32
Sargocentron tiereoides	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	1
Trimma hoesei	0	0	0	0	0	0	0	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0
Chromis viridis	0	0	0	0	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera traceyi	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma annosum	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pomacentrus	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Discordipinna griessingeri Hoese & Fourmanoir	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaenopsis papuensis	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Paracheilinus octotaenia	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Cercamia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gracila polleni	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lubbockichthys multisquamatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Naso vlamingii	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Nemateleotris	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Neoglyphidodon thoracotaeniatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Pterocaesio	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Trimma anaima Winterbottom	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	3	0	0	0
Callogobius flavobrunneus	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Asterropteryx striata	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	4	0	0
Amblyglyphidodon	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0	0	1	0	0	0	0
Plectranthias inermis Randall	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus lubbocki Randall & Carpenter	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius maculipinnis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis aitha Randall & Heemstra	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis miniata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Halichoeres melasmapomus Randall	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Labropsis alleni Randall	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Nectamia luxuria Fraser	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus nigromanus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Nectamia savayensis	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
Priacanthus blochii	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Scorpaenodes guamensis	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Apogon dianthus	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Calumia biocellata	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
Centropyge multifasciatus	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
Zebrasoma scopas	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0
Nectamia viria Fraser	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3
Trimma flavatrum	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Pempheris schwenkii	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
Apogon aroubiensis	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
Asterorhombus filifer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ancistrogobius dipus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Caesio cuning	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cephalopholis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Choerodon anchorago	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chromis delta Randall	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	27	32	30	0	57	1	0	0
Cirrhitichthys aprinus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	6	0	0	0	4	0	0	0
Engyprosopon macrolepis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Microbrotula polyactis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
Pictichromis porphyrea	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0
Pseudupeneus barberinus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pteropsaron springeri	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Thysanophrys chiltonae Schultz	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
Trimma rubromaculatum	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Valenciennea puellaris	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chaetodon octofasciatus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Oxycirrhites typus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Parapercis xanthozona	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Ancistrogobius yoshigoui	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Epinephelus summana	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Ctenochaetus tomeniensis	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Lutjanus biguttatus	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	4	0	0	0	0	0
Centriscus	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0
Ecsenius dilemma Springer	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0
Gnatholepis	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	17	3	9	2	2	1	9
Ostorhinchus cavitensis	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Samariscus triocellatus	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0
Aspidontus taeniatus taeniatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Diancistrus springeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Myripristis trachyacron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ostorhinchus aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Sueviota lachneri Winterbottom & Hoese	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	0	0	0
Cirripectes polyzona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Halichoeres chrysus Randall	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3
Lepadichthys caritus Briggs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Opistognathus randalli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Synchiropus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Antennarius coccineus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
Chaetodon mertensii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Crossosalarias macrospilus Smith-Vaniz & Springer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Fowleria talboti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Gymnapogon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Liopropoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Meiacanthus grammistes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Paragobiodon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pseudoplesiops annae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
Asterropteryx bipunctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0
Atrosalarias hosokawai Suzuki & Senou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cheilinus bimaculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Ctenochaetus tominiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Pleurosicya labiata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
Pseudochromidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Siphamia argentea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Synchiropus splendidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Anampses melanurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Asterropteryx semipunctata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Canthigaster axiologus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Corythoichthys ocellatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Foa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gnatholepis anjerensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gnatholepis cauerensis cauerensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Parapercis clathrata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Parapriacanthus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Pomacentrus amboinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	5
Amphiprion frenatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Aporops	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Centropyge flavicauda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0
Chaetodon punctatofasciatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Epinephelus cyanopodus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Scorpaenopsis vittapinna Randall & Eschmeyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ungusurculus philippinensis Schwarzhans & Moller	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Acanthurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Apogon leptacanthus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Archamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Canthigaster janthinoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Parapercis tetracantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Parapriacanthus guentheri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
