SI_78-79_0-2m	*SampleSet*	1	1	1															
454	19																		
	SP_78-37A	SP_78-22	SP_78-1	SP_78-12	SP_78-15	SP_78-17	SP_78-19	SP_78-32	SP_78-37B	SP_78-42	SP_78-5	SP_78-8	JL-5	LK_79-11	LK_79-12	LK_79-15	LK_79-17	LK_79-18	LK_79-14
Arothron	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurigequula fasciata	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius producta	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	3	12	0
Eleotris	29	11	0	0	0	0	3	50	200	0	0	0	0	0	0	0	1	0	0
Glossogobius biocellatus	2	0	0	0	0	0	0	21	2	0	0	0	0	1	15	0	15	65	0
Lophogobius bleekeri	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Lutjanus	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus argentimaculatus	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0
Lutjanus russelli	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microphis retzii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nemipteridae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neostethus	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Oligolepis acutipennis	1	0	0	0	0	0	0	0	20	0	0	0	0	0	16	0	21	76	0
Oligolepis stomias	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
Plectorhinchus albovittatus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Siganus	1	0	0	0	11	0	0	0	0	4	4	0	5	0	0	0	1	0	0
Terapon jarbua	1	0	0	0	0	0	28	0	0	16	0	0	0	0	8	0	19	34	38
Yarica hyalosoma	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0
Pseudogobius	3	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	11
Toxotes jaculatrix	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exyrias puntang	4	0	0	0	0	0	2	1	0	0	0	0	0	62	10	0	50	7	46
Mugilogobius chulae	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	7
Soleidae	6	0	0	3	0	2	0	227	0	0	4	5	0	0	0	0	0	0	0
Butis butis	8	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	6	10	0
Meiacanthus anema	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	40	0
Ophiocara	8	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
Periophthalmus argentilineatus	13	26	0	0	0	0	25	0	0	0	0	0	0	1	18	0	0	1	60
Monodactylus	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ambassidae	17	0	0	0	0	0	22	57	0	0	0	0	0	0	175	0	999	165	4
Zenarchopterus dunckeri	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ophiocara porocephala	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3
Bathygobius fuscus fuscus	0	1	0	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Istiblennius dussumieri	0	1	1	73	21	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Parioglossus raoi	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parioglossus taeniatus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platax orbicularis	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1
Pandaka pusilla	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoya	0	3	0	0	0	0	0	0	0	0	0	0	0	11	1	0	24	1	0
Atherinomorus duodecimalis	0	3	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Acentrogobius janthinopterus	0	4	0	0	0	0	1	0	5	0	0	0	0	1	20	0	4	0	28
Omox biporos Springer	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Periophthalmus kalolo	0	4	0	14	0	0	2	0	0	0	0	0	0	0	0	0	25	0	0
Cryptocentrus	0	8	0	0	0	1	4	0	0	0	0	0	0	7	0	0	0	0	0
Mangarinus	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bostrychus sinensis	0	11	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	5
Omobranchus rotundiceps obliquus	0	17	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mugilogobius mertoni	0	29	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30
Cryptocentroides	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calamiana mindora	0	42	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Amphiprion	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathygobius cocosensis	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Blenniella caudolineata	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilinus chlorourus	0	0	1	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0
Corythoichthys haematopterus	0	0	1	0	0	19	0	0	0	0	4	0	1	0	0	10	1	0	0
Halichoeres	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus novemfasciatus	0	0	1	16	0	0	0	0	0	0	46	0	0	0	0	24	0	0	0
Oxycheilinus bimaculatus	0	0	1	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0
Pomacanthus imperator	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scaridae	0	0	1	0	0	1	0	0	0	0	23	0	0	0	0	38	0	0	0
Stethojulis bandanensis	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	19	0	0	0
Stethojulis trilineata	0	0	1	3	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0
Istiblennius lineatus	0	0	5	63	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Abudefduf vaigiensis	0	0	3	3	2	0	0	3	0	0	0	0	0	0	0	2	0	0	0
Canthigaster bennetti	0	0	6	0	0	3	0	0	0	0	19	0	0	0	0	0	0	0	0
Apogonichthyoides melas	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Atherion elymus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathygobius	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blenniella interrupta	0	0	0	59	2	0	0	0	0	0	25	11	0	0	0	0	0	0	0
Callogobius flavobrunneus	0	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
Chrysiptera glauca	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gobiopsis bravoi	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres argus	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Labroides dimidiatus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Omobranchus rotundiceps	0	0	0	1	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
Pomacentrus tripunctatus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Praealticus bilineatus	0	0	0	43	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Priolepis cinctus	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Priolepis semidoliata	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thalassoma hardwicke	0	0	0	1	0	0	0	0	0	0	26	1	0	0	0	0	0	0	0
Abudefduf sexfasciatus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathygobius crassiceps	0	0	0	40	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Bhanotia fasciolata	0	0	0	18	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Callogobius hasseltii	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnatholepis	0	0	0	30	45	0	0	0	0	0	12	0	6	15	0	1	0	0	0
Gobiopsis malekulae	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathygobius coalitus	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grammistes sexlineatus	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Plesiops coeruleolineatus	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Blenniella bilitonensis	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litobranchus	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxyurichthys	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sebastapistes strongia	0	0	0	4	8	0	0	0	0	0	12	29	8	6	0	0	0	0	0
Chaetodon vagabundus	0	0	0	5	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0
Chaetodontidae	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Chrysiptera leucopoma	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Parenchelyurus hepburni	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Parioglossus formosus	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera biocellata	0	0	0	6	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
Entomacrodus caudofasciatus	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
Fowleria vaiulae	0	0	0	6	0	0	0	0	0	0	2	3	0	0	0	11	0	0	0
Asterropteryx semipunctata	0	0	0	7	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
Callionymus enneactis	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius okinawae	0	0	0	48	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Scolopsis bilineata	0	0	0	8	0	5	0	0	0	0	2	5	0	0	0	0	0	0	0
Abudefduf lorenzi Hensley & Allen	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius	0	0	0	9	1	5	0	0	0	0	1	1	1	0	0	0	0	0	0
Abudefduf septemfasciatus	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria polystigma	0	0	0	13	0	0	0	0	0	0	0	8	0	17	0	0	0	0	0
Enneapterygius punctulatus Herre	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Istiblennius edentulus	0	0	0	15	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0
Scorpaenodes guamensis	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptocentrus caeruleomaculatus	0	0	0	21	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0
Tripterygiidae	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthurus triostegus	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Istigobius ornatus	0	0	0	40	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ungusurculus philippinensis Schwarzhans & Moller	0	0	0	48	0	0	0	0	0	0	22	0	0	0	0	1	0	0	0
Nectamia	0	0	0	65	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
Acentronura	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atherinomorus lacunosus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cociella punctata	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cryptocentrus nigrocellatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dischistodus fasciatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibramia lateralis	0	0	0	0	21	0	0	0	0	0	0	0	0	18	0	0	46	0	0
Gobiidae	0	0	0	0	1	5	0	5	0	0	0	0	0	0	0	1	0	0	0
Hippichthys cyanospilus	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hippichthys spicifer	0	0	0	0	1	0	0	0	0	0	0	0	0	4	9	0	2	3	1
Lethrinus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrognathus andersonii	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plotosus lineatus	0	0	0	0	1	1	0	0	0	0	78	3	0	0	0	2	0	0	0
Pseudocheilinus evanidus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhabdamia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samariscus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arothron hispidus	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Cryptocentrus maudae	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Lutjanus johnii	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrognathus micronotopterus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syngnathoides biaculeatus	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria isostigma	0	0	0	0	3	33	0	0	0	0	0	0	0	0	0	32	0	0	0
Arothron reticularis	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Bathygobius cyclopterus	0	0	0	0	5	0	0	2	0	0	2	0	7	0	0	0	2	0	0
Zenarchopterus	0	0	0	0	6	0	0	20	0	0	0	0	0	0	0	0	5	15	8
Palutrus	0	0	0	0	14	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Sphaeramia orbicularis	0	0	0	0	100	0	0	0	0	0	0	0	5	100	0	0	11	0	0
Amblyglyphidodon curacao	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0
Amblygobius	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0
Amphiprion frenatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0
Atherinomorus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Caesio	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Centriscidae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon auriga	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon unimaculatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenogobiops	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenogobiops crocineus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
