complete_name	location	legislation	network	year_established	core_area_ha	buffer_area_ha
Uson Buang Pongco Bonga Fish Sanctuary and Marine Reserve	Uson Bacacay Albay   / Pongco (Lower Bonga) Bacacay Albay   / Buang Bacacay Albay	NA	null	1	0	0
Bacud Reef	Tambilil Kiamba Sarangani	An Ordinance for the Utilization, Development, Conservation, Protection and Management of Fisheries and Aquatic Resources in the Municipality of Kiamba, Sarangani Province and for Other Purposes/Municipal Ordinance No. 06-084	null	2006	0	0
Tablao Reef	Lomuyon Kiamba Sarangani	An Ordinance for the Utilization, Development, Conservation, Protection and Management of Fisheries and Aquatic Resources in the Municipality of Kiamba, Sarangani Province and for Other Purposes/Municipal Ordinance No. 06-084	null	2006	0	0
Bagong Silao Marine Sanctuary	Bag-Ong Silao Dumalinao Zamboanga Del Sur	Mun. Ord. No. 2003-02-186	null	2004	0	0
Popoo (Datag) Marine Sanctuary	Popoo Pres. Carlos P. Garcia Bohol	NA	null	2003	0	0
Santo Rosario Marine Sanctuary	Santo Rosario Pres. Carlos P. Garcia Bohol	NA	null	1993	0	0
Ayala/San Ramon Tourist Zone and Marine Reserve	null null Zamboanga Del Sur	Proclamation PP# 1801	null	1978	0	0
Putiao River to Malbog River	null null Sorsogon	Proclamation PP. #2152	null	0	0	0
Dawahon Marine Sanctuary	null Bato Leyte	NA	null	1980	0	0
Cabugawan Marine Protected Area	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 96-054	null	1996	0	0
Buluagan River to Lagarum River	null Naujan Oriental Mindoro	Proclamation No. 2152, s.1981	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	0	0	0
Maliputo Island Tourist Zone and Marine Reserve	null null Davao Del Norte	Proclamation PP# 1801	null	1978	0	0
Kalongkooan Island Mangrove Swamp Forest Reserve	null null Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Cabong Reef MPA	null Guinayangan Quezon	Municipal Ordinance Municipal Ordinance - Resolution 529 s.2000, 125 s.2001, 266 s.2002,	null	1999	0	0
Zamboanga City East Coast	null null Zamboanga Del Sur	NA	null	0	0	0
Ban-ao Marine Protected Area	Banao Baganga Davao Oriental	NA	null	1997	0	0
Nabuungcagan Dist. 1 Fish Sanctuary and Resource Center	null Babatngon Leyte	NA	null	0	0	0
Mangroves along the banks of Donsol River	null Donsol Sorsogon	Proclamation No. 2152, s.1981	null	0	0	0
Binon-an	null Batad Iloilo	NA	null	0	0	0
Mangrove areas from Bo. Biabas to Bo. Ondol including Bo. Condray and Juagdag	null null Palawan	Proclamation No. 2152, s.1981	null	0	0	0
Estancia Marine Protected Area	null Estancia Iloilo	Municipal Ordinance Mun. Ord. 012-2004	null	2004	0	0
Cabilan Island Wilderness Area	null Basilisa Dinagat Islands	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Lagonoy Gulf	null null Camarines Sur	NA	null	0	0	0
Gerardo Point Fish Sanctuary	null Perez Quezon	Admin Order BFAR AO	null	0	0	0
Banaon Island	null null Bohol	Proclamation PP# 2151	null	0	0	0
Puerto Princesa Tourist Zone and Marine Reserve	null Puerto Princesa City Palawan	Proclamation PP# 1801	null	1978	0	0
Kota Island Marine Turtle Sanctuary	null null Palawan	Admin Order MNR AO# 8



117.003996304,11.1554934413	null	1982	0	0
Artificial Coral Reef	null Claveria Masbate	Fishery Dev't Project	null	0	0	0
Mangrove areas from Tanuip Point in Banao to Kinablangan Island	null Baganga Davao Oriental	Proclamation PP# 2151	null	0	0	0
